id,'symboling','normalized-losses','wheel-base','length','width','height','curb-weight','engine-size','bore','stroke','compression-ratio','horsepower','peak-rpm','city-mpg','highway-mpg','price'
1,2,164,99.80,176.60,66.20,54.30,2337,109,3.19,3.40,10.00,102,5500,24,30,13950
2,2,164,99.40,176.60,66.40,54.30,2824,136,3.19,3.40,8.00,115,5500,18,22,17450
3,1,158,105.80,192.70,71.40,55.70,2844,136,3.19,3.40,8.50,110,5500,19,25,17710
4,1,158,105.80,192.70,71.40,55.90,3086,131,3.13,3.40,8.30,140,5500,17,20,23875
5,2,192,101.20,176.80,64.80,54.30,2395,108,3.50,2.80,8.80,101,5800,23,29,16430
6,0,192,101.20,176.80,64.80,54.30,2395,108,3.50,2.80,8.80,101,5800,23,29,16925
7,0,188,101.20,176.80,64.80,54.30,2710,164,3.31,3.19,9.00,121,4250,21,28,20970
8,0,188,101.20,176.80,64.80,54.30,2765,164,3.31,3.19,9.00,121,4250,21,28,21105
9,2,121,88.40,141.10,60.30,53.20,1488,61,2.91,3.03,9.50,48,5100,47,53,5151
10,1,98,94.50,155.90,63.60,52.00,1874,90,3.03,3.11,9.60,70,5400,38,43,6295
11,0,81,94.50,158.80,63.60,52.00,1909,90,3.03,3.11,9.60,70,5400,38,43,6575
12,1,118,93.70,157.30,63.80,50.80,1876,90,2.97,3.23,9.41,68,5500,37,41,5572
13,1,118,93.70,157.30,63.80,50.80,1876,90,2.97,3.23,9.40,68,5500,31,38,6377
14,1,118,93.70,157.30,63.80,50.80,2128,98,3.03,3.39,7.60,102,5500,24,30,7957
15,1,148,93.70,157.30,63.80,50.60,1967,90,2.97,3.23,9.40,68,5500,31,38,6229
16,1,148,93.70,157.30,63.80,50.60,1989,90,2.97,3.23,9.40,68,5500,31,38,6692
17,1,148,93.70,157.30,63.80,50.60,1989,90,2.97,3.23,9.40,68,5500,31,38,7609
18,-1,110,103.30,174.60,64.60,59.80,2535,122,3.34,3.46,8.50,88,5000,24,30,8921
19,3,145,95.90,173.20,66.30,50.20,2811,156,3.60,3.90,7.00,145,5000,19,24,12964
20,2,137,86.60,144.60,63.90,50.80,1713,92,2.91,3.41,9.60,58,4800,49,54,6479
21,2,137,86.60,144.60,63.90,50.80,1819,92,2.91,3.41,9.20,76,6000,31,38,6855
22,1,101,93.70,150.00,64.00,52.60,1837,79,2.91,3.07,10.10,60,5500,38,42,5399
23,1,101,93.70,150.00,64.00,52.60,1940,92,2.91,3.41,9.20,76,6000,30,34,6529
24,1,101,93.70,150.00,64.00,52.60,1956,92,2.91,3.41,9.20,76,6000,30,34,7129
25,0,110,96.50,163.40,64.00,54.50,2010,92,2.91,3.41,9.20,76,6000,30,34,7295
26,0,78,96.50,157.10,63.90,58.30,2024,92,2.92,3.41,9.20,76,6000,30,34,7295
27,0,106,96.50,167.50,65.20,53.30,2236,110,3.15,3.58,9.00,86,5800,27,33,7895
28,0,106,96.50,167.50,65.20,53.30,2289,110,3.15,3.58,9.00,86,5800,27,33,9095
29,0,85,96.50,175.40,65.20,54.10,2304,110,3.15,3.58,9.00,86,5800,27,33,8845
30,0,85,96.50,175.40,62.50,54.10,2372,110,3.15,3.58,9.00,86,5800,27,33,10295
31,0,85,96.50,175.40,65.20,54.10,2465,110,3.15,3.58,9.00,101,5800,24,28,12945
32,1,107,96.50,169.10,66.00,51.00,2293,110,3.15,3.58,9.10,100,5500,25,31,10345
33,0,145,113.00,199.60,69.60,52.80,4066,258,3.63,4.17,8.10,176,4750,15,19,32250
34,1,104,93.10,159.10,64.20,54.10,1890,91,3.03,3.15,9.00,68,5000,30,31,5195
35,1,104,93.10,159.10,64.20,54.10,1900,91,3.03,3.15,9.00,68,5000,31,38,6095
36,1,104,93.10,159.10,64.20,54.10,1905,91,3.03,3.15,9.00,68,5000,31,38,6795
37,1,113,93.10,166.80,64.20,54.10,1945,91,3.03,3.15,9.00,68,5000,31,38,6695
38,1,113,93.10,166.80,64.20,54.10,1950,91,3.08,3.15,9.00,68,5000,31,38,7395
39,1,129,98.80,177.80,66.50,53.70,2385,122,3.39,3.39,8.60,84,4800,26,32,8845
40,0,115,98.80,177.80,66.50,55.50,2410,122,3.39,3.39,8.60,84,4800,26,32,8495
41,1,129,98.80,177.80,66.50,53.70,2385,122,3.39,3.39,8.60,84,4800,26,32,10595
42,0,115,98.80,177.80,66.50,55.50,2410,122,3.39,3.39,8.60,84,4800,26,32,10245
43,0,115,98.80,177.80,66.50,55.50,2425,122,3.39,3.39,8.60,84,4800,26,32,11245
