label,label_name
25,club_sandwich
14,carrot_cake
58,ice_cream
55,hot_dog
31,donuts
68,onion_rings
5,beet_salad
10,bruschetta
61,lobster_roll_sandwich
40,french_fries
70,pad_thai
70,pad_thai
37,filet_mignon
70,pad_thai
59,lasagna
57,hummus
64,miso_soup
65,mussels
18,chicken_curry
28,croque_madame
84,risotto
44,fried_rice
79,prime_rib
14,carrot_cake
48,greek_salad
54,hot_and_sour_soup
84,risotto
96,tacos
73,panna_cotta
12,cannoli
46,garlic_bread
9,breakfast_burrito
16,cheesecake
89,shrimp_and_grits
29,cup_cakes
71,paella
47,gnocchi
73,panna_cotta
1,baby_back_ribs
75,pho
72,pancakes
100,waffles
92,spring_rolls
73,panna_cotta
27,creme_brulee
50,grilled_salmon
15,ceviche
83,red_velvet_cake
60,lobster_bisque
75,pho
66,nachos
76,pizza
17,cheese_plate
90,spaghetti_bolognese
72,pancakes
92,spring_rolls
35,escargots
33,edamame
46,garlic_bread
25,club_sandwich
85,samosa
33,edamame
5,beet_salad
75,pho
11,caesar_salad
98,tiramisu
96,tacos
79,prime_rib
12,cannoli
10,bruschetta
46,garlic_bread
45,frozen_yogurt
68,onion_rings
83,red_velvet_cake
52,gyoza
48,greek_salad
81,ramen
13,caprese_salad
19,chicken_quesadilla
40,french_fries
64,miso_soup
72,pancakes
98,tiramisu
14,carrot_cake
5,beet_salad
87,scallops
79,prime_rib
89,shrimp_and_grits
97,takoyaki
59,lasagna
11,caesar_salad
72,pancakes
88,seaweed_salad
21,chocolate_cake
49,grilled_cheese_sandwich
38,fish_and_chips
29,cup_cakes
65,mussels
41,french_onion_soup
32,dumplings
57,hummus
32,dumplings
9,breakfast_burrito
74,peking_duck
21,chocolate_cake
51,guacamole
1,baby_back_ribs
20,chicken_wings
96,tacos
20,chicken_wings
62,macaroni_and_cheese
80,pulled_pork_sandwich
49,grilled_cheese_sandwich
36,falafel
92,spring_rolls
43,fried_calamari
42,french_toast
96,tacos
43,fried_calamari
14,carrot_cake
23,churros
9,breakfast_burrito
86,sashimi
36,falafel
59,lasagna
26,crab_cakes
74,peking_duck
49,grilled_cheese_sandwich
50,grilled_salmon
12,cannoli
95,sushi
73,panna_cotta
27,creme_brulee
33,edamame
86,sashimi
7,bibimbap
64,miso_soup
85,samosa
5,beet_salad
96,tacos
75,pho
52,gyoza
29,cup_cakes
15,ceviche
62,macaroni_and_cheese
52,gyoza
42,french_toast
91,spaghetti_carbonara
56,huevos_rancheros
81,ramen
34,eggs_benedict
19,chicken_quesadilla
52,gyoza
11,caesar_salad
59,lasagna
26,crab_cakes
84,risotto
86,sashimi
87,scallops
41,french_onion_soup
98,tiramisu
21,chocolate_cake
69,oysters
4,beef_tartare
16,cheesecake
26,crab_cakes
