feature,import_mean,import_std
decay_engage,0.10026378125000004,0.004058963924023409
pos_last_click,0.06533925000000007,0.0036804578039796774
pos_last_conv,0.06357581875000005,0.002938080330467702
span_days,0.042949962500000036,0.0019065696939812738
n_unique_click_items,0.030931931250000034,0.0023899049284339903
conversion_rate,0.01939813750000008,0.0012513460721265547
n_unique_conv_items,0.01717100625000001,0.0007481895046857358
engage_rate,0.010597409375000023,0.001239880037154102
n_exp_to_click,0.008446646875000042,0.0012769050681764912
median_gap_hours,0.008337706250000044,0.0009640677373439926
n_conversion,0.007027475000000061,0.0004586899376979188
n_click,0.006446287500000103,0.0010996666083728833
mean_item_log_freq,0.0031528937500000633,0.0005316013189823701
n_item_format,0.0027494281250000753,0.0006659703084729759
n_clicks_last20,0.00181382500000008,0.0007583305896784839
mean_gap_hours,0.0015372687500000426,0.000747539429248558
click_rate_last20,0.0014167500000000777,0.0007972201052965737
n_conv_last20,0.0006333500000000436,0.0002951724012256432
repeat_rate,0.00039364062500004684,0.00026833492774379656
engage_last20,0.00036831562500005965,0.00029807021720521654
n_exposure,0.0003424843750000628,0.0002804927076292886
click_rate,0.0001799500000000509,0.00020933868257783534
n_events,7.674375000004119e-05,6.814573910238247e-05
n_unique_items,-2.3628124999952593e-05,0.00020281772838499958
