feature,auc,auc_abs,cohens_d,mean_y0,mean_y1,rank
recency_to_end_days,0.0,1.0,-2.4207272764590906,0.7709588185867369,-0.7709588185867369,1
decay_engage,0.1858006875,0.8141993125,-0.7846967010442936,0.36528159350330874,-0.36528159350330863,2
pos_last_click,0.23026403125,0.76973596875,-1.0892906233934225,0.47835044471535504,-0.47835044471535504,3
engage_rate,0.24092184374999998,0.75907815625,-0.7819197251530939,0.3641605853277219,-0.36416058532772205,4
n_click,0.274245375,0.725754625,-0.7184937733138346,0.33812938230705053,-0.3381293823070506,5
n_unique_click_items,0.27429759375,0.7257024062499999,-0.7180302623650684,0.33793616805871013,-0.33793616805871024,6
click_rate,0.27480775,0.72519225,-0.7108526528656155,0.3349387385485126,-0.3349387385485128,7
n_exp_to_click,0.275329625,0.724670375,-0.7718055610286088,0.36006431993518184,-0.36006431993518184,8
pos_last_conv,0.2768910625,0.7231089374999999,-0.8954795040985071,0.4086909910707866,-0.40869099107078655,9
n_exposure,0.7132184999999999,0.7132184999999999,0.17253651750631524,-0.08595969239214574,0.08595969239214557,10
engage_last20,0.2949140625,0.7050859375,-0.7813259096441646,0.3639206684256507,-0.3639206684256507,11
conversion_rate,0.3015816875,0.6984183125000001,-0.5420239049816864,0.26160655590388826,-0.2616065559038883,12
n_conversion,0.3016556875,0.6983443125,-0.5567966591480652,0.2682299316255616,-0.26822993162556164,13
n_unique_conv_items,0.30174259375,0.69825740625,-0.5568897992438291,0.26827157175760125,-0.26827157175760113,14
n_clicks_last20,0.33446624999999996,0.66553375,-0.6962560813937639,0.3288116644161563,-0.3288116644161563,15
click_rate_last20,0.33457621875,0.66542378125,-0.69175319690482,0.32691307233687356,-0.3269130723368734,16
n_item_format,0.61143465625,0.61143465625,0.4067597194657448,-0.19932369627288052,0.19932369627288074,17
median_gap_hours,0.61020503125,0.61020503125,0.2164891534728116,-0.10762924938563244,0.10762924938563254,18
mean_gap_hours,0.60220240625,0.60220240625,0.2525663268040163,-0.12530352081728585,0.125303520817286,19
n_conv_last20,0.40104521875,0.59895478125,-0.5174207168355122,0.25049353859464657,-0.2504935385946465,20
span_days,0.58862278125,0.58862278125,0.3126915894084603,-0.15448812032665232,0.15448812032665182,21
n_unique_items,0.46873978124999993,0.5312602187500001,-0.1376492391917805,0.06867073511843882,-0.06867073511843877,22
mean_item_log_freq,0.5194867812499999,0.5194867812499999,0.054153253465319594,-0.02707008815085235,0.02707008815085332,23
repeat_rate,0.51646471875,0.51646471875,0.13021521735248254,-0.06497813874094834,0.06497813874094836,24
n_events,0.4854709999999999,0.5145290000000001,-0.13052959471663686,0.06513435009877715,-0.06513435009877787,25
