k_from_end,n,click_or_conv_rate,conversion_rate
1,8000,0.00525,0.002375
2,7989,0.009638252597321317,0.002753786456377519
3,7975,0.013793103448275862,0.004263322884012539
4,7966,0.01744915892543309,0.006527742907356264
5,7953,0.022632968691059976,0.007544322897019992
6,7934,0.022183009831106628,0.006680110915049156
7,7928,0.025731584258324926,0.0073158425832492435
8,7922,0.02663468821004797,0.008583690987124463
9,7912,0.03008088978766431,0.010111223458038422
10,7905,0.03263757115749526,0.009361163820366857
11,7896,0.03584093211752786,0.012284701114488348
12,7886,0.036013187927973624,0.011032208977935581
13,7877,0.04075155516059414,0.015107274343023993
14,7870,0.03545108005082592,0.012452350698856416
15,7861,0.03689098079124793,0.012593817580460501
16,7857,0.0407280132366043,0.01310932926053201
17,7850,0.04,0.012229299363057325
18,7846,0.04269691562579658,0.016186591893958706
19,7844,0.04449260581336053,0.015425803161652218
20,7839,0.045031253986477865,0.016456180635285114
21,7834,0.04288996681133521,0.01506254786826653
22,7828,0.04535002554931017,0.014946346448645887
23,7823,0.048319059184456094,0.018407260641697558
24,7820,0.043350383631713556,0.015728900255754477
25,7813,0.04556508383463458,0.018302828618968387
26,7807,0.04688100422697579,0.01793262456769566
27,7799,0.04885241697653545,0.018848570329529427
28,7798,0.043472685303924084,0.01628622723775327
29,7791,0.04633551533821076,0.016429213194711845
30,7786,0.048933984073978934,0.02067814025173388
31,7781,0.050764683202673175,0.01747847320395836
32,7774,0.05376897350141497,0.019938255724208903
33,7765,0.05344494526722473,0.021506761107533804
34,7764,0.0517774343122102,0.021638330757341576
35,7759,0.05206856553679598,0.02152339218971517
36,7754,0.053649729172040236,0.022955893732267217
37,7750,0.05548387096774193,0.022451612903225806
38,7743,0.05424254165052305,0.021438718842825777
39,7737,0.05854982551376502,0.02261858601525139
40,7735,0.05520361990950226,0.023400129282482224
41,7731,0.0552321821239167,0.021989393351442246
42,7725,0.05436893203883495,0.023818770226537216
43,7723,0.05580732875825457,0.024083905218179463
44,7719,0.05648400051820184,0.024225936002072807
45,7710,0.060830090791180284,0.026459143968871595
46,7703,0.053485654939633906,0.02414643645332987
47,7702,0.05271358088808102,0.022851207478576992
48,7698,0.05793712652637049,0.026240581969342685
49,7695,0.05795971410006498,0.02664067576348278
50,7689,0.05891533359344518,0.03017297437898296
51,7684,0.05765226444560125,0.02667881311816762
52,7677,0.060049498502019016,0.02631236159958317
53,7672,0.06321689259645465,0.033498435870698645
54,7666,0.061309679102530656,0.02817636316201409
55,7660,0.062402088772845955,0.02845953002610966
56,7653,0.05984581209983013,0.0287468966418398
57,7651,0.06116847470918834,0.02875441118807999
58,7648,0.06433054393305439,0.031119246861924688
59,7641,0.06386598612747023,0.0298390263054574
60,7636,0.059455212152959666,0.030644316396018858
61,7635,0.06352324819908317,0.03274394237066143
62,7629,0.0656704679512387,0.03041027657622231
63,7628,0.06554798112218144,0.03198741478762454
64,7625,0.06308196721311475,0.03318032786885246
65,7617,0.05868452146514376,0.028357621110673494
66,7611,0.06346078044934962,0.03363552752594928
67,7608,0.06374868559411147,0.03194006309148265
68,7605,0.06232741617357002,0.029980276134122286
69,7602,0.058011049723756904,0.029597474348855565
70,7597,0.06397262077135711,0.032381203106489405
71,7591,0.06586747464102226,0.033328942168357266
72,7585,0.06697429136453527,0.03599208965062624
73,7582,0.06963861777895014,0.037589026642046955
74,7571,0.06815480121516312,0.03605864482895258
75,7567,0.06250825954803753,0.03343465045592705
76,7561,0.06454172728475069,0.03729665388176167
77,7557,0.06312028582770941,0.03294958316792378
78,7550,0.06635761589403974,0.036556291390728475
79,7542,0.06841686555290374,0.03593211349774596
80,7539,0.06857673431489587,0.038599283724631915
81,7529,0.06720680037189534,0.03546287687607916
82,7522,0.06381281574049455,0.031773464504121246
83,7519,0.06397127277563505,0.03285011304694773
84,7508,0.0713905167820991,0.040623335109216833
85,7505,0.06409060626249168,0.03570952698201199
86,7502,0.07011463609704079,0.03812316715542522
87,7494,0.06391780090739257,0.03669602348545503
88,7486,0.07053165909698103,0.03887256211594977
89,7481,0.0672370004010159,0.03582408768881166
90,7477,0.06754045740270162,0.03611073960144443
91,7474,0.0767995718490768,0.043216483810543216
92,7467,0.06910405785456006,0.03937324226597027
93,7464,0.07060557341907825,0.04126473740621651
94,7453,0.06990473634777941,0.03676371930766134
95,7450,0.06630872483221477,0.03543624161073825
96,7443,0.07255139056831923,0.04097810022840252
97,7433,0.06847840710345755,0.03793892102784878
98,7427,0.06920694762353574,0.040797091692473406
99,7421,0.0680501280150923,0.038000269505457485
100,7413,0.07122622420072845,0.039929852961014436
