y,batch,x_n_toks,x_n_chars,x_avg_word,x_qmark,x_bang,x_hedge,x_formal,x_i_count,x_newlines,x_upper,x_refuse,x_please,x_thank
0,0,7.72,10.43,3.35751,1.6,0,1.6,0,3.2,6.4,0.0997124,0,0,0
0,0,1.88,2.23,2.84255,1.6,0,1.6,0,2.4,0,0.286996,0,0,0
1,0,1.44,1.76,3.02222,1.6,0,3.2,0,1.6,0,0.227273,0,0,0
1,0,0.4,0.39,2.32,0,1.6,0,0,0,0,0.205128,0,0,0
0,0,5.32,6.9,3.23008,1.6,0,1.6,0,3.2,0,0.162319,5.33333,0,0
1,0,0.56,0.89,4.28571,0,0,0,0,0,0,0.0898876,0,0,0
1,0,0.72,1.01,3.64444,1.6,0,0,0,0,0,0.316832,0,0,0
1,0,2.04,2.45,2.88627,1.6,0,0,0,0,0,0.130612,0,0,0
1,0,0.48,0.68,3.73333,0,0,0,0,0,0,0.235294,0,0,0
0,0,4.24,5.86,3.54717,0,1.6,0,0,0.8,1.6,0.122867,0,0,0
1,0,1.2,1.77,3.81333,0,0,1.6,0,0,0,0.0903955,0,0,0
0,0,2.16,3.09,3.71852,0,0,0,0,0,0,0.0517799,0,0,0
0,0,0.2,0.21,2.4,0,0,0,0,0.8,0,0.761905,0,0,0
0,0,1.6,2.53,4.12,0,0,0,0,0,0,0.0632411,0,0,0
1,0,0.68,0.79,2.87059,0,0,0,0,0.8,0,0.202532,0,2,0
1,0,0.36,0.4,2.75556,0,0,0,0,0,0,0.2,0,0,0
1,0,1.4,1.77,3.15429,1.6,1.6,0,0,0.8,0,0.180791,0,2,0
0,0,1.48,1.97,3.28649,0,0,0,0,0.8,0,0.0812183,0,2,0
1,0,0.76,0.92,3.07368,0,0,0,0,0,0,0.0869565,0,0,0
0,0,4.64,5.82,3.07586,1.6,0,0,0,0.8,0.8,0.164948,0,0,0
0,0,4.36,5.48,3.08257,0,0,0,0,0,0,0.10219,0,0,0
1,0,0.48,0.38,1.6,0,0,0,0,0,0,0.842105,0,0,0
0,0,2.68,3.96,3.78507,0,0,1.6,0,0,0,0.121212,0,0,0
1,0,2.04,2.33,2.7451,1.6,0,4.8,0,1.6,0,0.206009,0,0,0
