y,batch,x_n_toks,x_n_chars,x_avg_word,x_qmark,x_bang,x_hedge,x_formal,x_i_count,x_newlines,x_upper,x_refuse,x_please,x_thank
1,0,0.84,1.18,3.54286,1.6,0,0,0,0,0,0.135593,0,0,0
1,0,2.24,2.71,2.94286,1.6,0,0,0,0,0,0.147601,0,0,0
0,0,0.56,0.86,4,0,0,0,0,0,0,0.27907,0,0,0
1,0,6.24,9.84,3.77949,1.6,1.6,0,0,2.4,33.6,0.219512,0,0,0
1,0,0.12,0.15,3.2,0,0,0,0,0,0,0.533333,0,0,0
1,0,1.08,1.38,3.2,1.6,0,0,0,0,0,0.115942,0,0,0
0,0,0.84,1.18,3.61905,0,0,0,0,0,0,0.20339,0,0,0
0,0,0.8,1.12,3.6,0,1.6,0,0,0.8,0,0.142857,0,0,0
1,0,4.04,5.3,3.31089,0,0,0,0,0,0,0.211321,0,0,0
0,0,3.16,4.52,3.40253,0,0,0,0,0,0,0.353982,0,0,0
0,0,0.52,0.69,3.32308,1.6,0,0,0,0,0,0.231884,0,0,0
0,0,0.68,0.72,2.44706,1.6,0,0,0,0,0,0.222222,0,0,0
0,0,0.44,0.54,3.12727,1.6,0,0,0,0,0,0.148148,0,0,0
1,0,2.08,2.86,3.44615,0,0,1.6,0,0,1.6,0.111888,0,0,0
0,0,0.36,0.5,3.37778,0,3.2,0,0,0.8,0,0.32,0,0,2
1,0,5.96,7.21,2.99597,0,0,1.6,0,0.8,3.2,0.0776699,0,0,0
1,0,2.44,3.48,3.69836,0,0,0,0,1.6,0,0.114943,0,0,0
0,0,0.96,1.24,3.16667,0,0,0,0,0.8,0,0.258065,0,0,0
0,0,0.64,1.07,3.85,0,0,0,0,0,0,0.299065,0,0,0
1,0,2.16,2.98,3.46667,3.2,0,1.6,0,0.8,0,0.134228,0,0,0
1,0,0.12,0.15,3.2,0,1.6,0,0,0,0,0.533333,0,0,0
1,0,1.56,2.07,3.34359,0,0,0,0,0,0,0.270531,0,0,0
1,0,2.92,4.26,3.58356,0,0,1.6,0,0,0,0.0751174,0,0,0
0,0,0.2,0.27,3.36,0,1.6,0,0,0,0,0.592593,0,0,0
0,0,0.68,0.79,2.91765,0,0,0,0,0,0,0.202532,0,0,0
0,0,0.4,0.57,3.28,0,0,0,0,0,1.6,0.140351,0,0,0
0,0,0.8,1.08,3.44,0,0,0,0,0,0,0.37037,0,0,0
0,0,0.64,1.02,4.05,0,0,0,0,0,0,0.0784314,0,0,0
0,0,4.36,5.88,3.28073,0,0,0,0,0,0,0.0952381,0,0,0
1,0,2.04,2.83,3.52941,1.6,0,0,0,0,0,0.0565371,0,0,0
0,0,0.68,1.01,3.90588,0,0,0,0,0,0,0.0792079,0,0,0
1,0,0.24,0.35,3.86667,1.6,0,0,0,0,0,0.228571,0,0,0
1,0,1.6,2.28,3.46,0,1.6,0,0,0,0,0.140351,0,0,0
0,0,0.52,0.66,3.13846,0,0,0,0,0,0,0.484848,0,0,0
0,0,0.64,0.79,3.1,0,0,0,0,0,0,0.202532,0,0,0
1,0,1.76,1.98,2.63636,6.4,0,0,0,0,0,0.161616,0,0,0
1,0,3.92,5.47,3.49388,0,0,0,0,0,0,0.219378,0,0,0
0,0,0,0.11,0,0,0,0,0,0,0,0,0,0,0
0,0,0.6,0.9,3.94667,0,0,0,0,0,0,0.0888889,0,0,0
0,0,0.72,1.04,3.77778,0,0,0,0,0,0,0.0769231,0,0,0
1,0,1.4,1.87,3.38286,0,0,0,0,0.8,0,0.128342,0,0,0
0,0,0.4,0.44,2.64,0,0,0,0,0,0,0.363636,0,0,0
0,0,0.64,0.82,3.25,0,0,0,0,0,0,0.097561,0,0,0
0,0,0.28,0.42,4,0,0,0,0,0,0,0.190476,0,0,0
1,0,1.16,1.67,3.64138,3.2,0,0,0,0,0,0.335329,0,0,0
1,0,1.2,1.62,3.46667,1.6,0,0,0,0.8,0,0.0987654,0,0,0
0,0,0.48,0.66,3.46667,1.6,0,0,0,0.8,0,0.363636,2.66667,2,0
0,0,2.44,3.51,3.72459,0,0,1.6,0,2.4,0,0.11396,0,0,0
1,0,1.2,1.62,3.38667,0,0,0,0,0,0,0.0987654,0,0,0
0,0,0.6,0.7,2.93333,0,0,0,0,0,0,0.114286,0,0,0
1,0,2.92,4.27,3.74795,0,0,0,0,0,0,0.168618,0,0,0
1,0,1.24,1.43,2.8129,1.6,0,0,0,0,0,0.111888,0,0,0
0,0,0.76,0.86,2.77895,0,0,0,0,0.8,0,0.186047,0,0,0
0,0,0.92,1.04,2.71304,0,3.2,0,0,0.8,0,0.307692,0,0,0
0,0,0.24,0.21,2,0,0,0,0,0,0,0.380952,0,0,0
1,0,1.44,1.81,3.13333,0,0,0,0,0,0,0.132597,0,0,0
0,0,0.64,0.7,2.6,0,0,0,0,0.8,0,0.228571,0,0,0
1,0,2.52,2.86,2.76825,0,1.6,0,0,0,0,0.0839161,0,0,0
0,0,0.32,0.49,3.9,0,3.2,0,0,0.8,0,0.326531,0,0,0
1,0,2.32,2.82,3.03448,0,0,0,0,0.8,0,0.283688,0,0,0
0,0,0.16,0.22,3.8,0,0,0,0,0,0,0.363636,0,0,0
0,0,0.4,0.47,2.96,1.6,0,0,0,0,0,0.170213,0,0,0
1,0,1.96,2.63,3.39592,0,0,0,0,0,0,0.0912548,0,0,0
1,0,8.36,11.73,3.56364,0,0,0,0,1.6,2.4,0.0886616,0,0,0
0,0,0.44,0.49,2.61818,0,0,0,0,0.8,0,0.326531,0,0,0
0,0,0.8,1.1,3.4,1.6,0,0,0,0,0,0.145455,0,0,0
0,0,0.52,0.9,4.18462,0,0,0,0,0,0,0.355556,0,0,0
1,0,2.2,3.1,3.60727,0,0,0,1.6,0,0,0.103226,0,0,0
1,0,3.56,5.38,3.70337,1.6,1.6,4.8,0,1.6,4.8,0.148699,0,0,0
0,0,0.64,0.82,3.15,3.2,0,0,0,0,0,0.195122,0,0,0
1,0,1.44,1.56,2.53333,0,1.6,0,0,0,0,0.205128,0,0,0
1,0,1.28,1.73,3.325,0,0,0,0,0,0,0.0924855,0,0,0
1,0,1.6,1.84,2.7,1.6,0,0,0,0,0.8,0.0869565,0,0,0
1,0,2.92,3.64,3.10137,3.2,0,1.6,0,0,0,0.131868,0,0,0
1,0,1,1.1,2.656,0,0,0,0,0,0,0.145455,0,0,0
0,0,0.52,0.7,3.44615,1.6,1.6,0,0,0.8,0,0.342857,0,0,0
0,0,2.92,3.92,3.40822,0,0,1.6,0,0,0,0.0612245,0,0,0
0,0,0.88,0.96,2.54545,0,0,1.6,0,0.8,0,0.333333,0,0,0
1,0,2.04,2.66,3.26275,0,0,1.6,1.6,1.6,0,0.210526,0,0,0
0,0,0.28,0.41,3.77143,1.6,1.6,0,0,0,0,0.390244,0,0,0
1,1,2.28,3.45,3.83158,0,0,0,0,0.8,0,0.13913,0,0,0
0,1,0.6,0.82,3.46667,1.6,0,0,0,0,0,0.097561,0,0,0
1,1,13.32,18.11,3.29129,0,4.8,0,0,0,11.2,0.132523,0,0,0
1,1,2.2,3.28,3.92727,0,0,0,0,0,0,0.0487805,0,0,0
1,1,2.44,3.3,3.42295,0,0,1.6,0,0,0,0.0969697,0,0,0
0,1,0.8,1.33,4.44,0,0,0,0,0,0,0.0601504,0,0,0
1,1,5.28,7.1,3.41818,0,0,1.6,0,0,0,0.056338,0,0,0
1,1,1.72,2.71,4.03721,0,0,0,0,0.8,0,0.0590406,0,0,0
1,1,2.52,3.15,3.12381,0,0,0,0,2.4,0,0.177778,0,0,0
1,1,0.56,0.75,3.37143,1.6,0,0,0,0,0,0.213333,0,0,0
0,1,1.68,2.08,3.02857,1.6,0,3.2,0,0.8,0,0.153846,0,0,2
1,1,2.32,3.16,3.47586,0,0,0,0,0,0,0.0759494,0,0,0
0,1,0.64,0.92,3.75,1.6,0,1.6,0,0,0,0.0869565,0,0,0
1,1,3.12,4.44,3.63077,0,1.6,1.6,0,1.6,0,0.162162,0,0,0
1,1,2.32,3.57,3.97241,0,0,0,0,0,0,0.0896359,0,0,0
0,1,0.92,1.09,2.92174,1.6,0,0,0,0.8,0,0.220183,0,0,0
0,1,0.32,0.47,3.8,0,1.6,0,0,0,0,0.340426,0,0,0
0,1,0.28,0.24,1.82857,0,0,0,0,0.8,0,0.666667,0,0,0
1,1,1.32,1.99,3.95152,0,1.6,0,0,0,0,0.080402,0,0,0
0,1,0.28,0.39,3.65714,1.6,0,0,0,0,0,0.205128,0,0,0
1,1,1.8,2.46,3.48444,0,0,0,0,0,0,0.0650407,0,0,0
1,1,3.96,5.36,3.41818,0,0,0,0,0.8,0,0.134328,0,0,0
0,1,0.6,0.77,3.2,1.6,0,1.6,0,0.8,0,0.415584,0,2,0
1,1,2.32,4.56,4.26207,0,1.6,0,0,0,16.8,0.859649,0,0,0
0,1,1.08,1.57,3.67407,0,0,0,0,0.8,0,0.152866,0,0,0
0,1,0.92,1.22,3.33913,0,0,0,0,0,0,0.196721,0,0,0
1,1,3.88,4.82,3.05979,0,0,1.6,0,0,0,0.0829876,0,0,0
1,1,1.6,2.48,4.1,0,1.6,1.6,0,0,0,0.0967742,0,0,0
1,1,0.92,1.41,4.03478,0,0,0,0,0,0,0.0567376,0,0,0
0,1,0.4,0.53,3.36,0,1.6,0,0,0,0,0.45283,0,0,0
0,1,1.2,1.53,3.22667,0,0,1.6,0,0.8,0,0.156863,0,0,0
1,1,2,2.93,3.792,0,0,1.6,0,0,0,0.0546075,0,0,0
0,1,0.96,1.38,3.76667,0,0,0,0,0.8,0,0.115942,0,0,0
0,1,1.32,1.59,2.98182,0,0,1.6,0,0,0,0.100629,0,0,0
1,1,1.92,2.48,3.3,0,0,1.6,0,0,0,0.0322581,0,0,0
0,1,7.2,9.21,3.12889,0,0,6.4,0,4.8,0,0.121607,2.66667,0,0
1,1,3.84,4.84,3.14167,0,0,0,0,0.8,0,0.0826446,0,0,0
1,1,1.4,1.72,3.10857,0,0,0,0,0,0,0.0930233,0,0,0
1,1,1.8,2.6,3.66222,0,0,1.6,0,0.8,0,0.246154,0,0,0
