feature,mean_early,mean_late,delta,abs_delta,sign
8k,0.020455054662993702,0.0,-0.020455054662993702,0.020455054662993702,-1
4k,0.017669816470207437,0.0,-0.017669816470207437,0.017669816470207437,-1
the,0.058055698971897385,0.0483668168151032,-0.009688882156794185,0.009688882156794185,-1
by,0.055648205178922924,0.06430582221770996,0.008657617038787035,0.008657617038787035,1
3d,0.0076448832259239,0.0,-0.0076448832259239,0.0076448832259239,-1
rutkowski,0.014148687569784353,0.021663103229675327,0.0075144156598909734,0.0075144156598909734,1
greg,0.01555093860929318,0.022631015497795788,0.007080076888502608,0.007080076888502608,1
greg rutkowski,0.013968916333718044,0.020967598994908524,0.00699868266119048,0.00699868266119048,1
light,0.010365283604913551,0.017054758309165783,0.006689474704252232,0.006689474704252232,1
intricate,0.015428961623692445,0.021797531426724203,0.006368569803031758,0.006368569803031758,1
by greg,0.005308770878769868,0.011588383349587441,0.006279612470817574,0.006279612470817574,1
focus,0.012680448705641341,0.018899317541130604,0.0062188688354892635,0.0062188688354892635,1
studio,0.00685971338738672,0.012783431399260976,0.0059237180118742565,0.0059237180118742565,1
mm,0.004066013731158607,0.009740640328883058,0.005674626597724451,0.005674626597724451,1
art,0.03944659402367083,0.0451197809849336,0.0056731869612627675,0.0056731869612627675,1
as,0.024204387593142546,0.019240396405104918,-0.004963991188037628,0.004963991188037628,-1
close,0.00389898959634174,0.008585376098288102,0.004686386501946362,0.004686386501946362,1
lighting,0.021330734155112746,0.025949800993311935,0.004619066838199189,0.004619066838199189,1
up,0.00595598700504997,0.010394145518308077,0.004438158513258107,0.004438158513258107,1
sharp focus,0.011813523899565949,0.01612976844968379,0.0043162445501178405,0.0043162445501178405,1
sharp,0.014487760755090883,0.018741359116528026,0.004253598361437143,0.004253598361437143,1
art by,0.01395485322859635,0.018141078901718885,0.004186225673122535,0.004186225673122535,1
detailed,0.03674103793826083,0.040880461091991165,0.004139423153730337,0.004139423153730337,1
close up,0.0036739420836936682,0.007768282347433297,0.004094340263739629,0.004094340263739629,1
octane,0.01405212361391229,0.018088805081201163,0.004036681467288873,0.004036681467288873,1
and,0.05244036049696807,0.056420926043495474,0.003980565546527405,0.003980565546527405,1
colors,0.007557760965936384,0.011525089103736608,0.003967328137800224,0.003967328137800224,1
composition,0.0042339593022852,0.008111006853999195,0.0038770475517139946,0.0038770475517139946,1
is,0.011598768841041962,0.007811309332883711,-0.0037874595081582516,0.0037874595081582516,-1
render,0.017745438338907422,0.02121085348015881,0.0034654151412513885,0.0034654151412513885,1
illustration,0.017104437067971205,0.02049826701152402,0.0033938299435528133,0.0033938299435528133,1
octane render,0.012036938854764421,0.015378663522690439,0.0033417246679260174,0.0033417246679260174,1
ghibli,0.0025133028750814416,0.005822682912976931,0.0033093800378954895,0.0033093800378954895,1
dragon,0.0063517820995674,0.003074823854271487,-0.003276958245295913,0.003276958245295913,-1
studio ghibli,0.0018449360824139248,0.005097871024801842,0.0032529349423879176,0.0032529349423879176,1
colorful,0.005182440855643257,0.008413128434853385,0.003230687579210128,0.003230687579210128,1
van,0.003691979958513486,0.006884808483836305,0.003192828525322819,0.003192828525322819,1
his,0.007730178288689584,0.00453986613238623,-0.0031903121563033546,0.0031903121563033546,-1
symmetrical,0.007864125716555308,0.0046834026197797845,-0.0031807230967755232,0.0031807230967755232,-1
mark,0.005478318326827215,0.002303422363590059,-0.003174895963237156,0.003174895963237156,-1
in the,0.026080461724187574,0.022927565115007258,-0.003152896609180316,0.003152896609180316,-1
black,0.013786204593566078,0.01691103154269671,0.0031248269491306324,0.0031248269491306324,1
fi,0.002189941633070256,0.005257389893182066,0.00306744826011181,0.00306744826011181,1
woman,0.01092968326419238,0.01399660140422636,0.0030669181400339793,0.0030669181400339793,1
at,0.013780722752657583,0.010733762791037736,-0.0030469599616198464,0.0030469599616198464,-1
volumetric,0.006999077875073159,0.01001515315985973,0.003016075284786571,0.003016075284786571,1
face,0.014621115058046323,0.01759098341653196,0.0029698683584856358,0.0029698683584856358,1
fantasy,0.013429309142166066,0.016392674868094655,0.002963365725928589,0.002963365725928589,1
paint,0.0019924050183043303,0.0048872288777087065,0.002894823859404376,0.002894823859404376,1
in,0.05586421072808153,0.05301381294848401,-0.002850397779597523,0.002850397779597523,-1
street,0.0064312533739461445,0.0036476563303665965,-0.002783597043579548,0.002783597043579548,-1
frank,0.0029644092799146655,0.005708719965790918,0.0027443106858762523,0.0027443106858762523,1
sci fi,0.0021212560521683076,0.004810798641862118,0.0026895425896938103,0.0026895425896938103,1
sci,0.0021212560521683076,0.004810798641862118,0.0026895425896938103,0.0026895425896938103,1
villeneuve,0.001937768370749048,0.004626994427339787,0.0026892260565907393,0.0026892260565907393,1
portrait,0.030166427228285442,0.032846353758068915,0.002679926529783473,0.002679926529783473,1
of,0.07049977147914223,0.06786750131442061,-0.0026322701647216173,0.0026322701647216173,-1
highly,0.021547324017603207,0.024156409528451196,0.0026090855108479895,0.0026090855108479895,1
jeremy,0.0014091855495371262,0.003975470002767741,0.0025662844532306148,0.0025662844532306148,1
view,0.005750725415939311,0.008296986162743974,0.002546260746804663,0.002546260746804663,1
illustration by,0.003094277900556328,0.00560697554792557,0.0025126976473692415,0.0025126976473692415,1
golden,0.00481479193022947,0.007326117988886172,0.0025113260586567014,0.0025113260586567014,1
magali,0.0013615687114562618,0.0037997148666004763,0.0024381461551442147,0.0024381461551442147,1
background,0.011706133931478556,0.014126738717581244,0.002420604786102688,0.002420604786102688,1
playing,0.005333284325702784,0.002912682822267441,-0.002420601503435343,0.002420601503435343,-1
cinematic,0.018871962963030908,0.021267062306687016,0.0023950993436561083,0.0023950993436561083,1
to,0.011130429848620602,0.008745101580467143,-0.0023853282681534586,0.0023853282681534586,-1
mohrbacher,0.0017416422845860802,0.004114585255799545,0.002372942971213465,0.002372942971213465,1
beeple,0.0030505907315703227,0.00541493330675547,0.0023643425751851475,0.0023643425751851475,1
tree,0.004526124288072668,0.0021689173923433863,-0.0023572068957292813,0.0023572068957292813,-1
magali villeneuve,0.0013644195853323771,0.003720827953140298,0.0023564083678079208,0.0023564083678079208,1
