feature,vimp_cov,rank
8k,0.13144995050713604,1
4k,0.10305720140899968,2
3d,0.041945048804003265,3
mm,0.01903566305906213,4
greg rutkowski,0.01870612192142291,5
greg,0.01593648935699464,6
by,0.01505200036067952,7
intricate,0.014395179566457894,8
light,0.013681021764093493,9
lighting,0.013096977788171477,10
studio,0.013084874362964117,11
rutkowski,0.012602580772482275,12
detailed,0.012425420247969114,13
focus,0.011741820739489213,14
the,0.010485892389585114,15
by greg,0.009650290093283925,16
sharp,0.008979269711797872,17
van,0.008152860706165974,18
close,0.00812375662981196,19
of,0.007800778722385113,20
sharp focus,0.0074418703914660485,21
and,0.007430892173662822,22
studio ghibli,0.007156753464955352,23
in,0.007134906932881234,24
art,0.006604825971576088,25
render,0.006072419502541924,26
close up,0.0060416823554829075,27
octane,0.006016141667477442,28
highly,0.005945051941873182,29
fi,0.005543311056996286,30
in the,0.005474076956146554,31
colors,0.005430627592156316,32
on,0.005392923275498676,33
beeple,0.005372803873245376,34
octane render,0.005000208918026914,35
portrait,0.004983287030396892,36
is,0.004945823788841189,37
style,0.004812860070806836,38
cinematic,0.004758531157455237,39
fantasy,0.004660015562903963,40
up,0.00462107052102707,41
sci fi,0.004550819720462119,42
jeremy,0.004407240959658517,43
art smooth,0.004391465456287557,44
art by,0.004264443629934627,45
van baarle,0.004261825516272093,46
artstation,0.0042245330337059486,47
illustration,0.004171992318707652,48
ghibli,0.004168270623039899,49
trending,0.004105407722178866,50
with,0.004084824931782851,51
painting,0.004071003259342133,52
highly detailed,0.003941756401772174,53
volumetric,0.003693117201069452,54
bright,0.0036418428179188856,55
composition,0.003617581895535896,56
and intricate,0.0034509100685469153,57
ejsing,0.003407774451505604,58
sci,0.003398596956570168,59
trending on,0.0033797200619787525,60
portrait of,0.003352575367453844,61
elegant highly,0.003342579854570429,62
global illumination,0.003333878559608229,63
white,0.003323202626485449,64
evil,0.0031674852155751296,65
very,0.0031495020451254886,66
beautiful,0.003106338333429469,67
black,0.00310105118908141,68
on artstation,0.003040431988183352,69
an,0.0030355247677166775,70
villeneuve,0.0030191324021092885,71
dragon,0.0029839115857287243,72
symmetrical,0.002978535869959226,73
smooth,0.002956705026302695,74
golden,0.002915337315798905,75
realistic,0.002856014910994535,76
hyper,0.0028501402630222027,77
by wlop,0.002786704388517655,78
ornate,0.0027833294754732248,79
digital painting,0.0027785380515872133,80
mark,0.0027626200105919764,81
digital,0.002656463703460511,82
cinematic lighting,0.002628269231708406,83
concept,0.002563739642324102,84
masterpiece,0.002521171057729776,85
giger,0.002441467423400414,86
at,0.0024271172254033673,87
body,0.0024167754674374467,88
global,0.0024090031477750525,89
rendered,0.002394653221265288,90
ultra,0.002352248560298943,91
peter mohrbacher,0.0023356974910859604,92
scifi,0.0023278174656035954,93
from,0.002324387117056221,94
krenz cushart,0.0023139893855290616,95
artstation concept,0.002303980461580576,96
baarle,0.0022949420915420755,97
ultra realistic,0.002292957288242967,98
fantasy intricate,0.0022880504786750105,99
mohrbacher,0.0022413174412947885,100
painting artstation,0.0022256100462805083,101
frank,0.002217962027462711,102
magali,0.0022174712422029295,103
focus illustration,0.0022082118308420127,104
illumination,0.002202347079451112,105
and greg,0.0021960139714688087,106
ruan,0.002179272243484912,107
jesper,0.00213085558291313,108
intricate elegant,0.002109608280735811,109
artgerm,0.0020779302295916274,110
elegant,0.002023316533755601,111
dramatic,0.0019840081919336163,112
perfect,0.0019809906957872743,113
face,0.001961697741325032,114
city,0.0019600012882143346,115
design,0.001941211196431263,116
background,0.0019252137248272772,117
details,0.0019172614532863945,118
character,0.00190585441512908,119
disney,0.001890226508830819,120
style of,0.0018898355179605153,121
the style,0.0018658170932486329,122
as,0.001865175108555162,123
alphonse,0.00180799663650844,124
fantasy art,0.0017973370459573896,125
ruan jia,0.0017664208159651705,126
unreal engine,0.0017592191825713248,127
concept art,0.0017552368894947462,128
contrast,0.0016945949611314036,129
angle,0.0016944834890104507,130
soft,0.0016773791742721394,131
view,0.0016501694858078615,132
shot,0.001647689218566551,133
mucha,0.001638802510453877,134
hyperrealistic,0.0015851493471709312,135
woman,0.0015602150687096979,136
engine,0.0015348268433976,137
anime,0.001511309162688977,138
centered,0.0014916953487725004,139
painting of,0.0014594008528773733,140
image,0.0014493653209403266,141
wlop,0.0014403368504219975,142
oil,0.001434925394593329,143
photo,0.0014246373331790517,144
illustration by,0.001394620353162462,145
glowing,0.0013818490723109,146
at the,0.0013787160760432864,147
michael,0.0013762854107363402,148
alphonse mucha,0.0013319113992746232,149
krenz,0.0013311184530206215,150
smooth sharp,0.001307821282775503,151
rossdraws,0.001299092986091111,152
detailed digital,0.001290785586762161,153
jesper ejsing,0.001268891056945978,154
cyberpunk,0.0012551543845267204,155
unreal,0.0012544429847271483,156
lois van,0.0012395479105482736,157
tracing,0.0012333423830084614,158
hyperdetailed,0.0012147929007635823,159
and white,0.001178467467797689,160
color,0.0011743032901147998,161
quality,0.0011701929790820897,162
hyper realistic,0.001161609713731687,163
and alphonse,0.0011602697151093702,164
shadows,0.0011495146778911533,165
high,0.0011248205834677426,166
of the,0.0011247013749119577,167
girl,0.0010971970564929386,168
ilya kuvshinov,0.0010882031674202544,169
peter,0.001077651154858051,170
his,0.001075605022469961,171
digital art,0.0010678752854895905,172
hair,0.0010622746695606931,173
by artgerm,0.0010547634875636477,174
stanley,0.001049483985876485,175
painting trending,0.0010388393880540127,176
makoto shinkai,0.001035882442860017,177
space,0.0009882574732778117,178
wearing,0.0009589275611950547,179
dark,0.0009547046473189094,180
hdr,0.0009488940606680412,181
resolution,0.0009435280325217416,182
full body,0.0009367613744029476,183
shinkai,0.0009320495016289142,184
street,0.0009315838509348553,185
red,0.0009219928721516501,186
hyperrealism,0.0009108003309387183,187
colorful,0.0009060626552996661,188
dramatic lighting,0.0009003345787625787,189
realism,0.0008972246820016046,190
extremely detailed,0.0008956340343348725,191
female,0.0008736667844545394,192
it,0.0008470109926906406,193
detailed intricate,0.000828232086554052,194
shaded,0.000816902533763849,195
extremely,0.0008122390116171333,196
man,0.0008072370553711524,197
painted by,0.0008035810392499407,198
very detailed,0.0007984112393550869,199
rutkowski and,0.0007928764049533379,200
movie,0.0007819974574510622,201
armor,0.0007522192320829306,202
studio lighting,0.0007518091132050057,203
still,0.0007471372855255391,204
big,0.0007387135186566728,205
on the,0.0007369059644788377,206
photorealistic,0.0007338728020153252,207
amano,0.0007268587423441084,208
makoto,0.0007198303630027888,209
surrounded,0.0007172703515784516,210
gothic,0.0007165292784437311,211
paint,0.0006966255774875894,212
of an,0.0006957068343997403,213
magic,0.0006949461243331478,214
mask,0.0006935051653895774,215
clear,0.0006928932512215563,216
painted,0.0006888084374668717,217
golden ratio,0.0006835483497892099,218
vivid,0.0006728450034853809,219
pixiv,0.0006664270392613578,220
kuvshinov,0.0006532237583167148,221
surrounded by,0.0006459026121435343,222
psychedelic,0.00063538390744169,223
wayne,0.0006343884249837166,224
futuristic,0.0006294228718335962,225
vibrant,0.000614804119102509,226
photography,0.0006140831468533931,227
james,0.0006054021149822948,228
sky,0.0006020135665768142,229
her,0.0006014741938484603,230
depth of,0.0005973610995453817,231
vibrant colors,0.000591439651557945,232
intricate details,0.0005853689664818482,233
full,0.0005817690617398625,234
painting by,0.0005739028053460794,235
poster,0.0005713230538807398,236
hyper detailed,0.0005582420428425888,237
hildebrandt,0.0005547836193072031,238
detailed and,0.0005544030932388116,239
suit,0.0005362906057841655,240
oil painting,0.0005359699862798777,241
artwork,0.0005301289640276445,242
canvas,0.0005296709637146983,243
eyes,0.0005264673659773546,244
green,0.0005137820042199913,245
water,0.0005101220881674727,246
looking,0.000502995543326203,247
insanely,0.0004979379188366196,248
atmosphere,0.0004978403425648334,249
photo of,0.0004890053878625672,250
behance,0.0004797320017239246,251
illustration art,0.0004792317571840563,252
beksinski,0.00047880841967376216,253
side,0.000469462870496161,254
james jean,0.000464682883949738,255
still of,0.00046197371314490334,256
scene,0.0004592561196626573,257
wide angle,0.00044976667112838685,258
by james,0.000447255103701705,259
of beautiful,0.0004458476072567882,260
film,0.00043469906867941565,261
like,0.0004333615659399345,262
john,0.00043120419593417587,263
baarle ilya,0.0004273839050054422,264
lens,0.0004225503399224957,265
blue,0.00042096426502279214,266
art nouveau,0.0004168930167101939,267
portrait painting,0.0004124908331124432,268
shinkai and,0.0004040137080773205,269
ray tracing,0.0003916977782975759,270
the background,0.0003909103177271114,271
environment,0.0003902487859246546,272
vector,0.00038889459411917544,273
oil on,0.0003796734734153802,274
matte,0.00037615486567454525,275
artstation by,0.0003724767558781055,276
detail,0.0003723982479585543,277
extreme,0.0003716185312848579,278
cushart,0.0003658461672056235,279
station,0.0003530952856814985,280
long,0.0003478962592098488,281
head,0.0003387814438331731,282
standing,0.0003367018361439215,283
stunning,0.00033615429563537953,284
hd,0.0003271656771485975,285
high quality,0.00032700462135032784,286
art sharp,0.00032563758296268923,287
depth,0.0003254365207104761,288
leyendecker,0.00032534727819054626,289
