feature,f_score,rank,selected
mucha,99.89959074753044,1,1
alphonse,97.0910111222593,2,1
alphonse mucha,94.17624268189584,3,1
artgerm,71.66929499061001,4,1
elegant,60.00097549491997,5,1
by artgerm,57.278208384395576,6,1
body,52.64246323320263,7,1
woman,50.89735031995415,8,1
artgerm and,47.33177735361609,9,1
and alphonse,46.81448633257175,10,1
girl,45.55087485543255,11,1
sharp,42.97886604767809,12,1
young,42.05534149104195,13,1
illustration art,38.55886317447318,14,1
hair,37.22836787855927,15,1
intricate elegant,36.93164411748986,16,1
intricate,36.17654220595059,17,1
focus illustration,35.50795507398867,18,1
skin,35.4732594531729,19,1
dress,35.100030680435225,20,1
sharp focus,34.13727206927088,21,1
full body,33.99405950216597,22,1
smooth,33.33869342252201,23,1
focus,31.89618771714071,24,1
face,31.842727497375762,25,1
and greg,30.13255383910898,26,1
beautiful,30.028655417078493,27,1
female,29.893893620107825,28,1
elegant highly,29.616530544538886,29,1
rutkowski and,28.557293131627638,30,1
pose,27.52639451117675,31,1
art by,27.449301066738634,32,1
nouveau,27.23398496745247,33,1
smooth sharp,26.988262048986496,34,1
detailed digital,26.58932888330969,35,1
art nouveau,26.02221172459091,36,1
art,25.497908281415107,37,1
gorgeous,22.60405255787017,38,1
portrait,22.13272335967121,39,1
character,21.67324233553134,40,1
greg,21.571625265247434,41,0
leyendecker,21.33294839630726,42,0
of beautiful,21.23956667190345,43,0
full,20.901379609746808,44,0
hildebrandt,19.814577967755206,45,0
painting artstation,19.52940275676525,46,0
bowater,18.47790572872306,47,0
wlop and,18.35555021249728,48,0
digital painting,18.151825525909413,49,0
highly,18.113998232863658,50,0
highly detailed,18.08645263473806,51,0
and,17.659005104146928,52,0
fashion,17.54787120158723,53,0
fantasy,17.36217516047444,54,0
art smooth,17.155699273921478,55,0
armor,16.889224504699815,56,0
krenz cushart,16.080295636947874,57,0
fantasy intricate,15.688928272629179,58,0
artstation concept,15.45276435166213,59,0
the,15.302239526980449,60,0
woman with,14.802130208064405,61,0
model,14.290801614934427,62,0
greg rutkowski,14.271337409517045,63,0
rutkowski,13.95372534726198,64,0
room,13.063352965649214,65,0
girl with,12.845621968047496,66,0
symmetrical,12.689163951825654,67,0
portrait of,12.52497880752673,68,0
purple,12.162708733745793,69,0
illustration,12.050679069925623,70,0
goddess,12.027477754913473,71,0
eyes,12.023803694632296,72,0
frank,11.95417728497533,73,0
flying,11.87430307473089,74,0
lens,11.734450562812917,75,0
landscape,11.732086771048236,76,0
gaston bussiere,11.646313520836108,77,0
gaston,11.646313520836108,78,0
cushart,11.427723931809386,79,0
amano,11.231325263063571,80,0
sky,11.206158251239337,81,0
are,11.173921218152952,82,0
cat,11.108280642005791,83,0
aesthetic,11.054830319456714,84,0
princess,10.740891087815815,85,0
ilya kuvshinov,10.608228389170044,86,0
krenz,10.23733950634073,87,0
wlop,10.153403854280445,88,0
charlie,10.075647587553043,89,0
detailed face,9.935740101966617,90,0
norman,9.899347190821038,91,0
concept art,9.814472609386828,92,0
city,9.595313937153398,93,0
bussiere,9.567093093388904,94,0
by ilya,9.546539402865447,95,0
artstation,9.506157467532281,96,0
in the,9.416606055915748,97,0
in,9.228563748364042,98,0
kuvshinov,9.033582123156835,99,0
short,8.64509602416068,100,0
by wlop,8.623114234726687,101,0
jean,8.412531775609079,102,0
blonde,7.896062174110929,103,0
long,7.569670385252817,104,0
gothic,7.561020908270264,105,0
profile,7.3743852341327925,106,0
and wlop,7.34605802306402,107,0
rockwell,7.1330591671181445,108,0
ilya,7.0850643829563635,109,0
james jean,6.993359004476921,110,0
loish,6.889288071766435,111,0
male,6.84183287721905,112,0
concept,6.480152560476097,113,0
by,6.216720492364658,114,0
it,6.072320020304481,115,0
view,6.01684917944935,116,0
mark,5.977762863168691,117,0
symmetry,5.761302273729464,118,0
comic,5.682875926618311,119,0
an,5.635711696643748,120,0
trees,5.5692580167442,121,0
house,5.524517867150328,122,0
moon,5.325731574371878,123,0
giant,5.313692012283269,124,0
magali,5.035683337142848,125,0
magali villeneuve,5.035683337142843,126,0
detailed,4.750474927140783,127,0
pixiv,4.7408058547752905,128,0
warrior,4.624871673237539,129,0
by james,4.5849989053892255,130,0
dragon,4.534193186633299,131,0
big,4.4830223646100675,132,0
out of,4.3129025705297295,133,0
picture,4.250087431590783,134,0
glass,4.239182951184681,135,0
stars,4.17674906057209,136,0
art of,4.167010092319862,137,0
james,4.113465984403166,138,0
space,4.069054660552183,139,0
stunning,4.066285818592506,140,0
neon,4.03607100772127,141,0
tom bagshaw,4.026786466239986,142,0
medieval,3.9452174091768355,143,0
ancient,3.9157375806582713,144,0
her,3.855971042360823,145,0
boris,3.855545038027429,146,0
intricate details,3.8203511411872535,147,0
deviantart,3.8142399399460944,148,0
yellow,3.785562914168818,149,0
bagshaw,3.7791472439153946,150,0
painting of,3.7497521076536495,151,0
studio,3.7099088412554075,152,0
ross tran,3.706721794433811,153,0
tran,3.706721794433811,154,0
masterpiece,3.634559774068175,155,0
floating,3.632215718561529,156,0
through,3.5988297835602636,157,0
out,3.592272120847559,158,0
shot,3.558444168822985,159,0
wearing,3.4453800867334583,160,0
photorealistic,3.3217139478418063,161,0
inside,3.2618191726866916,162,0
tree,3.1926338233099476,163,0
wide,3.1895580091500975,164,0
of,3.1620366728345015,165,0
details,3.050100668570375,166,0
of the,3.0106936463442997,167,0
poster,2.9893742672389814,168,0
photo,2.95915663716137,169,0
hyperrealistic,2.957089617702607,170,0
coherent,2.94890881322859,171,0
smiling,2.93885127180108,172,0
dynamic,2.8665110666515847,173,0
of an,2.824335952403315,174,0
with,2.8071452274108397,175,0
baroque,2.733067508859987,176,0
color,2.719268886058071,177,0
at the,2.708349221318323,178,0
metal,2.6983573439654367,179,0
white,2.659808207984441,180,0
side,2.6492147564719333,181,0
architecture,2.612162520061034,182,0
digital,2.553836476837651,183,0
rossdraws,2.525962862815817,184,0
oil painting,2.51213105945433,185,0
