feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
intricate,36.17654220595059,17,1,0.014395179566457894,0.006368569803031758,0.006368569803031758,1,0.015428961623692445,0.021797531426724203,0.9791666666666666,1
sharp,42.97886604767809,12,1,0.008979269711797872,0.004253598361437143,0.004253598361437143,1,0.014487760755090883,0.018741359116528026,0.9694010416666666,2
focus,31.89618771714071,24,1,0.011741820739489213,0.0062188688354892635,0.0062188688354892635,1,0.012680448705641341,0.018899317541130604,0.9694010416666666,3
greg,21.571625265247434,41,0,0.01593648935699464,0.007080076888502608,0.007080076888502608,1,0.01555093860929318,0.022631015497795788,0.966796875,4
sharp focus,34.13727206927088,21,1,0.0074418703914660485,0.0043162445501178405,0.0043162445501178405,1,0.011813523899565949,0.01612976844968379,0.9615885416666666,5
greg rutkowski,14.271337409517045,63,0,0.01870612192142291,0.00699868266119048,0.00699868266119048,1,0.013968916333718044,0.020967598994908524,0.9524739583333334,6
art,25.497908281415107,37,1,0.006604825971576088,0.0056731869612627675,0.0056731869612627675,1,0.03944659402367083,0.0451197809849336,0.9518229166666666,7
the,15.302239526980449,60,0,0.010485892389585114,-0.009688882156794185,0.009688882156794185,-1,0.058055698971897385,0.0483668168151032,0.951171875,8
rutkowski,13.95372534726198,64,0,0.012602580772482275,0.0075144156598909734,0.0075144156598909734,1,0.014148687569784353,0.021663103229675327,0.9485677083333334,9
art by,27.449301066738634,32,1,0.004264443629934627,0.004186225673122535,0.004186225673122535,1,0.01395485322859635,0.018141078901718885,0.9375,10
and,17.659005104146928,52,0,0.007430892173662822,0.003980565546527405,0.003980565546527405,1,0.05244036049696807,0.056420926043495474,0.9368489583333334,11
by,6.216720492364658,114,0,0.01505200036067952,0.008657617038787035,0.008657617038787035,1,0.055648205178922924,0.06430582221770996,0.9205729166666666,12
portrait,22.13272335967121,39,1,0.004983287030396892,0.002679926529783473,0.002679926529783473,1,0.030166427228285442,0.032846353758068915,0.9166666666666666,13
highly,18.113998232863658,50,0,0.005945051941873182,0.0026090855108479895,0.0026090855108479895,1,0.021547324017603207,0.024156409528451196,0.9127604166666666,14
