feature,mean_early,mean_late,delta,abs_delta,sign
hp_cfg,-0.10816003026610015,0.10816003026610195,0.2163200605322021,0.2163200605322021,1
hp_step,0.05226984464701905,-0.05226984464701477,-0.10453968929403382,0.10453968929403382,-1
8k,0.025496124994524524,0.0,-0.025496124994524524,0.025496124994524524,-1
4k,0.021796466817508547,0.0,-0.021796466817508547,0.021796466817508547,-1
the,0.07174363845512247,0.05655170900103529,-0.015191929454087177,0.015191929454087177,-1
by,0.06610547301864922,0.07924406680530835,0.01313859378665913,0.01313859378665913,1
as,0.02632527460357646,0.01409041050024256,-0.012234864103333899,0.012234864103333899,-1
sampler=8,0.994,0.983,-0.01100000000000001,0.01100000000000001,-1
octane,0.013108457660092533,0.023806744215235317,0.010698286555142784,0.010698286555142784,1
art,0.04946486995089085,0.06009445756466854,0.010629587613777691,0.010629587613777691,1
render,0.017757340051454486,0.027821645482074157,0.010064305430619671,0.010064305430619671,1
greg,0.015782897862438156,0.025242206463375768,0.009459308600937612,0.009459308600937612,1
and,0.06571859197335625,0.07513029166887576,0.009411699695519513,0.009411699695519513,1
of,0.09038498766767565,0.08109597671190524,-0.009289010955770408,0.009289010955770408,-1
portrait,0.03340833979148695,0.042341972466216626,0.008933632674729679,0.008933632674729679,1
octane render,0.011968435330176394,0.020650681936843728,0.008682246606667334,0.008682246606667334,1
hyper,0.008655538152115021,0.017117753984357085,0.008462215832242064,0.008462215832242064,1
digital art,0.01962703160940864,0.01122948573479087,-0.008397545874617772,0.008397545874617772,-1
greg rutkowski,0.014378443108223721,0.02270026474501089,0.00832182163678717,0.00832182163678717,1
rutkowski,0.014569215305565226,0.02266734301063887,0.008098127705073645,0.008098127705073645,1
masterpiece,0.008043040548811112,0.016128046945106566,0.008085006396295454,0.008085006396295454,1
cinematic,0.02745640885583107,0.019640875946114016,-0.007815532909717055,0.007815532909717055,-1
portrait of,0.020416249409715034,0.027987815952249927,0.007571566542534894,0.007571566542534894,1
background,0.011379881430028117,0.01844159450055721,0.007061713070529092,0.007061713070529092,1
sampler=4,0.0,0.007,0.007,0.007,1
light,0.012371850902647507,0.018933003916875378,0.006561153014227871,0.006561153014227871,1
composition,0.00423519029880612,0.010520292372352087,0.006285102073545967,0.006285102073545967,1
photo,0.02038535052392971,0.02664832003569938,0.006262969511769672,0.006262969511769672,1
robot,0.0037570127597735038,0.009991748410995812,0.006234735651222309,0.006234735651222309,1
art by,0.016682398238096766,0.022841412851975988,0.006159014613879223,0.006159014613879223,1
volumetric,0.006488269627566029,0.012456079106518752,0.005967809478952723,0.005967809478952723,1
volumetric lighting,0.003996905362225652,0.009821101551617884,0.005824196189392232,0.005824196189392232,1
mm,0.006309893765494511,0.012124802493003508,0.005814908727508997,0.005814908727508997,1
face,0.013442831405859055,0.019221639112742772,0.005778807706883717,0.005778807706883717,1
canvas,0.0032050781632522313,0.008916832425196452,0.005711754261944221,0.005711754261944221,1
up,0.010113990761497223,0.01566012319177596,0.0055461324302787385,0.0055461324302787385,1
hyper detailed,0.0032180091918849727,0.008755536214787932,0.0055375270229029595,0.0055375270229029595,1
in the,0.03374539457223462,0.028281540629824162,-0.005463853942410456,0.005463853942410456,-1
shinkai,0.004287342422700472,0.009746305345897262,0.00545896292319679,0.00545896292319679,1
makoto,0.004287342422700472,0.009746305345897262,0.00545896292319679,0.00545896292319679,1
makoto shinkai,0.004287342422700472,0.009746305345897262,0.00545896292319679,0.00545896292319679,1
intricate,0.02124858853376661,0.026649669590885227,0.005401081057118617,0.005401081057118617,1
artwork,0.010464224950661538,0.005089000952309661,-0.005375223998351878,0.005375223998351878,-1
close,0.004898644123199157,0.010261397579041627,0.00536275345584247,0.00536275345584247,1
old,0.0037171619436838924,0.009036401913886051,0.005319239970202159,0.005319239970202159,1
focus,0.015895060460684163,0.02120565118926378,0.005310590728579617,0.005310590728579617,1
oil,0.010333336708144908,0.01555125829085779,0.005217921582712882,0.005217921582712882,1
at,0.017190838638864794,0.011998288313268757,-0.005192550325596037,0.005192550325596037,-1
studio,0.007340242749229465,0.01253053668930802,0.005190293940078555,0.005190293940078555,1
image,0.010233143852914637,0.0050815059195979655,-0.005151637933316671,0.005151637933316671,-1
environment,0.0023175952146707503,0.007404479899116254,0.005086884684445504,0.005086884684445504,1
by greg,0.005822690993894211,0.010843700992405426,0.0050210099985112154,0.0050210099985112154,1
fantasy,0.01634130938174121,0.021359026513977787,0.005017717132236577,0.005017717132236577,1
golden,0.009865738782101193,0.004878553939939456,-0.0049871848421617375,0.0049871848421617375,-1
ghibli,0.0032065018356430804,0.008175786000230835,0.004969284164587755,0.004969284164587755,1
cute,0.0074056448428851335,0.012370030299790353,0.004964385456905219,0.004964385456905219,1
beautiful,0.02573974088606347,0.030628942881326764,0.004889201995263295,0.004889201995263295,1
detail,0.011346225158292672,0.01620864538239159,0.004862420224098919,0.004862420224098919,1
armor,0.007578318508915677,0.0027678688915603457,-0.004810449617355331,0.004810449617355331,-1
colors,0.010673953897983408,0.015453314933903147,0.004779361035919739,0.004779361035919739,1
game,0.005066442006754358,0.009822819266581932,0.0047563772598275735,0.0047563772598275735,1
of beautiful,0.003943643752703855,0.008586565157255132,0.0046429214045512765,0.0046429214045512765,1
painting of,0.01771562900513347,0.013085166495291933,-0.004630462509841537,0.004630462509841537,-1
of the,0.01516520065204417,0.010539642656495261,-0.0046255579955489096,0.0046255579955489096,-1
john,0.004845111316883836,0.00944138728237738,0.004596275965493543,0.004596275965493543,1
unreal,0.012097149721426483,0.01663877907126183,0.004541629349835347,0.004541629349835347,1
detailed,0.04470662164965952,0.04921715882770023,0.004510537178040709,0.004510537178040709,1
movie,0.014487566912042768,0.010060345999069483,-0.004427220912973285,0.004427220912973285,-1
on,0.04828954342804682,0.044125599088483944,-0.004163944339562874,0.004163944339562874,-1
landscape,0.004714349121490946,0.008857008200323445,0.004142659078832499,0.004142659078832499,1
ilya kuvshinov,0.003329324018468313,0.007453696222645221,0.004124372204176907,0.004124372204176907,1
and greg,0.006888204183493664,0.010999248689051487,0.004111044505557823,0.004111044505557823,1
matte,0.011817656772333636,0.0077347179170432455,-0.00408293885529039,0.00408293885529039,-1
photography,0.013420451469245807,0.009385443464421384,-0.0040350080048244235,0.0040350080048244235,-1
very,0.017040634342209274,0.01308004876277726,-0.003960585579432014,0.003960585579432014,-1
shinkai and,0.002490930761686986,0.006445898142676218,0.003954967380989232,0.003954967380989232,1
in,0.07165629102485656,0.06772076078861962,-0.003935530236236939,0.003935530236236939,-1
night,0.01044720243494903,0.006547958551091918,-0.0038992438838571127,0.0038992438838571127,-1
ilya,0.0037890431286521503,0.007674632447457906,0.0038855893188057553,0.0038855893188057553,1
kuvshinov,0.0035669332639723036,0.007419528760115461,0.0038525954961431573,0.0038525954961431573,1
dragon,0.006597603822603855,0.0027485293152928244,-0.003849074507311031,0.003849074507311031,-1
made of,0.003844160224350537,0.007660442322114478,0.0038162820977639413,0.0038162820977639413,1
gold,0.004842976495611959,0.008656327545995055,0.0038133510503830957,0.0038133510503830957,1
head,0.005075346018684122,0.008882375300159232,0.0038070292814751105,0.0038070292814751105,1
