feature,vimp_cov,rank
8k,0.10497941744830867,1
hp_cfg,0.07014855334729476,2
4k,0.06578630380011044,3
by,0.025559591788202145,4
octane,0.020682088080365126,5
the,0.017963941198798877,6
greg rutkowski,0.016386848871174146,7
and,0.01627608634705861,8
render,0.01623818340912898,9
hp_step,0.015865514021194828,10
of,0.01584902992608782,11
cinematic,0.014835184579004087,12
hyper,0.014654621691285044,13
rutkowski,0.014317687472223095,14
greg,0.011421227203143314,15
intricate,0.010292994799315723,16
portrait,0.010290185017281865,17
art,0.009906269171734983,18
as,0.009556438499034647,19
volumetric,0.009064129527558685,20
environment,0.008521591590365935,21
in,0.008511523864084294,22
with,0.008329186116035617,23
detailed,0.0080947371959395,24
masterpiece,0.008081865653463697,25
highly,0.007908593439383283,26
on,0.007440869438880286,27
portrait of,0.007191436539705868,28
mucha,0.007155894356127168,29
up,0.007096460449167001,30
composition,0.006979362207403706,31
unreal,0.0069381224607057545,32
by greg,0.006701424461704986,33
background,0.006615616238891904,34
highly detailed,0.006550640906547946,35
makoto,0.006408639405214073,36
and greg,0.006356650141654208,37
art by,0.006207263921530254,38
detail,0.006184759612873686,39
photo,0.005816559534737494,40
golden,0.005805777244977136,41
alphonse,0.005475156316262132,42
makoto shinkai,0.005442158526169109,43
alphonse mucha,0.005411292731356285,44
artwork,0.005371533864529969,45
octane render,0.005344296211058619,46
mm,0.005268981592982019,47
light,0.005100785574536864,48
digital,0.005080387412812767,49
painting,0.005057892284178791,50
focus,0.005013200414746291,51
style of,0.005012711748431613,52
close,0.00498079816321339,53
oil,0.00492591278698184,54
artstation,0.004919030049847343,55
artgerm,0.004897089655698014,56
smooth sharp,0.004639659890767011,57
robot,0.004490653205938455,58
lighting,0.004447078090313511,59
high,0.0044430143126865645,60
digital art,0.00435976691244775,61
game,0.004322272794993769,62
shinkai,0.004266553081887401,63
trending on,0.004214332552399153,64
from,0.004179259019775859,65
in the,0.004056448667076943,66
face,0.0038569511223748563,67
concept,0.0037168125178595837,68
of beautiful,0.0036963209710559755,69
volumetric lighting,0.003681991563952244,70
painting of,0.003660934314846147,71
hyper detailed,0.003555822597357392,72
head,0.003499205531466833,73
illustration art,0.0034866403306509607,74
landscape,0.0034369120848016924,75
engine,0.003266130528186527,76
shinkai and,0.0032221285314932785,77
beautiful,0.003160974046704022,78
sharp focus,0.003158285418982362,79
beeple,0.0031553100332984024,80
colors,0.0031500875479885436,81
rutkowski and,0.0031212039094728806,82
illustration,0.003063232708742172,83
on artstation,0.0030520126933306175,84
trending,0.003027460198581412,85
glowing,0.0029380347371036437,86
photorealistic,0.0028916975824939866,87
movie,0.002860359334487996,88
hd,0.0028434468972000295,89
an,0.0028369549858471084,90
digital painting,0.00280159237520385,91
unreal engine,0.0027740782946879794,92
canvas,0.002724811139324402,93
concept art,0.0026248088613152532,94
old,0.0025936175281360396,95
armor,0.002542774125971971,96
epic,0.002539418501137776,97
color,0.002504010210147594,98
image,0.002501329128362234,99
john,0.00249099640451259,100
smooth,0.0024895620525429087,101
eyes,0.00247772652268382,102
ghibli,0.0024470809589224726,103
view,0.002430302922701439,104
symmetrical,0.0023752924335655604,105
dramatic,0.0023746503056771592,106
fantasy,0.0023674157811009434,107
matte,0.0023476922892074446,108
ray,0.0022947951826974124,109
of field,0.0022850228093417753,110
japanese,0.002252027133359242,111
the style,0.002226509227900586,112
gold,0.0022037468965996404,113
ultra detailed,0.0021769827825821606,114
girl,0.0021297863712625925,115
resolution,0.0020366675871957276,116
cute,0.002000290407682267,117
style,0.0019832490633043946,118
of the,0.0019156160422405314,119
hair,0.0018894357553530413,120
sky,0.0018729482135441387,121
ultra,0.0018087149192796334,122
dress,0.001800218019971675,123
and alphonse,0.0017519182896938705,124
high detail,0.0016652301362148417,125
at,0.0016369687314357318,126
out,0.0016185906234603635,127
big,0.0015859884410317452,128
wlop,0.0015787119670681734,129
kuvshinov,0.001551378521853494,130
artstation concept,0.0015247343203308107,131
painting artstation,0.0014867208805513534,132
detailed digital,0.0014832095671297423,133
young,0.0014749458001492508,134
by artgerm,0.001467476797114378,135
design,0.0014151224061417199,136
rendered,0.0013760834243634699,137
dark,0.0013624830117458559,138
painting by,0.0013441266484849872,139
field,0.0013338304095264406,140
beksinski,0.0013125010991445955,141
ilya kuvshinov,0.0012939796803568262,142
very,0.0012800027853221688,143
realistic,0.0012797756664660854,144
futuristic,0.0012730584326934693,145
woman,0.0012698352200812245,146
details,0.0012007691592296104,147
elegant,0.0011615994098529525,148
cyberpunk,0.0011477891887388693,149
ilya,0.001147079739583307,150
female,0.0011325442065694487,151
sampler=8,0.0011050170986267212,152
soft,0.0010926806293088606,153
sharp,0.0010853435257202003,154
forest,0.0010843730540117304,155
studio,0.0010823455265175394,156
frank,0.0010799780286899305,157
painting trending,0.0010731828241545434,158
on the,0.0010717153772300798,159
intricate elegant,0.0010456197300404788,160
made of,0.0010005705535451291,161
medieval,0.0009434923391238014,162
his,0.0009381978740405032,163
long,0.0009380209043118901,164
character,0.0008871362970689405,165
elegant highly,0.0008557198497090206,166
lens,0.0008412457685388622,167
holding,0.0008382519292496566,168
close up,0.0008224489690183036,169
oil painting,0.0008043460606660593,170
depth,0.0008034627915439864,171
wearing,0.0007989687950891921,172
jean,0.000797933974685074,173
focus illustration,0.0007642897324582705,174
white,0.0007449788137848119,175
peter mohrbacher,0.0007166480012493254,176
blue,0.0007146973724748805,177
ultra realistic,0.0007045278358674872,178
james jean,0.0006780482892703152,179
dramatic lighting,0.000669624329484443,180
anime,0.0006693855595497918,181
artgerm and,0.0006478117430448681,182
stunning,0.0006448475834125807,183
still,0.0006403225737476568,184
body,0.0006381194876668608,185
photography,0.0006267492045381445,186
angle,0.0006094477155961391,187
full,0.0005992170259186934,188
photo of,0.0005923995299059522,189
studio ghibli,0.0005868464872464079,190
like,0.0005669455713845735,191
behance,0.0005654794068468808,192
thomas,0.0005205197498332485,193
matte painting,0.000510097922006744,194
red,0.0005030541435040937,195
man,0.0004974313540058388,196
dragon,0.0004835845799844688,197
hyper realistic,0.000483253215228525,198
scene,0.0004754402244662717,199
from the,0.0004579111814025243,200
depth of,0.0004378417771949996,201
realism,0.00041098504209642774,202
black,0.0004015940212215432,203
night,0.00040046283927098477,204
art smooth,0.00039728179285099843,205
hyperrealistic,0.000382122829166731,206
global,0.00037246616679037075,207
illumination,0.0003605134902570794,208
colorful,0.0003506673969069994,209
skin,0.0003505372935274958,210
wide,0.0003493463591075642,211
neon,0.00034638206077944306,212
winning,0.0003384075850804961,213
film,0.00032281501671030144,214
alien,0.00031833883444796893,215
is,0.0003118341061583646,216
james,0.0003045813718387553,217
quality,0.0002911316359568754,218
her,0.00028607223802682,219
made,0.000251561856527073,220
cgsociety,0.000246380561887177,221
art sharp,0.00023726585397029006,222
ornate,0.0002305608826484049,223
craig,0.00022471561746985363,224
shot,0.00018729657377305087,225
tom,0.00018527072609367154,226
mohrbacher,0.0001790428629798044,227
award winning,0.00017329050741480355,228
poster,0.0001482276307419677,229
high quality,0.00013880413623785845,230
peter,8.475220840365043e-05,231
vibrant,7.013003253165983e-05,232
van,6.56404501208267e-05,233
rossdraws,6.386123818280703e-05,234
cinematic lighting,7.985242599029646e-06,235
space,2.938733673851497e-08,236
global illumination,0.0,237
gothic,0.0,238
green,0.0,239
hdr,0.0,240
giant,0.0,241
giger,0.0,242
extremely,0.0,243
for,0.0,244
dynamic,0.0,245
extremely detailed,0.0,246
award,0.0,247
to,0.0,248
front,0.0,249
full body,0.0,250
cat,0.0,251
photograph,0.0,252
perfect,0.0,253
of an,0.0,254
large,0.0,255
city,0.0,256
sitting,0.0,257
room,0.0,258
standing,0.0,259
sampler=1,0.0,260
sampler=3,0.0,261
sampler=2,0.0,262
sampler=4,0.0,263
sampler=5,0.0,264
sampler=6,0.0,265
sampler=7,0.0,266
