feature,f_score,rank,selected
woman,19.497339942763755,1,1
focus illustration,19.27716764680925,2,1
hp_cfg,19.09259659618719,3,1
artgerm,17.8566575467135,4,1
full body,16.52154448397516,5,1
intricate elegant,16.155720092609545,6,1
hair,15.612563176146255,7,1
alphonse mucha,15.596877218129485,8,1
alphonse,15.596877218129485,9,1
digital,15.446388580655562,10,1
and greg,14.243211239817581,11,1
sharp,14.104983659844567,12,1
volumetric,13.933004252318181,13,1
skin,13.287452817591962,14,1
full,13.1731975065737,15,1
highly detailed,12.300249019668785,16,1
and alphonse,12.260490218624865,17,1
artgerm and,12.100369192275751,18,1
elegant highly,11.858772540739686,19,1
highly,11.756608523034368,20,1
symmetrical,11.222527244307464,21,0
sharp focus,11.151572591166609,22,0
elegant,10.869598529797955,23,0
greg,10.772952684468216,24,0
rutkowski and,10.599709487367377,25,0
detailed digital,10.46093497676352,26,0
digital painting,10.326689605535949,27,0
focus,10.272051573765655,28,0
smooth,10.197011524147813,29,0
dress,9.764564727557907,30,0
japanese,9.566026622161338,31,0
james jean,9.42381828839262,32,0
concept art,8.59089119263264,33,0
rutkowski,8.314192943227662,34,0
mucha,8.269833607359685,35,0
illustration,7.817056853669533,36,0
illustration art,7.409813239730318,37,0
greg rutkowski,7.242240141476154,38,0
the,7.190746131010066,39,0
hp_step,7.1310252646295895,40,0
body,6.495088877722998,41,0
space,6.486100834342422,42,0
by artgerm,6.327332552060331,43,0
art smooth,6.097575096834156,44,0
digital art,5.926955973825218,45,0
style,5.617421634425533,46,0
art,5.58985940503175,47,0
on artstation,5.272913935910957,48,0
james,5.236107623625641,49,0
armor,5.148101681589944,50,0
her,4.890545396552823,51,0
artstation concept,4.707938864720941,52,0
craig,4.486687203001255,53,0
artstation,4.395384037709954,54,0
trending,4.031802846220435,55,0
cute,4.001675313947022,56,0
by greg,3.9601175484180198,57,0
trending on,3.955162505685088,58,0
painting,3.8839899336250134,59,0
background,3.837343734784056,60,0
concept,3.7709895221175804,61,0
painting by,3.732449678874706,62,0
painting of,3.695106714973236,63,0
on the,3.675992991665257,64,0
like,3.636475706490936,65,0
perfect,3.607164270641962,66,0
holding,3.5734089988956117,67,0
of beautiful,3.4674485076384896,68,0
wlop,3.4346263526994125,69,0
portrait,3.3954889149143708,70,0
ilya,3.3654043183428937,71,0
smooth sharp,3.3084608406040257,72,0
face,3.261416475208,73,0
in the,3.227253353294907,74,0
painting artstation,3.2105921372931956,75,0
cgsociety,3.1935444043707046,76,0
lighting,3.0916143029491,77,0
masterpiece,3.07564380516745,78,0
girl,3.011543974071604,79,0
jean,3.0100919860207993,80,0
in,2.9909847996454255,81,0
white,2.7430693423150587,82,0
beautiful,2.6962769636610533,83,0
intricate,2.4210211549551413,84,0
volumetric lighting,2.3961966930253764,85,0
realism,2.3903171150920492,86,0
sampler=2,2.3364548494983373,87,0
sampler=5,2.3364548494983133,88,0
wearing,2.290026848246236,89,0
style of,2.2850602054656335,90,0
details,2.259134938564854,91,0
at,2.230004616496878,92,0
very,2.207459185544592,93,0
detailed,2.206672942701194,94,0
kuvshinov,2.1884588688242634,95,0
hyper realistic,2.178494745591608,96,0
game,2.1298433337455256,97,0
gothic,2.1218761160155406,98,0
canvas,2.07848683455137,99,0
painting trending,2.0407557250168327,100,0
and,2.040041085416788,101,0
eyes,2.0130364655251665,102,0
color,1.9900598393797848,103,0
art by,1.9497188141046422,104,0
ray,1.9241386183310016,105,0
to,1.8513283841746813,106,0
of the,1.8501142065073715,107,0
close,1.8355742510253004,108,0
art sharp,1.821614241509261,109,0
from the,1.8178416785283442,110,0
man,1.7461649978359923,111,0
beksinski,1.7191264226943197,112,0
an,1.641894667430376,113,0
behance,1.592189302450001,114,0
city,1.5639259723783632,115,0
john,1.557748682934189,116,0
blue,1.555759394325174,117,0
photo of,1.5304751960401866,118,0
landscape,1.4918355306376596,119,0
extremely,1.3631556223360495,120,0
out,1.360672424417887,121,0
shot,1.3314410211558798,122,0
high,1.2442363787588053,123,0
photography,1.239182213600802,124,0
ilya kuvshinov,1.2196287164132102,125,0
van,1.217022866798309,126,0
stunning,1.2159767570665099,127,0
dramatic lighting,1.2153507727120487,128,0
cinematic,1.1866332201104572,129,0
giger,1.1561296951426379,130,0
sampler=8,1.1487769784172646,131,0
portrait of,1.1484576613331139,132,0
the style,1.0548154750692682,133,0
futuristic,1.0464817711259655,134,0
close up,1.008800831959494,135,0
soft,1.0071928721411858,136,0
studio,1.0034693868684579,137,0
night,0.9905689343625873,138,0
depth of,0.9718963890814799,139,0
rendered,0.9540268360549491,140,0
ultra,0.9490012467427844,141,0
cat,0.8012806024066835,142,0
shinkai and,0.7787594614339347,143,0
dragon,0.7694187796779389,144,0
with,0.7514346920414277,145,0
by,0.7508797371658693,146,0
black,0.7229856734187916,147,0
extremely detailed,0.7196343463911897,148,0
colorful,0.6951365773641077,149,0
cyberpunk,0.6923316380972605,150,0
dark,0.6833721381000217,151,0
large,0.6752536528466897,152,0
thomas,0.660915475573805,153,0
ghibli,0.6481399022190563,154,0
resolution,0.6339973019479127,155,0
makoto shinkai,0.592357432945177,156,0
makoto,0.592357432945177,157,0
shinkai,0.592357432945177,158,0
vibrant,0.5823866998393855,159,0
from,0.5642035402662446,160,0
as,0.5538362657463719,161,0
peter,0.5385428638060324,162,0
ornate,0.5332389659942838,163,0
of an,0.5328607300290628,164,0
long,0.5191848794044983,165,0
photo,0.5186396311121867,166,0
of field,0.5075598373490805,167,0
standing,0.457844487322896,168,0
composition,0.45445671312082553,169,0
peter mohrbacher,0.4541205160141944,170,0
golden,0.4513327238816084,171,0
hdr,0.44924245989167344,172,0
sampler=1,0.4283261802575081,173,0
ultra detailed,0.41250714983987735,174,0
big,0.40374819644618926,175,0
anime,0.39482180475632683,176,0
winning,0.3926280191664479,177,0
award winning,0.39262801916644663,178,0
image,0.38043388184926363,179,0
ultra realistic,0.36562470567679467,180,0
8k,0.3607273987578284,181,0
colors,0.35532289327744465,182,0
head,0.35248344679120147,183,0
environment,0.3394836892858528,184,0
epic,0.3374800126469293,185,0
angle,0.31920167193447346,186,0
for,0.3033194349192034,187,0
global illumination,0.3028512014901332,188,0
illumination,0.3028512014901315,189,0
global,0.30285120149013134,190,0
dramatic,0.2962274206141443,191,0
of,0.2954531937577315,192,0
studio ghibli,0.28786276342400574,193,0
mm,0.2859243640922633,194,0
room,0.27871228574905615,195,0
young,0.27860380155673037,196,0
mohrbacher,0.27524582464391767,197,0
red,0.2626480400931325,198,0
photograph,0.2619408555405766,199,0
hyperrealistic,0.26100087410956874,200,0
sky,0.2593654970657445,201,0
unreal,0.25368320221581636,202,0
artwork,0.2429384674295213,203,0
glowing,0.24072748691183576,204,0
movie,0.23249000920394483,205,0
high detail,0.2216863102322598,206,0
still,0.22021634333452111,207,0
view,0.21438857122165875,208,0
render,0.1886243745804628,209,0
design,0.18857202946340842,210,0
cinematic lighting,0.1516802583023555,211,0
film,0.14245742594049576,212,0
matte,0.13835502160488608,213,0
made,0.13414255460977284,214,0
fantasy,0.1339993370767332,215,0
award,0.13293565277056832,216,0
depth,0.11868026172057697,217,0
made of,0.11819812118318752,218,0
detail,0.10872425156467302,219,0
beeple,0.10549572146459249,220,0
front,0.09431412879085459,221,0
giant,0.09032030404643338,222,0
medieval,0.08706351451187523,223,0
on,0.08448073563717569,224,0
octane render,0.07809713079569089,225,0
oil,0.0756733029691021,226,0
quality,0.058212615126743465,227,0
is,0.05589668214435716,228,0
high quality,0.05464521283343105,229,0
hd,0.050553786836204324,230,0
frank,0.04976242270428607,231,0
female,0.029193942222929325,232,0
dynamic,0.027203030109409995,233,0
poster,0.024920450075545275,234,0
tom,0.023888698935804697,235,0
light,0.022621758085426887,236,0
gold,0.019790009823785103,237,0
field,0.017878606402646706,238,0
sampler=3,0.015889189619485027,239,0
photorealistic,0.01307293426289713,240,0
rossdraws,0.01069961904090908,241,0
alien,0.010189641371337125,242,0
forest,0.009942549732936106,243,0
sitting,0.009626242268967834,244,0
matte painting,0.009183939103860355,245,0
wide,0.00915558002232185,246,0
old,0.00910829316421368,247,0
robot,0.005398534696023426,248,0
unreal engine,0.004850125778156646,249,0
lens,0.0044058337061153785,250,0
scene,0.0034433416262758666,251,0
hyper,0.003323863055344536,252,0
his,0.0027802144904541283,253,0
engine,0.0025081430576812825,254,0
octane,0.0021733026289538406,255,0
4k,0.0021131843683153463,256,0
neon,0.0014772070951794905,257,0
up,0.000881630731023564,258,0
green,0.0006321632357751607,259,0
oil painting,0.0005117761677506324,260,0
character,0.00045498680018096895,261,0
realistic,7.714647114431509e-05,262,0
hyper detailed,5.998949233528702e-05,263,0
