feature,f_score,rank,selected,vimp_cov,delta,abs_delta,sign,mean_early,mean_late,score_blend,blend_rank
hp_cfg,19.09259659618719,3,1,0.07014855334729476,0.2163200605322021,0.2163200605322021,1,-0.10816003026610015,0.10816003026610195,0.9961977186311787,1
the,7.190746131010066,39,0,0.017963941198798877,-0.015191929454087177,0.015191929454087177,-1,0.07174363845512247,0.05655170900103529,0.9404309252217997,2
greg,10.772952684468216,24,0,0.011421227203143314,0.009459308600937612,0.009459308600937612,1,0.015782897862438156,0.025242206463375768,0.9391634980988594,3
hp_step,7.1310252646295895,40,0,0.015865514021194828,-0.10453968929403382,0.10453968929403382,-1,0.05226984464701905,-0.05226984464701477,0.9378960709759189,4
volumetric,13.933004252318181,13,1,0.009064129527558685,0.005967809478952723,0.005967809478952723,1,0.006488269627566029,0.012456079106518752,0.923954372623574,5
greg rutkowski,7.242240141476154,38,0,0.016386848871174146,0.00832182163678717,0.00832182163678717,1,0.014378443108223721,0.02270026474501089,0.9226869455006338,6
rutkowski,8.314192943227662,34,0,0.014317687472223095,0.008098127705073645,0.008098127705073645,1,0.014569215305565226,0.02266734301063887,0.917617237008872,7
art,5.58985940503175,47,0,0.009906269171734983,0.010629587613777691,0.010629587613777691,1,0.04946486995089085,0.06009445756466854,0.908745247148289,8
portrait,3.3954889149143708,70,0,0.010290185017281865,0.008933632674729679,0.008933632674729679,1,0.03340833979148695,0.042341972466216626,0.8745247148288974,9
background,3.837343734784056,60,0,0.006615616238891904,0.007061713070529092,0.007061713070529092,1,0.011379881430028117,0.01844159450055721,0.8542458808618504,10
and greg,14.243211239817581,11,1,0.006356650141654208,0.004111044505557823,0.004111044505557823,1,0.006888204183493664,0.010999248689051487,0.8529784537389101,11
and,2.040041085416788,101,0,0.01627608634705861,0.009411699695519513,0.009411699695519513,1,0.06571859197335625,0.07513029166887576,0.8491761723700888,12
digital art,5.926955973825218,45,0,0.00435976691244775,-0.008397545874617772,0.008397545874617772,-1,0.01962703160940864,0.01122948573479087,0.8466413181242078,13
focus,10.272051573765655,28,0,0.005013200414746291,0.005310590728579617,0.005310590728579617,1,0.015895060460684163,0.02120565118926378,0.8466413181242078,14
