t,tip_group_loco,tip_change,score,po_full,tip_share,hard_reject,tip_reject,po_reject
1,0.736558,0.000000,0.303317,0.303317,0.844438,0,0,0
2,0.703238,0.016660,0.220222,0.203561,0.738991,0,0,0
3,0.723581,0.002455,0.250940,0.248485,0.788496,0,0,0
4,0.686693,0.025825,0.250390,0.224565,0.771618,0,0,0
5,0.684402,0.022492,0.217897,0.195405,0.773163,0,0,0
6,0.807839,0.084120,0.360071,0.275950,0.806835,0,0,0
7,0.755007,0.026819,0.272269,0.245450,0.798638,0,0,0
8,0.768148,0.034965,0.239506,0.204541,0.753283,0,0,0
9,0.577599,0.155584,0.408103,0.252519,0.681700,0,1,0
10,0.686545,0.046638,0.265227,0.218589,0.755967,0,0,0
11,0.756071,0.022887,0.284941,0.262053,0.761775,0,0,1
12,0.776446,0.043262,0.256668,0.213405,0.842433,0,0,0
13,0.690337,0.042846,0.246107,0.203261,0.749797,0,0,0
14,0.851426,0.118242,0.368753,0.250511,0.862799,0,1,0
15,0.828125,0.094942,0.402592,0.307650,0.935504,0,1,1
16,0.777902,0.044718,0.257029,0.212311,0.770672,0,0,0
17,0.810352,0.077169,0.300244,0.223075,0.930844,0,0,0
18,0.744331,0.011148,0.269917,0.258769,0.847178,0,0,0
19,0.857601,0.124417,0.302842,0.178425,0.735537,0,0,0
20,0.000000,0.733183,3.544079,2.810896,0.000000,1,1,1
21,0.963425,0.230242,0.446668,0.216425,0.848567,0,0,0
22,0.932205,0.199022,0.411036,0.212014,0.775133,0,0,0
23,0.979094,0.245911,0.486788,0.240877,0.855905,0,0,0
24,0.822965,0.089782,0.348384,0.258603,0.791191,0,0,0
25,0.746870,0.013687,0.376131,0.362444,0.806150,0,0,1
26,0.984631,0.251448,0.405212,0.153764,0.860684,0,0,0
27,0.960460,0.227277,0.466369,0.239092,0.808490,0,0,0
28,0.801044,0.067861,0.298725,0.230864,0.737985,0,0,0
29,0.848245,0.115062,0.424948,0.309885,0.800228,0,0,0
30,0.921635,0.188452,0.457935,0.269483,0.820576,0,0,0
31,0.970936,0.237753,0.488487,0.250734,0.873723,1,1,0
32,0.838457,0.105274,0.403233,0.297960,0.722615,0,0,0
33,0.873264,0.140081,0.297024,0.156943,0.793265,0,0,0
34,0.810576,0.077392,0.367357,0.289964,0.748040,0,0,0
35,0.981002,0.247818,0.543349,0.295530,0.898775,1,1,0
36,0.953129,0.219946,0.444553,0.224607,0.816570,0,0,0
37,0.813285,0.080102,0.335530,0.255428,0.722526,0,0,0
38,0.863790,0.130607,0.319564,0.188957,0.771841,0,0,0
39,0.714655,0.018528,0.314914,0.296386,0.764219,0,0,1
