y,batch,n_queries,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac,x_n_nodes_std,x_n_edges_std,x_mean_deg_std,x_n_cc_std,x_n_q_seeds_std,x_seed_frac_std,x_lcc_frac_std
0.55,0,80,1,0.52,0.346667,0.58375,0.8875,0.5325,0.4675,0,0.56,0.373333,0.265256,0.450135,0.270081,0.270081
0.575,1,80,1,0.498125,0.332083,0.5825,0.854167,0.5125,0.485,0,0.496767,0.331178,0.234401,0.408567,0.24514,0.243977
0.4375,2,80,1,0.455625,0.30375,0.62625,0.833333,0.5,0.425,0,0.519374,0.346249,0.254825,0.395285,0.237171,0.245713
0.5,3,80,1,0.369375,0.24625,0.63375,0.797917,0.47875,0.40625,0,0.383365,0.255576,0.211509,0.359102,0.215461,0.218142
0.625,4,80,1,0.40625,0.270833,0.60375,0.860417,0.51625,0.44,0,0.366348,0.244232,0.218771,0.368409,0.221045,0.221133
0.525,5,80,1,0.469375,0.312917,0.62625,0.822917,0.49375,0.44,0,0.558094,0.372062,0.268674,0.440442,0.264265,0.271846
0.4625,6,80,1,0.416875,0.277917,0.63,0.8125,0.4875,0.42375,0,0.487272,0.324848,0.265707,0.431708,0.259025,0.267976
0.5625,7,80,1,0.454375,0.302917,0.63375,0.802083,0.48125,0.43125,0,0.499136,0.332758,0.259781,0.426626,0.255975,0.26391
0.5625,8,80,1,0.41625,0.2775,0.63125,0.866667,0.52,0.43875,0,0.446148,0.297432,0.246269,0.406031,0.243619,0.244179
0.55,9,80,1,0.32375,0.215833,0.65875,0.789583,0.47375,0.41,0,0.334475,0.222983,0.226767,0.339264,0.203558,0.227816
0.5125,10,80,1,0.438125,0.292083,0.615,0.84375,0.50625,0.445,0,0.439406,0.292937,0.241919,0.411926,0.247156,0.243362
0.6125,11,80,1,0.513125,0.342083,0.59,0.86875,0.52125,0.46375,0,0.558275,0.372184,0.271385,0.451613,0.270968,0.271682
0.55,12,80,1,0.47,0.313333,0.60125,0.845833,0.5075,0.4625,0,0.454326,0.302884,0.235316,0.406351,0.243811,0.239987
0.525,13,80,1,0.35625,0.2375,0.6675,0.739583,0.44375,0.385,0,0.42037,0.280247,0.252376,0.401251,0.240751,0.245
0.4625,14,80,1,0.345625,0.230417,0.66,0.722917,0.43375,0.3925,0,0.340972,0.227315,0.224499,0.388144,0.232886,0.219531
