y,batch,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac
1,0,1,0.35,0.233333,0.6,0.5,0.3,0.5
0,0,1,0.25,0.166667,0.6,0.666667,0.4,0.5
0,0,1,0.15,0.1,0.8,0.833333,0.5,0.3
1,0,1,0.8,0.533333,0.4,1.16667,0.7,0.7
0,0,1,0.2,0.133333,0.7,0.666667,0.4,0.4
0,0,1,0.25,0.166667,0.6,0.5,0.3,0.3
0,0,1,0,0,1,0,0,0.1
0,0,1,0.05,0.0333333,0.9,0.5,0.3,0.2
1,0,1,0.2,0.133333,0.7,0.833333,0.5,0.3
1,0,1,0.15,0.1,0.8,0.833333,0.5,0.3
1,0,1,1.95,1.3,0.1,1.66667,1,1
0,0,1,0.8,0.533333,0.4,1,0.6,0.7
0,0,1,0.05,0.0333333,0.9,0.5,0.3,0.2
1,0,1,0.1,0.0666667,0.8,0.666667,0.4,0.2
0,0,1,0.1,0.0666667,0.8,0.666667,0.4,0.2
1,0,1,1.45,0.966667,0.2,1.5,0.9,0.9
1,0,1,1.8,1.2,0.2,1.66667,1,0.9
1,0,1,0.35,0.233333,0.6,1,0.6,0.5
0,0,1,0.1,0.0666667,0.8,0.5,0.3,0.2
1,0,1,0.45,0.3,0.6,1,0.6,0.5
0,0,1,0.05,0.0333333,0.9,0.333333,0.2,0.2
0,0,1,0.5,0.333333,0.3,0.333333,0.2,0.8
0,0,1,0.65,0.433333,0.4,1.16667,0.7,0.7
1,0,1,0.55,0.366667,0.5,1,0.6,0.5
1,0,1,0.15,0.1,0.7,0.833333,0.5,0.3
0,0,1,0.3,0.2,0.7,1,0.6,0.4
1,0,1,1.8,1.2,0.2,1.66667,1,0.9
1,0,1,0,0,1,0.333333,0.2,0.1
1,0,1,0.6,0.4,0.4,1.16667,0.7,0.6
1,0,1,0.4,0.266667,0.5,1.16667,0.7,0.4
1,0,1,0.9,0.6,0.2,1.5,0.9,0.9
1,0,1,0.05,0.0333333,0.9,0.5,0.3,0.2
0,0,1,0.05,0.0333333,0.9,0.5,0.3,0.2
