y,batch,x_q_toks,x_q_chars,x_qmark,x_q_ents,x_n_cand,x_js_overlap,x_rank_corr,x_sparse_margin,x_dense_margin,x_rrf_top1_mass,x_fuse_uniq,x_mean_q_overlap,x_ks,x_kd,x_n_nodes,x_n_edges,x_mean_deg,x_n_cc,x_n_q_seeds,x_seed_frac,x_lcc_frac
0,0,0.25,0.3625,1,0.833333,1,0.25,0.2,0.260156,0.0315157,0.10717,1,0.0731021,5,5,1,0.35,0.233333,0.6,0.5,0.3,0.5
0,0,0.45,0.6375,1,0.833333,1,0.666667,0.769697,1.7337,0.00172804,0.10717,1,0.119612,5,5,1,0.25,0.166667,0.6,0.666667,0.4,0.5
1,0,0.625,0.94375,1,0.166667,1,0.25,0.393939,5.08896,0.0712569,0.10717,1,0.133289,5,5,1,0.15,0.1,0.8,0.833333,0.5,0.3
1,0,0.325,0.49375,1,1,1,1,0.878788,0.240808,0.0109306,0.106306,1,0.128868,5,5,1,0.8,0.533333,0.4,1.16667,0.7,0.7
1,0,0.4,0.51875,1,1,1,0.25,0.187879,2.67717,0.0191397,0.106306,1,0.168224,5,5,1,0.2,0.133333,0.7,0.666667,0.4,0.4
1,0,0.45,0.49375,1,0.333333,1,0.25,0.115152,0.233487,0.0111574,0.10717,1,0.282642,5,5,1,0.25,0.166667,0.6,0.5,0.3,0.3
1,0,0.425,0.6625,1,0.333333,1,0.428571,0.587879,1.20662,0.0717007,0.10717,1,0.11953,5,5,1,0,0,1,0,0,0.1
0,0,0.375,0.55,1,0.5,1,0.428571,0.357576,1.0745,0.0429273,0.104605,1,0.105476,5,5,1,0.05,0.0333333,0.9,0.5,0.3,0.2
1,0,0.2,0.29375,1,0.833333,1,0.428571,0.309091,0.429158,0.0349113,0.105469,1,0.071347,5,5,1,0.2,0.133333,0.7,0.833333,0.5,0.3
0,0,0.275,0.35,1,1,1,0.428571,0.587879,2.83853,0.050593,0.10717,1,0.117812,5,5,1,0.15,0.1,0.8,0.833333,0.5,0.3
1,0,0.725,1.00625,1,0.833333,1,0.25,-0.115152,3.89049,0.134305,0.10717,1,0.189706,5,5,1,1.95,1.3,0.1,1.66667,1,1
1,0,0.425,0.61875,1,0.833333,1,0.428571,0.539394,1.41398,0.000902842,0.105469,1,0.144862,5,5,1,0.8,0.533333,0.4,1,0.6,0.7
1,0,0.55,0.775,1,1.33333,1,0.428571,0.806061,1.43691,0.0924402,0.10717,1,0.0978727,5,5,1,0.05,0.0333333,0.9,0.5,0.3,0.2
0,0,0.325,0.425,1,0.833333,1,0.666667,0.551515,0.85078,0.024582,0.10717,1,0.0678078,5,5,1,0.1,0.0666667,0.8,0.666667,0.4,0.2
0,0,0.325,0.60625,1,0.833333,1,1,0.830303,0.202091,0.0296827,0.106306,1,0.161734,5,5,1,0.1,0.0666667,0.8,0.666667,0.4,0.2
1,0,0.4,0.55,1,0.666667,1,1,0.769697,1.23148,0.092341,0.106306,1,0.122527,5,5,1,1.45,0.966667,0.2,1.5,0.9,0.9
1,0,0.55,0.7875,1,0.5,1,0.666667,0.660606,8.0667,0.158992,0.106306,1,0.203472,5,5,1,1.8,1.2,0.2,1.66667,1,0.9
0,0,0.225,0.38125,1,1,1,0.111111,-0.272727,0.542608,0.024523,0.103794,1,0.0703044,5,5,1,0.35,0.233333,0.6,1,0.6,0.5
0,0,0.55,0.9125,1,1.16667,1,0.666667,0.515152,10.0394,0.0549786,0.10717,1,0.16442,5,5,1,0.1,0.0666667,0.8,0.5,0.3,0.2
