y,batch,x_q_toks,x_q_chars,x_qmark,x_q_ents,x_n_cand,x_js_overlap,x_rank_corr,x_sparse_margin,x_dense_margin,x_rrf_top1_mass,x_fuse_uniq,x_mean_q_overlap,x_ks,x_kd
0,0,0.25,0.3625,1,0.833333,1,0.25,0.2,0.260156,0.0315157,0.10717,1,0.0731021,5,5
0,0,0.45,0.6375,1,0.833333,1,0.666667,0.769697,1.7337,0.00172804,0.10717,1,0.119612,5,5
1,0,0.625,0.94375,1,0.166667,1,0.25,0.393939,5.08896,0.0712569,0.10717,1,0.133289,5,5
1,0,0.325,0.49375,1,1,1,1,0.878788,0.240808,0.0109306,0.106306,1,0.128868,5,5
1,0,0.4,0.51875,1,1,1,0.25,0.187879,2.67717,0.0191397,0.106306,1,0.168224,5,5
1,0,0.45,0.49375,1,0.333333,1,0.25,0.115152,0.233487,0.0111574,0.10717,1,0.282642,5,5
1,0,0.425,0.6625,1,0.333333,1,0.428571,0.587879,1.20662,0.0717007,0.10717,1,0.11953,5,5
0,0,0.375,0.55,1,0.5,1,0.428571,0.357576,1.0745,0.0429273,0.104605,1,0.105476,5,5
1,0,0.2,0.29375,1,0.833333,1,0.428571,0.309091,0.429158,0.0349113,0.105469,1,0.071347,5,5
0,0,0.275,0.35,1,1,1,0.428571,0.587879,2.83853,0.050593,0.10717,1,0.117812,5,5
1,0,0.725,1.00625,1,0.833333,1,0.25,-0.115152,3.89049,0.134305,0.10717,1,0.189706,5,5
1,0,0.425,0.61875,1,0.833333,1,0.428571,0.539394,1.41398,0.000902842,0.105469,1,0.144862,5,5
1,0,0.55,0.775,1,1.33333,1,0.428571,0.806061,1.43691,0.0924402,0.10717,1,0.0978727,5,5
0,0,0.325,0.425,1,0.833333,1,0.666667,0.551515,0.85078,0.024582,0.10717,1,0.0678078,5,5
0,0,0.325,0.60625,1,0.833333,1,1,0.830303,0.202091,0.0296827,0.106306,1,0.161734,5,5
1,0,0.4,0.55,1,0.666667,1,1,0.769697,1.23148,0.092341,0.106306,1,0.122527,5,5
1,0,0.55,0.7875,1,0.5,1,0.666667,0.660606,8.0667,0.158992,0.106306,1,0.203472,5,5
0,0,0.225,0.38125,1,1,1,0.111111,-0.272727,0.542608,0.024523,0.103794,1,0.0703044,5,5
0,0,0.55,0.9125,1,1.16667,1,0.666667,0.515152,10.0394,0.0549786,0.10717,1,0.16442,5,5
0,0,0.275,0.43125,1,1.16667,1,0.428571,-0.030303,3.42858,0.00465647,0.104605,1,0.093672,5,5
0,0,0.5,0.7,1,1,1,0.428571,0.345455,2.4239,0.0193561,0.106306,1,0.149825,5,5
1,0,0.275,0.39375,1,0.666667,1,0.428571,0.551515,2.42417,0.0152961,0.106306,1,0.0725922,5,5
0,0,0.5,0.78125,1,0.833333,1,1,0.818182,5.49157,0.0668674,0.10717,1,0.120413,5,5
0,0,0.4,0.5875,1,1,1,0.428571,0.0666667,2.71814,0.0230906,0.106306,1,0.083648,5,5
0,0,0.375,0.4625,1,0.666667,1,0.666667,0.333333,1.89507,0.0220354,0.104658,1,0.119517,5,5
0,0,0.4,0.475,1,1,1,0.25,-0.212121,0.20438,0.0969065,0.104605,1,0.168511,5,5
0,0,0.675,1.0125,1,1.33333,1,0.25,-0.539394,1.18961,0.0252225,0.105469,1,0.276716,5,5
1,0,0.225,0.35,1,0.5,0.2,1,1,1.87242,0.0356995,0.504065,0.4,0.0628518,5,5
0,0,0.475,0.825,1,0.666667,1,0.428571,0.418182,5.27459,0.0144681,0.10717,1,0.158247,5,5
1,0,0.45,0.58125,1,1,1,0.666667,0.721212,3.00199,0.0090381,0.106306,1,0.210284,5,5
1,0,0.25,0.3375,1,1,1,0.666667,0.551515,0.995048,0.0302429,0.10717,1,0.108039,5,5
0,0,0.35,0.4875,1,0.666667,1,0.428571,0.69697,0.536915,0.0849374,0.10717,1,0.126921,5,5
0,0,0.25,0.35625,0,0.666667,1,0.428571,0.260606,2.45315,0.0509594,0.105469,1,0.0905269,5,5
1,0,0.3,0.48125,1,1,1,0.25,0.284848,0.0598643,0.0360113,0.106306,1,0.0759072,5,5
1,0,0.275,0.40625,1,0.833333,1,0.25,-0.539394,3.29535,0.0690282,0.105469,1,0.0748732,5,5
1,0,0.475,0.6875,1,0.5,1,0.666667,0.733333,3.10732,0.000667612,0.10717,1,0.147517,5,5
1,0,0.475,0.68125,1,1,1,0.25,0.10303,2.27885,0.0988782,0.10717,1,0.140396,5,5
1,0,0.425,0.64375,1,0.833333,1,0.666667,0.260606,2.99066,0.00595747,0.106306,1,0.142275,5,5
1,0,0.35,0.575,1,1.5,1,0,-0.866667,0.2761,0.00620327,0.101654,1,0.0957486,5,5
1,0,0.375,0.55625,1,0.333333,1,0.25,0.357576,3.10691,0.139867,0.10717,1,0.167719,5,5
0,0,0.4,0.625,1,1.33333,1,0.428571,0.115152,6.94393,0.038991,0.106306,1,0.113103,5,5
1,0,0.35,0.5625,1,0.5,1,0.428571,0.309091,1.23849,0.0368242,0.104658,1,0.148993,5,5
0,0,0.625,0.8625,1,0.5,1,0.666667,0.587879,10.3444,0.0201144,0.10717,1,0.190275,5,5
1,0,0.325,0.4875,1,0.666667,1,0.25,-0.393939,1.83835,0.0348189,0.106306,1,0.0759561,5,5
0,0,0.625,0.93125,1,2,1,0.25,-0.127273,8.68879,0.0492593,0.105469,1,0.124871,5,5
1,0,0.425,0.64375,1,0.666667,1,1,0.818182,0.502589,0.00158487,0.106306,1,0.229327,5,5
0,0,0.675,0.78125,1,0.5,1,0.666667,0.539394,3.60588,0.0415866,0.103873,1,0.116998,5,5
0,0,0.25,0.3625,1,0.333333,1,0.428571,0.127273,0.17367,0.00606179,0.105469,1,0.0640192,5,5
0,0,0.2,0.2875,1,0.5,1,0.666667,0.6,0.959073,0.0179703,0.106306,1,0.0699259,5,5
0,0,0.5,0.725,1,1.33333,1,0.25,-0.127273,5.15246,0.00744424,0.104658,1,0.16525,5,5
1,0,0.825,1.11875,1,0.833333,1,0.25,0.163636,0.0564393,0.00786194,0.105469,1,0.268723,5,5
1,0,0.45,0.59375,1,0.166667,1,0.428571,0.333333,0.216408,0.00126048,0.106306,1,0.152789,5,5
0,0,0.325,0.4,1,0.333333,1,0.428571,0.430303,0.790963,0.0214274,0.10717,1,0.0939671,5,5
1,0,0.475,0.575,1,0.666667,1,0.666667,0.345455,0.430915,0.00483456,0.104605,1,0.18112,5,5
0,0,0.325,0.5125,1,0.5,1,0.428571,0.29697,0.721811,0.0333632,0.105469,1,0.139004,5,5
0,0,0.7,0.98125,0,1,1,0.666667,0.793939,1.26012,0.117575,0.10717,1,0.156125,5,5
0,0,0.225,0.3375,1,0,1,0.111111,-0.50303,0.666825,0.0163893,0.103873,1,0.0923464,5,5
0,0,0.2,0.3,1,0.666667,1,0.428571,0.260606,1.29296,0.113462,0.106306,1,0.0911581,5,5
0,0,0.45,0.60625,1,0.5,1,0.428571,0.175758,1.23992,0.0288262,0.104658,1,0.20083,5,5
0,0,0.15,0.2125,1,0.5,1,0.25,-0.10303,1.77981,0.0120852,0.106306,1,0.0858944,5,5
1,0,0.8,1.08125,1,1.16667,1,0.25,-0.115152,0.163676,0.000214774,0.104605,1,0.16889,5,5
1,0,0.475,0.625,1,0.5,1,0.428571,0.672727,0.59576,0.00960723,0.10717,1,0.160486,5,5
0,0,0.225,0.3125,1,0.833333,1,0.25,0.0424242,1.72453,0.0211084,0.105442,1,0.0753222,5,5
1,0,0.45,0.59375,1,1.83333,1,0.428571,0.539394,2.96302,0.0739419,0.106306,1,0.243103,5,5
1,0,0.475,0.7375,1,0.5,1,0.428571,0.381818,4.34898,0.00067388,0.10717,1,0.116891,5,5
0,0,0.375,0.56875,1,0.833333,1,0.666667,0.6,0.705159,0.0164,0.105469,1,0.126724,5,5
0,0,0.425,0.6625,1,0.666667,1,0.428571,-0.575758,0.517481,0.00430958,0.103008,1,0.0959367,5,5
0,0,0.775,1.06875,1,0.333333,1,0,-0.769697,0.225881,0.0175718,0.102372,1,0.191985,5,5
0,0,0.35,0.44375,0,0.666667,1,0.428571,-0.0545455,0.884774,0.00323361,0.104658,1,0.110141,5,5
1,0,0.675,0.85625,1,0.5,1,0.111111,-0.648485,4.84987,0.00681598,0.103873,1,0.187955,5,5
1,0,0.675,1.0375,1,1.33333,1,0.25,0.575758,1.2461,0.115029,0.106306,1,0.27486,5,5
1,0,0.35,0.4875,0,0.5,1,0.666667,0.757576,6.81953,0.133487,0.10717,1,0.110431,5,5
1,0,0.45,0.7625,1,0.666667,1,0.666667,0.612121,3.19713,0.0119452,0.10717,1,0.133211,5,5
0,0,0.475,0.69375,1,1.16667,1,0.25,0.2,5.13469,0.0122121,0.10717,1,0.203252,5,5
0,0,0.325,0.6,1,0.666667,1,0.428571,0.151515,1.4203,0.0080325,0.10717,1,0.111046,5,5
1,0,0.375,0.5875,1,1.33333,1,0.428571,0.454545,5.44111,0.0747289,0.105469,1,0.162983,5,5
0,0,0.375,0.50625,1,0.833333,1,0.25,0.369697,3.49106,0.0015977,0.10717,1,0.125577,5,5
1,0,0.3,0.475,1,0.333333,1,0.25,-0.381818,0.715693,0.0409423,0.105469,1,0.0892257,5,5
1,0,0.25,0.4625,1,0.833333,1,0.25,0.151515,2.30591,0.0360149,0.106306,1,0.0840846,5,5
1,0,0.325,0.41875,1,0.666667,1,0.428571,0.29697,1.23783,0.0133979,0.10717,1,0.127676,5,5
1,1,0.375,0.525,1,0.833333,1,0.25,0.030303,0.168244,0.0333145,0.104658,1,0.231786,5,5
1,1,0.675,0.83125,1,1.66667,1,0.25,-0.0181818,0.036002,0.0544907,0.106306,1,0.120542,5,5
1,1,0.425,0.66875,1,0.333333,1,0.25,-0.0787879,7.63651,0.0811269,0.10717,1,0.0704918,5,5
1,1,0.575,0.91875,1,0.666667,1,0.666667,0.769697,3.07796,0.00846955,0.106306,1,0.194753,5,5
0,1,0.7,0.93125,1,1.33333,1,1,0.975758,4.11119,0.0437967,0.106306,1,0.133407,5,5
1,1,0.55,0.8625,1,0.666667,1,0.428571,0.636364,0.257804,0.01205,0.10717,1,0.157601,5,5
0,1,0.4,0.55625,1,0.5,1,0.25,0.00606061,0.42445,0.0263607,0.103794,1,0.179989,5,5
1,1,0.25,0.4125,1,1.16667,1,0.25,-0.175758,0.309592,0.047513,0.104658,1,0.115161,5,5
1,1,0.325,0.43125,1,0.5,1,0.428571,0.224242,1.08717,0.0383194,0.106306,1,0.144118,5,5
1,1,0.225,0.34375,1,0.833333,1,0.428571,0.515152,0.105227,0.0419667,0.10717,1,0.0814451,5,5
1,1,0.325,0.43125,1,0.333333,1,0.666667,0.515152,8.9329,0.0960646,0.10717,1,0.109259,5,5
0,1,0.3,0.49375,1,0.833333,1,0.25,-0.151515,1.04446,0.00464201,0.105469,1,0.176852,5,5
1,1,0.4,0.54375,1,0.5,1,0.428571,0.260606,0.696466,0.0556286,0.10717,1,0.171259,5,5
1,1,0.225,0.3375,1,0.5,1,0.25,0.151515,1.79685,0.0220102,0.10717,1,0.0866587,5,5
1,1,0.55,0.9,1,0.333333,1,0.666667,0.575758,4.497,0.030513,0.10717,1,0.202956,5,5
0,1,0.175,0.2625,1,0.333333,1,0.428571,0.6,0.0531415,0.0322688,0.10717,1,0.10191,5,5
0,1,0.35,0.475,1,0.5,1,0.666667,0.69697,0.560294,0.00273652,0.105469,1,0.105457,5,5
1,1,0.3,0.44375,1,0.833333,1,0.666667,0.733333,0.96372,0.0179497,0.10717,1,0.0772893,5,5
1,1,0.425,0.59375,1,0.5,1,0.25,-0.0787879,6.10844,0.00482243,0.105469,1,0.205704,5,5
0,1,0.225,0.2875,1,0.5,1,0.428571,0.793939,0.0767913,0.0253412,0.106306,1,0.169264,5,5
1,1,0.4,0.61875,1,0.5,1,0.428571,0.515152,3.67072,0.0866143,0.10717,1,0.104327,5,5
0,1,0.35,0.4875,1,0.5,1,0.25,-0.272727,1.46321,0.014143,0.105469,1,0.0844923,5,5
0,1,0.4,0.575,1,0.5,1,0.666667,0.648485,1.19256,0.00932259,0.106306,1,0.126128,5,5
1,1,0.45,0.68125,1,0.833333,1,0.428571,0.345455,1.31082,0.00563135,0.106306,1,0.18583,5,5
1,1,0.675,0.9125,1,2,1,1,0.963636,2.4127,0.0219748,0.106306,1,0.304159,5,5
1,1,0.325,0.46875,1,0.666667,1,1,0.890909,0.0812017,0.026042,0.106306,1,0.115538,5,5
0,1,0.375,0.4125,1,0.333333,1,0.666667,0.684848,4.85707,0.0621046,0.10717,1,0.143546,5,5
1,1,0.325,0.475,1,0.666667,1,0.25,-0.10303,3.75258,0.0649921,0.10717,1,0.0998472,5,5
1,1,0.45,0.65,1,1,1,0.428571,0.648485,3.30801,0.0177367,0.10717,1,0.119144,5,5
1,1,0.525,0.7375,1,0.833333,1,0.428571,-0.175758,3.68107,0.0063177,0.104658,1,0.15453,5,5
1,1,0.45,0.5625,1,0.833333,1,0.428571,0.466667,2.85071,0.0125622,0.106306,1,0.176654,5,5
1,1,0.3,0.425,1,0.166667,1,0.25,-0.0909091,2.85138,0.00500558,0.103873,1,0.0784441,5,5
1,1,0.525,0.6875,1,1.33333,1,0.428571,-0.0545455,2.91069,0.00656311,0.106306,1,0.205633,5,5
1,1,0.2,0.31875,1,0.833333,1,0.111111,-0.50303,2.74425,0.0235006,0.102957,1,0.0681624,5,5
1,1,0.225,0.33125,1,0.5,1,0.428571,0.466667,0.556234,0.0623398,0.106306,1,0.087517,5,5
1,1,0.3,0.525,1,0.666667,1,0.428571,0.406061,0.552475,0.0335116,0.10717,1,0.0877436,5,5
1,1,0.375,0.525,1,0.166667,1,0.428571,0.345455,0.213643,0.0544111,0.10717,1,0.149312,5,5
0,1,0.325,0.5125,1,0.5,1,0.25,-0.0424242,2.08532,0.0382853,0.104658,1,0.0707266,5,5
0,1,0.275,0.3125,1,0.666667,1,0.111111,-0.454545,0.401363,0.000577364,0.103111,1,0.119777,5,5
0,1,0.2,0.3,1,0.833333,1,0.666667,0.660606,1.33996,0.0397294,0.105469,1,0.0682102,5,5
0,1,0.225,0.31875,1,0.5,1,0.666667,0.757576,0.517256,0.0538413,0.10717,1,0.0909865,5,5
1,1,0.425,0.625,1,1,1,0.25,-0.0666667,0.314341,0.0209333,0.105469,1,0.143699,5,5
0,1,0.575,0.88125,1,0.833333,1,0.666667,0.818182,5.98281,0.0587215,0.10717,1,0.133259,5,5
1,1,0.3,0.48125,1,0.333333,1,0.428571,0.757576,6.19244,0.0440091,0.106306,1,0.0971002,5,5
1,1,0.475,0.70625,1,1.5,1,0.666667,0.793939,2.90042,0.125558,0.10717,1,0.162409,5,5
1,1,0.45,0.6,1,0.5,1,0.666667,0.745455,0.795021,0.000935193,0.105469,1,0.195794,5,5
1,1,0.775,1.11875,1,1.33333,1,0.666667,0.624242,10.463,0.131643,0.10717,1,0.154587,5,5
1,1,0.325,0.425,1,0.5,1,0.25,0.163636,3.70568,0.0286472,0.10717,1,0.114785,5,5
0,1,0.35,0.50625,1,1,1,0.666667,0.806061,1.71078,0.143926,0.10717,1,0.135935,5,5
1,1,0.375,0.5375,1,0.666667,1,0.666667,0.224242,0.937556,0.0353703,0.106306,1,0.114939,5,5
1,1,0.5,0.75,1,1.83333,1,0.428571,0.29697,8.65487,0.0168011,0.106306,1,0.185751,5,5
0,1,0.3,0.43125,1,0.666667,1,0.25,-0.151515,0.171405,0.0144394,0.10717,1,0.0980901,5,5
0,1,0.4,0.51875,1,0.666667,1,0.666667,0.418182,6.35889,0.0108499,0.10717,1,0.169451,5,5
1,1,0.35,0.55,1,0.5,1,0.25,0.00606061,0.834635,0.0142046,0.10717,1,0.0777988,5,5
1,1,0.825,1.2375,1,1.83333,1,1,0.818182,7.87198,0.056604,0.10717,1,0.213481,5,5
0,1,0.325,0.50625,1,0.333333,1,0.25,0.030303,0.0164231,0.00304056,0.10717,1,0.116179,5,5
1,1,0.375,0.65,1,1,1,0.428571,0.648485,0.97033,0.0290244,0.106306,1,0.167586,5,5
0,1,0.575,0.85625,1,1.5,1,0.666667,0.781818,0.87789,0.0488156,0.105469,1,0.121517,5,5
0,1,0.45,0.5875,1,1,1,0.25,-0.10303,3.04058,0.0286755,0.104658,1,0.135528,5,5
0,1,0.35,0.49375,1,0.833333,1,0.428571,0.284848,0.13546,0.0239632,0.106306,1,0.141092,5,5
0,1,0.225,0.4,1,0.833333,1,0.25,0.321212,1.19311,0.11498,0.10717,1,0.0995694,5,5
0,1,0.275,0.4,1,0.833333,1,0.25,0.0424242,0.196963,0.0640931,0.105469,1,0.0763861,5,5
1,1,0.225,0.3625,1,0.666667,1,0.666667,0.842424,1.5554,0.0577581,0.105469,1,0.079882,5,5
1,1,0.575,0.89375,1,0.833333,1,0.666667,0.818182,1.70827,0.0368115,0.10717,1,0.134958,5,5
1,1,0.45,0.65,1,1.16667,1,0.666667,0.939394,1.23534,0.00249005,0.10717,1,0.119722,5,5
1,1,0.25,0.30625,0,1,1,0.25,0.00606061,0.0366707,0.014147,0.104658,1,0.0835297,5,5
1,1,0.45,0.725,1,0.5,1,0.428571,0.490909,0.309653,0.077382,0.106306,1,0.108115,5,5
1,1,0.6,0.65625,1,0.5,1,0.428571,0.187879,0.852191,0.000373209,0.105469,1,0.137498,5,5
1,1,0.425,0.525,1,0.5,1,0.428571,0.187879,4.42655,0.0500349,0.105469,1,0.132915,5,5
0,1,0.65,0.85,1,1.16667,1,0.428571,0.187879,0.531742,0.0278954,0.105469,1,0.237588,5,5
0,1,0.25,0.36875,1,0.833333,1,0.666667,0.636364,3.61272,0.00187284,0.105469,1,0.09795,5,5
0,1,0.95,1.4875,1,1.33333,1,0.428571,0.321212,2.04064,0.052159,0.10717,1,0.211929,5,5
1,1,0.475,0.61875,1,0.333333,1,0.666667,0.515152,0.569863,0.10511,0.10717,1,0.146792,5,5
1,1,0.6,0.75,1,1,1,0.666667,0.478788,1.14616,0.216455,0.106306,1,0.129925,5,5
0,1,0.15,0.3,1,0.5,1,0.25,0.00606061,0.44088,0.0226526,0.105469,1,0.0832548,5,5
0,1,0.45,0.5875,1,0.333333,1,0.428571,0.684848,6.68959,0.0542432,0.10717,1,0.138117,5,5
0,1,0.45,0.60625,1,1,1,0.25,-0.369697,3.56134,0.001325,0.105469,1,0.132185,5,5
1,1,0.3,0.475,1,1.16667,1,0.25,-0.030303,1.1507,0.0522023,0.106306,1,0.14698,5,5
0,1,0.425,0.575,1,0.666667,1,0.25,0.187879,1.83134,0.0274002,0.10717,1,0.119572,5,5
0,1,0.575,0.7125,1,1.16667,1,0.428571,0.515152,11.4739,0.233999,0.10717,1,0.150358,5,5
1,2,0.825,1.225,1,1.16667,1,0.428571,0.563636,9.00813,0.111101,0.10717,1,0.2311,5,5
1,2,0.425,0.56875,1,1,1,0.25,-0.321212,3.70941,0.0648521,0.106306,1,0.115222,5,5
0,2,0.35,0.49375,1,1.16667,1,0.428571,0.418182,0.767685,0.00398743,0.106306,1,0.121658,5,5
0,2,0.275,0.48125,1,1,1,0.25,0.163636,0.494227,0.0637175,0.106306,1,0.107535,5,5
0,2,0.225,0.2875,1,0.5,1,0.25,0.187879,1.44079,0.00778591,0.104658,1,0.0636006,5,5
0,2,0.825,1.05625,1,1.33333,1,0.666667,0.745455,1.18675,0.0289761,0.105442,1,0.169927,5,5
0,2,0.2,0.3,0,0.666667,1,0.428571,0.624242,0.818408,0.0384079,0.10717,1,0.0360444,5,5
1,2,0.5,0.75,1,2.16667,1,0.428571,-0.0545455,3.21481,0.12841,0.10717,1,0.214366,5,5
1,2,0.375,0.68125,1,0.666667,1,0.666667,0.539394,1.05664,0.0796585,0.10717,1,0.149592,5,5
0,2,0.45,0.63125,1,0.666667,1,0.666667,0.793939,0.12591,0.0628715,0.10717,1,0.106828,5,5
1,2,0.425,0.54375,1,0.5,1,0.428571,0.478788,0.548495,0.00691403,0.105469,1,0.114677,5,5
1,2,0.45,0.61875,1,0.666667,1,0.428571,-0.127273,0.750675,0.0907327,0.104605,1,0.156473,5,5
1,2,0.45,0.53125,1,0.5,1,0.666667,0.745455,3.01314,0.00999247,0.105469,1,0.187277,5,5
1,2,0.45,0.7,1,1.33333,1,0.666667,0.684848,3.95949,0.0988444,0.10717,1,0.161521,5,5
1,2,0.675,0.8875,1,1.83333,1,0.666667,0.284848,0.104218,0.0245415,0.103873,1,0.36037,5,5
1,2,0.225,0.3125,1,0.666667,1,0.428571,0.284848,4.09981,0.104582,0.106306,1,0.0965345,5,5
1,2,0.5,0.7,1,0.833333,1,0.666667,0.648485,3.94081,0.00910775,0.106306,1,0.145263,5,5
0,2,0.55,0.85,1,0.833333,1,0.666667,0.587879,4.90543,0.0287847,0.10717,1,0.119687,5,5
0,2,0.375,0.45,0,0.666667,1,0.428571,0.0666667,0.0821844,0.0298143,0.104605,1,0.189282,5,5
1,2,0.3,0.4375,1,1,1,0.25,0.50303,0.519988,0.0664705,0.106306,1,0.114083,5,5
0,2,0.325,0.4875,1,0.5,1,0.666667,0.660606,0.314427,0.0438346,0.104658,1,0.102209,5,5
0,2,0.425,0.59375,1,0.666667,1,0.428571,0.624242,0.545172,0.0440336,0.10717,1,0.142133,5,5
1,2,0.4,0.6,1,1.33333,1,0.428571,0.333333,2.52694,0.0281629,0.10717,1,0.0722317,5,5
0,2,0.475,0.73125,1,1.66667,1,0.666667,0.224242,2.02734,0.0400915,0.105469,1,0.144556,5,5
0,2,0.525,0.66875,1,0.833333,1,0.428571,0.115152,0.0567729,0.0689006,0.103873,1,0.141532,5,5
1,2,0.95,1.50625,1,1,1,0.666667,0.612121,0.00242787,0.0132921,0.10717,1,0.317753,5,5
1,2,0.625,0.95,1,1.33333,1,0.25,-0.139394,4.07385,0.0468437,0.105469,1,0.110642,5,5
1,2,0.525,0.775,1,1,1,1,0.90303,7.46798,0.222306,0.10717,1,0.19091,5,5
1,2,0.375,0.6,1,1.33333,1,0.666667,0.793939,3.58773,0.110323,0.10717,1,0.126788,5,5
1,2,0.425,0.53125,1,0.666667,1,0.666667,0.563636,2.61966,0.0151794,0.10717,1,0.127312,5,5
1,2,0.425,0.6,1,0.666667,1,0.428571,0.2,0.440792,0.0311903,0.10717,1,0.116942,5,5
1,2,0.6,0.85,1,2,1,0.25,-0.175758,21.6616,0.302425,0.10717,1,0.145568,5,5
0,2,0.35,0.5125,1,0.5,1,0.428571,0.733333,2.02335,0.0724753,0.10717,1,0.105245,5,5
1,2,0.55,0.93125,1,0.666667,1,0.666667,0.248485,6.05531,0.0268974,0.105469,1,0.176571,5,5
