y,batch,x_bm25,x_dense,x_rrf,x_rank_sp,x_rank_de,x_q_overlap,x_title_seed,x_title_deg,x_slot
0,0,0.911357,-0.532211,0.196592,0.333333,0.142857,0.0615385,1,0.666667,0.1
1,0,-0.517414,-0.572283,-0.705276,0.166667,0.125,0.1,1,0,0.2
0,0,1.60125,1.49996,2.10241,1,1,0.0847458,0,0,0.3
0,0,-0.571559,0.903735,0.196592,0.142857,0.333333,0.0543478,0,0,0.4
1,0,-1.29872,-2.09036,-1.93778,0.1,0.1,0.0769231,1,0.166667,0.5
0,0,-1.1113,0.297354,-0.455745,0.111111,0.25,0.057971,0,0.5,0.6
0,0,-0.476264,-0.0182893,-0.0547628,0.2,0.166667,0.0892857,0,0,0.7
0,0,-0.669584,1.05283,0.231599,0.125,0.5,0.0869565,0,0.5,0.8
0,0,0.800585,-0.822477,-0.455745,0.25,0.111111,0.0675676,0,0,0.9
0,0,1.33165,0.281742,0.882112,0.5,0.2,0.0779221,0,0.5,1
0,1,-0.938868,-1.72871,-1.27367,0.111111,0.111111,0.0821918,1,0.333333,0.1
1,1,-0.802544,-1.87876,-1.26885,0.125,0.1,0.0666667,0,0,0.2
0,1,-0.941424,-0.533866,-1.26885,0.1,0.125,0.117647,0,0,0.3
0,1,-0.62009,-0.0434232,-0.588228,0.142857,0.142857,0.125,1,0.333333,0.4
0,1,-0.230451,0.760704,0.716742,0.25,0.333333,0.111111,0,0,0.5
0,1,2.05857,0.949013,1.73779,1,1,0.155172,1,0.666667,0.6
1,1,1.24823,0.67067,0.919559,0.5,0.25,0.137931,1,0.166667,0.7
0,1,1.00951,0.32453,0.341647,0.333333,0.166667,0.14,0,0.166667,0.8
0,1,-0.270742,0.558921,0.139397,0.2,0.2,0.0909091,0,0,0.9
0,1,-0.512196,0.920925,0.544463,0.166667,0.5,0.0538462,0,0,1
0,2,-0.607613,0.735958,0.216507,0.125,0.5,0.09375,0,0,0.1
0,2,-0.448754,0.274287,-0.25381,0.142857,0.2,0.141026,0,0,0.2
1,2,0.28027,-0.0632186,0.615779,0.5,0.166667,0.114943,1,0.333333,0.3
0,2,-0.933169,-1.44891,-1.4405,0.111111,0.111111,0.115385,0,0,0.4
0,2,-0.228363,0.567283,0.386397,0.166667,0.333333,0.120482,1,0.333333,0.5
0,2,0.0509453,0.437323,0.373033,0.2,0.25,0.11,1,0,0.6
0,2,-1.11548,-1.58725,-1.8115,0.1,0.1,0.125,1,0.333333,0.7
