y,batch,x_n_toks,x_n_chars,x_avg_word,x_qmark,x_bang,x_hedge,x_formal,x_i_count,x_newlines,x_upper,x_refuse,x_please,x_thank
0,0,0.35,0.46625,0.424286,0,0,0,0,0,0,0.0080429,0,0,0
1,0,0.285,0.39375,0.442105,0,0,0,0,0,0,0.015873,0,0,0
1,0,0.415,0.64,0.507229,0,0,0,0,0,0,0.00976562,0,0,0
1,0,0.19,0.3025,0.526316,0,0,0,0,0.1,0,0.00826446,0,0,0
0,0,0.025,0.03,0.28,0,0.4,0,0,0,0,0.125,0,0,0
0,0,0.09,0.1225,0.438889,0.2,0,0,0,0,0,0.0204082,0,0,0
1,0,0.285,0.45,0.515789,0,0,0,0,0,0,0.0138889,0,0,0
1,0,0.38,0.5775,0.501316,0,0,0,0,0,0,0.00865801,0,0,0
0,0,0.395,0.5275,0.426582,0,0,0,0,0.5,0,0.0165877,0,0,0
0,0,0.145,0.18625,0.396552,0,0,0,0,0,0,0.00671141,0,0,0
0,0,0.52,0.695,0.425,0,0,0,0,0,0,0.00719424,0,0,0
0,0,0.36,0.5225,0.472222,0,0,0,0,0,0,0.00717703,0,0,0
1,0,0.485,0.7525,0.508247,0,0,0,0,0,0,0.0481728,0,0,0
1,0,0.245,0.40125,0.538776,0,0,0,0,0,0,0.0124611,0,0,0
1,0,0.275,0.3675,0.429091,0.2,0.4,0.2,0,0,0,0.0136054,0,0,0
1,0,0.06,0.07375,0.391667,0,0,0,0,0,0,0.0169492,0,0,0
0,0,0.31,0.39875,0.408065,0,0,0,0,0,0,0.00940439,0,0,0
0,0,0.485,0.66375,0.441237,0,0,0,0,0,0,0.0094162,0,0,0
0,0,0.44,0.58125,0.421591,0,0,0,0,0,0,0.00645161,0,0,0
0,0,0.165,0.2375,0.466667,0,0,0,0.2,0,0,0.0105263,0,0,0
0,0,0.035,0.05,0.442857,0,0,0,0,0,0,0.025,0,0,0
1,0,0.285,0.39625,0.450877,0,0,0,0,0,0,0.0126183,0,0,0
1,0,0.06,0.08875,0.491667,0,0,0,0,0,0,0.0140845,0,0,0
0,0,0.455,0.6525,0.468132,0,0,0,0,0,0,0.00766284,0,0,0
1,0,0.315,0.48375,0.506349,0,0,0,0,0,0,0.00775194,0,0,0
0,0,0.505,0.78625,0.510891,0,0,0,0,0,0,0.0413355,0,0,0
0,0,0.33,0.50375,0.501515,0,0,0,0,0,0,0.00992556,0,0,0
1,0,0.355,0.5325,0.484507,0,0,0,0,0,0,0.00938967,0,0,0
1,0,0.24,0.38125,0.527083,0,0,0,0,0,0,0.00655738,0,0,0
1,0,0.72,1.10875,0.509722,0,0,0,0,0,0,0.00901917,0,0,0
