y,batch,episode,step,x_n_toks,x_n_chars,x_avg_word,x_qmark,x_bang,x_hedge,x_formal,x_i_count,x_newlines,x_upper,x_refuse,x_please,x_thank,x_step
0,0,0,0,0.035,0.05125,0.485714,0.2,0,0,0,0,0,0.0243902,0,0,0,0
1,0,0,1,0.55,0.67125,0.367273,0,0,0.2,0,0,0.6,0.0111732,0,0,0,0.125
0,0,0,2,0.11,0.1375,0.381818,0,0.2,0,0,0,0,0.0181818,0,0,0,0.25
1,0,1,0,0.34,0.44875,0.413235,0,0,0,0,0.1,0,0.0111421,0,0,0,0
0,0,1,1,0.085,0.0925,0.329412,0,0.2,0,0,0,0,0.027027,0,0,0,0.125
1,0,1,2,0.25,0.3475,0.438,0,0,0,0,0,0,0.0107914,0,0,0,0.25
1,0,2,0,0.225,0.25375,0.342222,0.4,0,0,0,0,0,0.0147783,0,0,0,0
1,0,2,1,0.295,0.3975,0.433898,0,0,0.2,0,0,0,0.00628931,0,0,0,0.125
0,0,3,0,0.07,0.08,0.357143,0.2,0,0,0,0,0,0.015625,0,0,0,0
1,0,3,1,0.25,0.30625,0.382,0,0,0.2,0,0,0,0.00816327,0,0,0,0.125
1,0,3,2,0.285,0.36375,0.4,0.2,0,0,0,0,0,0.0103093,0,0,0,0.25
1,0,3,3,0.21,0.2525,0.359524,0,0,0,0,0,0,0.0148515,0,0,0,0.375
0,0,3,4,0.03,0.03,0.3,0,0,0,0,0,0,0.0416667,0,0,0,0.5
1,0,4,0,0.15,0.20125,0.41,0,0,0,0,0.1,0,0.0186335,0,0,0,0
1,0,4,1,0.195,0.26,0.412821,0,0,0,0,0.1,0,0.0144231,0,0,0,0.125
1,0,4,2,0.18,0.21,0.352778,0,0,0,0,0.2,0,0.0297619,0,0,0,0.25
0,0,5,0,0.095,0.12,0.394737,0.4,0,0,0,0,0,0.0208333,0,0,0,0
0,0,5,1,0.05,0.07,0.44,0.4,0,0,0,0,0,0.0357143,0,0,0,0.125
0,0,5,2,0.07,0.09375,0.385714,0,0.2,0,0,0,0.1,0.04,0,0,0,0.25
1,0,5,3,0.17,0.225,0.408824,0.2,0,0,0,0,0.1,0.0222222,0,0,0,0.375
0,0,6,0,0.02,0.02375,0.35,0,0,0,0,0,0,0.0526316,0,0,0,0
0,0,6,1,0.07,0.08,0.35,0,0,0,0,0,0,0.03125,0,0,0,0.125
1,0,6,2,0.17,0.20375,0.367647,0.2,0,0.2,0,0,0,0.0122699,0,0,0,0.25
0,0,7,0,0.005,0.01375,1,0,0.2,0,0,0,0,0.0909091,0,0,0,0
0,0,7,1,0.055,0.07375,0.436364,0,0,0,0,0,0,0.0338983,0,0,0,0.125
0,0,7,2,0.11,0.11375,0.3,0,0,0,0,0.1,0,0.032967,0,0,0,0.25
0,0,8,0,0.06,0.10125,0.558333,0,0,0,0,0,0,0.0740741,0,0,0,0
0,0,8,1,0.095,0.15875,0.557895,0,0,0,0,0.1,0,0.0944882,0,0,0,0.125
0,0,9,0,0.085,0.11875,0.435294,0,0,0,0,0,0.2,0.0526316,0,0,0,0
0,0,9,1,0.05,0.07125,0.46,0,0.2,0,0,0,0,0.0350877,0,0,0,0.125
0,0,10,0,0.085,0.09125,0.323529,0,0,0,0,0.1,0,0.0547945,0,0,0,0
0,0,10,1,0.045,0.05375,0.366667,0,0,0.2,0,0.1,0,0.0465116,0,0,0,0.125
0,0,11,0,0.09,0.16625,0.633333,0,0,0,0,0,0,0.0225564,0,0,0,0
0,0,11,1,0.085,0.10625,0.394118,0,0,0,0,0,0,0.0352941,0,0,0,0.125
1,0,12,0,0.52,0.6975,0.421154,0,0,0.2,0,0,0,0.0107527,0,0,0,0
0,0,12,1,0.065,0.07625,0.353846,0.2,0,0,0,0.1,0,0.0491803,0,0,0,0.125
1,0,13,0,0.17,0.23,0.417647,0,0,0,0,0,0.6,0.0217391,0,0,0,0
1,0,13,1,0.245,0.3275,0.418367,0,0,0,0,0,0.6,0.0152672,0,0,0,0.125
0,0,14,0,0.07,0.09875,0.428571,0.2,0,0,0,0.1,0,0.0379747,0,0,0,0
1,0,14,1,0.145,0.20875,0.468966,0.2,0,0,0,0,0,0.0299401,0,0,0,0.125
0,0,15,0,0.07,0.0725,0.307143,0,0,0,0,0,0,0.0344828,0,0,0,0
0,0,15,1,0.045,0.04625,0.311111,0,0,0,0,0,0,0.027027,0,0,0,0.125
