y,batch,x_n_toks,x_n_chars,x_avg_word,x_qmark,x_bang,x_hedge,x_formal,x_i_count,x_newlines,x_upper,x_refuse,x_please,x_thank
1,0,0.185,0.25125,0.421622,0,0,0,0,0.2,0,0.00995025,0,0,0
1,0,0.22,0.305,0.443182,0.2,0.2,0,0,0.1,0,0.0245902,0,0,0
0,0,0.01,0.0225,0.75,0,0,0,0,0,0,0.277778,0,0,0
1,0,0.465,0.75125,0.530108,0,0,0,0,0.1,0,0.0282862,0,0,0
0,0,0.735,1.25625,0.561224,0,0,0.2,0,0,0.8,0.0199005,0.333333,0,0
1,0,1.205,1.76625,0.460581,0,0.2,0,0,0,1,0.0134466,0,0,0
1,0,0.265,0.58125,0.471698,0,0,0,0,0,4.1,0.0623656,0,0,0
1,0,1.13,1.74875,0.506637,0,0,0,0,0,0.6,0.0128663,0,0,0
1,0,0.975,1.4125,0.451282,0,0,0,0,0,1,0.0336283,0,0,0
0,0,1.345,1.65625,0.37658,0,0.2,0.4,0,2.2,1,0.0264151,0,0,0.25
1,0,0.235,0.3325,0.455319,0,0,0,0,0.1,0,0.0150376,0.333333,0,0
0,0,0.99,1.3575,0.427273,0,0,0.8,0,0.6,0.6,0.0156538,0,0,0
1,0,1.49,2.51625,0.518792,0.2,0,0,0,0,2.7,0.0139096,0,0,0
1,0,0.425,0.65625,0.508235,0,0,0,0,0,0,0.00571429,0,0,0
0,0,0.41,0.53625,0.403659,0.2,0.2,0,0,0.5,0.4,0.034965,0,0,0
1,0,1.91,3.04875,0.525654,0,0,0,0,0,1.4,0.0217302,0,0,0
1,0,0.06,0.065,0.316667,0.2,0,0,0,0,0,0.0384615,0,0,0
0,0,0.14,0.19125,0.428571,0.2,0,0,0,0,0.1,0.0522876,0,0,0
1,0,1.25,1.7975,0.452,0,0,0,0,0,0.1,0.011822,0,0,0
1,0,0.785,1.23375,0.500637,0,0,0,0,0,0.4,0.0385005,0,0,0
0,0,0.56,0.86125,0.505357,0,0,0,0.2,0.3,0.1,0.0159652,0.666667,0,0
0,0,1.645,2.53125,0.503647,0,0,0,0,0,0,0.000987654,0,0,0
1,0,0.74,1.015,0.427027,0,0,0,0,0,0.4,0.0406404,0,0,0
0,0,1.07,1.58375,0.479907,0,0,0,0.2,0,0.6,0.00789266,0,0,0
0,0,1.255,1.89625,0.481275,0,0,0,0.2,0,1.2,0.0151615,0,0,0
0,0,0.31,0.475,0.5,0,0,0,0,0.1,0,0.0131579,0.666667,0.25,0
1,0,2.04,2.7675,0.433088,0,0,0,0,0,1.4,0.00813008,0,0,0
1,0,0.2,0.26125,0.3975,0.2,0.2,0,0.2,0.3,0,0.0478469,0,0,0
0,0,0.575,0.81375,0.456522,0,0,0,0,0.7,0,0.0291859,0,0,0
