y,batch,x_n_toks,x_n_chars,x_avg_word,x_qmark,x_bang,x_hedge,x_formal,x_i_count,x_newlines,x_upper,x_refuse,x_please,x_thank
1,0,0.835,1.285,0.473653,0,0,0,0.2,0.2,0.8,0.020428,0,0,0
1,0,0.4,0.6525,0.4975,0,0,0,0.2,0.1,0.8,0.0268199,0.333333,0,0
1,0,0.505,0.81375,0.519802,0,0.2,0,0.2,0.3,0,0.0261137,0,0,0
1,0,0.67,1.035,0.499254,0,0,0,0,0.1,0,0.0205314,0.333333,0,0.25
1,0,0.62,1.02125,0.508065,0,0,0,0.4,0.1,0.8,0.0293758,0.333333,0,0
1,0,1.645,2.66625,0.528875,0,0,0,0.2,0.3,1,0.0154712,0,0.25,0
1,0,1.27,1.96875,0.501181,0,0,0,0.4,0.2,0.8,0.0247619,0.666667,0,0
1,0,1.095,1.67125,0.484475,0,0,0,0,0.1,1.1,0.026926,1,0,0
1,0,1.425,2.30625,0.524912,0,0,0,0.2,0.2,0,0.0151762,0,0,0
1,0,1.56,2.4575,0.50641,0,0.2,0.2,0,0.2,0.8,0.0183113,0.333333,0,0
1,0,0.525,0.85875,0.540952,0,0,0,0.4,0.2,0,0.0174672,0,0,0
1,0,0.805,1.3775,0.567702,0,0,0,0.4,0.1,0,0.0245009,0,0,0
1,0,0.875,1.56375,0.597714,0,0,0,0.2,0.2,0,0.00959233,0,0,0
1,0,0.96,1.4975,0.508333,0.2,0,0.2,0,0,0.8,0.0191987,0.333333,0,0
1,0,1.04,1.71125,0.542308,0,0,0,0.4,0.4,0.4,0.0109569,0.333333,0,0
1,0,0.975,1.54,0.50359,0,0,0,0.2,0.5,1.6,0.0227273,0.666667,0,0
1,0,1.26,2.0775,0.530952,0.2,0,0.2,0,0.2,1.1,0.0222623,0.333333,0,0
1,0,0.865,1.3975,0.519075,0,0.2,0.2,0.2,0.1,1.1,0.0178891,0.666667,0,0
1,0,1.465,2.3975,0.532423,0,0,0,0,0.2,0.9,0.0130344,0.333333,0,0
1,0,1.015,1.70125,0.549261,0,0,0.2,0.2,0.2,0.8,0.0191036,0.333333,0,0
1,0,1.025,1.7925,0.563902,0,0,0,0.8,0.3,0.6,0.0132497,0,0,0
1,0,1.02,1.68375,0.534314,0,0,0.2,0.2,0.2,0.9,0.0200445,0,0,0
1,0,1.355,2.165,0.520295,0,0.2,0.2,0,0.3,0.6,0.00981524,0.333333,0.25,0
1,0,0.755,1.31875,0.551656,0,0,0.2,0.2,0.1,0.4,0.00947867,0.333333,0,0
1,0,1.485,2.59375,0.576094,0,0,0,0.2,0.1,1.2,0.0101205,0,0,0
1,0,1.78,2.97375,0.546348,0,0,0,0.4,0.3,0.6,0.0197562,0,0,0.25
1,0,0.98,1.6375,0.553061,0,0,0.2,0.4,0.2,0.6,0.00916031,0.666667,0,0
1,0,1.09,1.76625,0.533945,0,0,0,0,0.1,0,0.0113234,0.666667,0,0
1,0,0.95,1.56125,0.537895,0,0.2,0,0.4,0.4,0,0.0272218,0.333333,0.25,0
1,0,1.775,2.78125,0.505915,0,0,0,0.2,0.6,2.1,0.0197753,0,0.25,0.25
1,0,0.935,1.64,0.586096,0,0,0.2,0.4,0.4,0.4,0.00914634,0,0,0
1,0,0.94,1.60125,0.566489,0,0.2,0,0.2,0.2,0.9,0.0148322,0,0,0
1,0,0.755,1.35,0.603311,0,0,0,0.2,0.2,0,0.00925926,0,0,0
1,0,0.685,1.06875,0.508029,0,0.2,0,0.2,0.2,0,0.00818713,0.666667,0,0
1,0,1.18,1.775,0.486017,0,0,0,0.2,0.3,0.5,0.0112676,0.333333,0.25,0
1,0,0.5,0.77625,0.494,0,0.6,0,0,0.1,0,0.0354267,0.333333,0,0
1,0,0.73,1.15625,0.510274,0,0,0.2,0.2,0,0,0.0108108,0.333333,0,0
1,0,0.725,1.15125,0.517241,0,0,0,0.4,0.2,0,0.0130293,0,0,0
1,0,0.605,1.0625,0.589256,0,0,0,0.2,0.2,0,0.0105882,0,0,0
1,0,0.56,0.99,0.586607,0,0,0.2,0.4,0.3,0.4,0.0214646,0,0,0
1,0,1.025,1.60125,0.505854,0,0,0.2,0,0.1,0.6,0.0218579,0.666667,0,0
1,0,0.68,1.08875,0.511029,0,0.2,0,0.4,0.3,0,0.021814,0.333333,0,0
1,0,0.575,0.945,0.523478,0,0,0.2,0,0.1,0,0.0171958,0.666667,0,0
1,0,1.29,2.07875,0.523256,0,0,0.4,0.2,0.4,0,0.0222489,0.666667,0.25,0
1,0,1.08,1.705,0.513426,0,0.2,0,0.2,0.2,0,0.0117302,0,0,0
1,0,1.16,2.025,0.581466,0,0,0.2,0,0.1,0.9,0.00987654,0,0,0
