dataset,procedure,lambda,mode,n_days,n_alarm_days,det_rate,first1_median,first2_median,first3_median,mean_sum,first1_mean,first1_std,first1_p25,first1_p75
metro_interstate,saffron,0.5,day_level,300,167,0.5566666666666666,3.0,4.0,5.0,0.8766666666666667,3.281437125748503,0.7729423334487817,3.0,3.0
metro_interstate,addis_lam0.25,0.25,day_level,300,167,0.5566666666666666,3.0,4.0,5.0,0.8766666666666667,3.281437125748503,0.7729423334487817,3.0,3.0
metro_interstate,addis_lam0.35,0.35,day_level,300,167,0.5566666666666666,3.0,4.0,5.0,0.8766666666666667,3.281437125748503,0.7729423334487817,3.0,3.0
metro_interstate,addis_lam0.4,0.4,day_level,300,167,0.5566666666666666,3.0,4.0,5.0,0.8766666666666667,3.281437125748503,0.7729423334487817,3.0,3.0
metro_interstate,alpha_investing,,day_level,300,169,0.5633333333333334,3.0,4.0,5.0,0.9066666666666666,3.301775147928994,0.7753963195683392,3.0,3.0
beijing_pm25,saffron,0.5,day_level,300,216,0.72,3.0,4.0,,1.0266666666666666,3.2685185185185186,0.44318881273238225,3.0,4.0
beijing_pm25,addis_lam0.25,0.25,day_level,300,216,0.72,3.0,4.0,,1.0266666666666666,3.2685185185185186,0.44318881273238225,3.0,4.0
beijing_pm25,addis_lam0.35,0.35,day_level,300,216,0.72,3.0,4.0,,1.0266666666666666,3.2685185185185186,0.44318881273238225,3.0,4.0
beijing_pm25,addis_lam0.4,0.4,day_level,300,216,0.72,3.0,4.0,,1.0266666666666666,3.2685185185185186,0.44318881273238225,3.0,4.0
beijing_pm25,alpha_investing,,day_level,300,219,0.73,3.0,4.0,,1.0633333333333332,3.232876712328767,0.42266434576826056,3.0,3.0
nyc_taxi,saffron,0.5,day_level,215,172,0.8,3.0,9.0,7.0,2.1348837209302327,3.686046511627907,1.9693088618054573,3.0,3.0
nyc_taxi,addis_lam0.25,0.25,day_level,215,172,0.8,3.0,9.0,7.0,2.1348837209302327,3.686046511627907,1.9693088618054573,3.0,3.0
nyc_taxi,addis_lam0.35,0.35,day_level,215,178,0.827906976744186,3.0,9.0,7.0,2.1627906976744184,3.898876404494382,2.2463200559388046,3.0,3.0
nyc_taxi,addis_lam0.4,0.4,day_level,215,164,0.7627906976744186,3.0,9.0,7.0,2.097674418604651,3.3780487804878048,1.4240122284898948,3.0,3.0
nyc_taxi,alpha_investing,,day_level,215,212,0.986046511627907,3.0,9.0,7.0,2.5488372093023255,4.533018867924528,2.509198988857148,3.0,7.25
