dataset,procedure,first1,first2,first3,alarm_p25,alarm_median,alarm_p75,alarm_mean,alarm_std,SUM,n_trail,lambda_
adult,addis_lam0.25,13.0,,,17.25,20.5,26.25,20.166666666666668,8.224040137820918,4.0,40,0.25
adult,addis_lam0.35,13.0,,,17.0,22.0,28.75,20.61111111111111,8.630968708118935,3.6666666666666665,40,0.35
adult,addis_lam0.4,13.0,,,17.0,22.0,28.75,20.444444444444443,8.994782106353501,3.3333333333333335,40,0.4
adult,alpha_investing,8.0,17.0,,13.75,20.0,26.25,20.674603174603174,8.9855600488247,7.0,40,
adult,saffron,13.0,,,17.0,21.0,28.0,20.344444444444445,8.437840000462002,4.0,40,0.5
bank,addis_lam0.25,10.0,18.0,37.0,16.0,19.0,34.5,22.638095238095236,10.290717814173277,5.666666666666667,40,0.25
bank,addis_lam0.35,10.0,16.5,37.0,16.0,23.5,34.5,22.888095238095236,10.518283046826058,5.333333333333333,40,0.35
bank,addis_lam0.4,10.0,16.5,37.0,16.0,23.5,34.5,22.888095238095236,10.518283046826058,5.333333333333333,40,0.4
bank,alpha_investing,9.0,11.0,37.0,14.0,21.0,32.75,22.533008658008658,10.27218094523409,8.666666666666666,40,
bank,saffron,10.0,18.0,37.0,16.0,19.0,34.5,22.638095238095236,10.290717814173277,5.666666666666667,40,0.5
beijing_pm25,addis_lam0.25,6.0,7.0,,12.0,18.0,31.5,22.23809523809524,12.191631888345356,7.0,40,0.25
beijing_pm25,addis_lam0.35,6.0,7.0,,12.0,18.0,31.5,22.23809523809524,12.56356406513388,6.666666666666667,40,0.35
beijing_pm25,addis_lam0.4,6.0,7.0,,8.25,18.0,37.0,22.333333333333332,13.658350440306696,5.333333333333333,40,0.4
beijing_pm25,alpha_investing,6.0,7.0,7.0,12.5,18.0,33.5,22.090909090909093,12.104084818242375,10.0,40,
beijing_pm25,saffron,6.0,7.0,,12.0,18.0,31.5,22.23809523809524,12.191631888345356,7.0,40,0.5
covertype,addis_lam0.25,7.0,6.0,,10.0,16.0,21.75,17.34259259259259,9.827236399632971,8.666666666666666,40,0.25
covertype,addis_lam0.35,7.0,6.0,,10.0,14.0,20.0,16.703703703703706,9.575632044775498,8.333333333333334,40,0.35
covertype,addis_lam0.4,7.0,6.0,,10.0,14.0,20.0,16.703703703703706,9.575632044775498,8.333333333333334,40,0.4
covertype,alpha_investing,7.0,6.0,,10.5,16.5,24.25,17.849999999999998,9.673418367597405,9.333333333333334,40,
covertype,saffron,7.0,6.0,,10.0,14.0,20.0,16.703703703703706,9.575632044775498,8.333333333333334,40,0.5
eeg,addis_lam0.25,7.0,15.0,26.0,12.5,22.0,29.0,19.597619047619048,9.404572123407755,5.333333333333333,40,0.25
eeg,addis_lam0.35,7.0,15.0,26.0,12.5,22.0,28.0,19.96428571428571,9.243563020124709,5.666666666666667,40,0.35
eeg,addis_lam0.4,7.0,15.0,26.0,12.5,22.0,28.0,19.96428571428571,9.243563020124709,5.666666666666667,40,0.4
eeg,alpha_investing,7.0,11.0,26.0,13.25,23.5,30.25,21.441666666666666,9.892747978300363,9.333333333333334,40,
eeg,saffron,7.0,15.0,26.0,13.25,23.0,29.75,21.412698412698415,10.058347920647046,6.666666666666667,40,0.5
electricity,addis_lam0.25,5.0,19.0,,7.75,17.5,31.25,22.008333333333336,8.677199945976296,5.666666666666667,40,0.25
electricity,addis_lam0.35,5.0,19.0,,7.75,17.5,31.25,22.008333333333336,8.677199945976296,5.666666666666667,40,0.35
electricity,addis_lam0.4,5.0,19.0,,7.75,17.5,31.25,22.008333333333336,8.677199945976296,5.666666666666667,40,0.4
electricity,alpha_investing,5.0,19.0,33.0,12.0,23.0,31.0,21.608465608465607,11.193783325527642,7.666666666666667,40,
electricity,saffron,5.0,19.0,,7.75,17.5,31.25,22.008333333333336,8.677199945976296,5.666666666666667,40,0.5
metro_interstate,addis_lam0.25,11.0,,,13.25,16.5,19.75,18.11111111111111,7.217945552388261,2.3333333333333335,40,0.25
metro_interstate,addis_lam0.35,11.0,,,13.25,16.5,19.75,16.5,6.5,2.0,40,0.35
metro_interstate,addis_lam0.4,11.0,,,13.25,16.5,19.75,16.5,6.5,2.0,40,0.4
metro_interstate,alpha_investing,7.0,,,12.25,21.0,29.0,21.166666666666668,11.12679448698301,6.0,40,
metro_interstate,saffron,11.0,,,16.5,23.0,27.0,21.333333333333332,8.65383665716478,3.0,40,0.5
nyc_taxi,addis_lam0.25,9.0,13.0,,11.75,23.5,32.25,22.178571428571427,11.114376376150288,7.666666666666667,40,0.25
nyc_taxi,addis_lam0.35,9.0,13.0,,11.75,23.5,32.25,21.694444444444443,11.20506397041897,7.333333333333333,40,0.35
nyc_taxi,addis_lam0.4,9.0,13.0,,11.5,17.0,32.5,20.992063492063494,11.460206654261214,6.666666666666667,40,0.4
nyc_taxi,alpha_investing,7.0,8.0,9.0,8.75,14.5,31.5,18.933333333333334,11.75890226415708,9.666666666666666,40,
nyc_taxi,saffron,9.0,13.0,,11.75,23.5,32.25,22.178571428571427,11.114376376150288,7.666666666666667,40,0.5
stocks_AAPL,addis_lam0.25,8.0,,,8.5,19.0,29.5,19.0,11.045361017187261,4.0,40,0.25
stocks_AAPL,addis_lam0.35,8.0,,,8.5,19.0,29.5,19.0,11.045361017187261,4.0,40,0.35
stocks_AAPL,addis_lam0.4,8.0,,,8.5,19.0,29.5,19.0,11.045361017187261,4.0,40,0.4
stocks_AAPL,alpha_investing,8.0,30.0,,13.0,22.0,28.5,19.744047619047617,9.345174597797081,7.333333333333333,40,
stocks_AAPL,saffron,8.0,,,9.0,17.0,29.0,17.78888888888889,10.127086450841142,5.333333333333333,40,0.5
stocks_IWM,addis_lam0.25,7.0,,,7.5,18.0,28.5,18.0,11.045361017187261,4.0,40,0.25
stocks_IWM,addis_lam0.35,7.0,,,7.5,18.0,28.5,18.0,11.045361017187261,4.0,40,0.35
stocks_IWM,addis_lam0.4,7.0,,,7.5,18.0,28.5,18.0,11.045361017187261,4.0,40,0.4
stocks_IWM,alpha_investing,7.0,,,11.0,20.0,25.0,18.285714285714285,8.64728340024089,7.0,40,
stocks_IWM,saffron,7.0,,,7.5,18.0,28.5,18.0,11.045361017187261,4.0,40,0.5
stocks_MSFT,addis_lam0.25,8.0,9.0,10.0,8.25,13.5,24.75,16.666666666666668,9.498537899183338,6.0,40,0.25
stocks_MSFT,addis_lam0.35,8.0,9.0,10.0,8.25,13.5,24.75,16.666666666666668,9.498537899183338,6.0,40,0.35
stocks_MSFT,addis_lam0.4,9.0,10.0,,8.75,18.0,28.0,18.75,10.353139620424328,4.0,40,0.4
stocks_MSFT,alpha_investing,5.0,9.0,10.0,8.0,18.0,27.0,18.11111111111111,11.03977097633264,9.0,40,
stocks_MSFT,saffron,8.0,9.0,10.0,8.25,13.5,24.75,16.666666666666668,9.498537899183338,6.0,40,0.5
synthetic,addis_lam0.25,5.0,14.0,,10.5,15.0,21.0,16.973544973544975,9.621922765268478,7.666666666666667,40,0.25
synthetic,addis_lam0.35,5.0,14.0,,9.75,13.5,21.0,15.902116402116404,8.798130956016783,7.333333333333333,40,0.35
synthetic,addis_lam0.4,5.0,14.0,,9.75,13.5,21.0,15.902116402116404,8.798130956016783,7.333333333333333,40,0.4
synthetic,alpha_investing,5.0,14.0,14.0,11.75,17.5,26.75,18.421296296296294,9.618771182343659,9.666666666666666,40,
