dataset,seed,procedure,lambda,n_burn,n_batches,shift_batch,grace,n_monitor,n_alarm,alarm_rate,early10_alarm_rate,far_pre_shift,alarm_rate_post,t_first,t_first_raw,t_first_rel,delay_vs_shift,detected_after_shift
synthetic,0,saffron,0.5,8,48,20.0,4,40,8,0.2,0.4,0.3333333333333333,0.14285714285714285,15,8,7,-5,0.0
synthetic,0,addis_lam0.25,0.25,8,48,20.0,4,40,9,0.225,0.4,0.3333333333333333,0.17857142857142858,15,8,7,-5,0.0
synthetic,0,addis_lam0.35,0.35,8,48,20.0,4,40,8,0.2,0.4,0.3333333333333333,0.14285714285714285,15,8,7,-5,0.0
synthetic,0,addis_lam0.4,0.4,8,48,20.0,4,40,8,0.2,0.4,0.3333333333333333,0.14285714285714285,15,8,7,-5,0.0
synthetic,0,alpha_investing,,8,48,20.0,4,40,11,0.275,0.4,0.3333333333333333,0.25,15,8,7,-5,0.0
synthetic,1,saffron,0.5,8,48,20.0,4,40,9,0.225,0.4,0.3333333333333333,0.17857142857142858,12,8,4,-8,0.0
synthetic,1,addis_lam0.25,0.25,8,48,20.0,4,40,9,0.225,0.4,0.3333333333333333,0.17857142857142858,12,8,4,-8,0.0
synthetic,1,addis_lam0.35,0.35,8,48,20.0,4,40,9,0.225,0.4,0.3333333333333333,0.17857142857142858,12,8,4,-8,0.0
synthetic,1,addis_lam0.4,0.4,8,48,20.0,4,40,9,0.225,0.4,0.3333333333333333,0.17857142857142858,12,8,4,-8,0.0
synthetic,1,alpha_investing,,8,48,20.0,4,40,10,0.25,0.4,0.3333333333333333,0.21428571428571427,12,8,4,-8,0.0
synthetic,2,saffron,0.5,8,48,20.0,4,40,12,0.3,0.5,0.4166666666666667,0.25,12,8,4,-8,0.0
synthetic,2,addis_lam0.25,0.25,8,48,20.0,4,40,12,0.3,0.5,0.4166666666666667,0.25,12,8,4,-8,0.0
synthetic,2,addis_lam0.35,0.35,8,48,20.0,4,40,12,0.3,0.5,0.4166666666666667,0.25,12,8,4,-8,0.0
synthetic,2,addis_lam0.4,0.4,8,48,20.0,4,40,12,0.3,0.5,0.4166666666666667,0.25,12,8,4,-8,0.0
