dataset,procedure,mean_alarm_rate,mean_early10,mean_far_pre,mean_t_first,mean_delay,detect_rate,lambda_
adult,addis_lam0.25,0.15833333333333333,0.3,0.3,18.333333333333332,10.333333333333334,1.0,0.25
adult,addis_lam0.35,0.15,0.3,0.3,18.333333333333332,10.333333333333334,1.0,0.35
adult,addis_lam0.4,0.14166666666666666,0.3,0.3,18.333333333333332,10.333333333333334,1.0,0.4
adult,alpha_investing,0.23333333333333336,0.3666666666666667,0.3666666666666667,15.666666666666666,7.666666666666667,1.0,
adult,saffron,0.15833333333333333,0.3,0.3,18.333333333333332,10.333333333333334,1.0,0.5
bank,addis_lam0.25,0.18333333333333335,0.2333333333333333,0.2333333333333333,16.0,8.0,1.0,0.25
bank,addis_lam0.35,0.17500000000000002,0.2333333333333333,0.2333333333333333,16.0,8.0,1.0,0.35
bank,addis_lam0.4,0.17500000000000002,0.2333333333333333,0.2333333333333333,16.0,8.0,1.0,0.4
bank,alpha_investing,0.25833333333333336,0.3,0.3,15.333333333333334,7.333333333333333,1.0,
bank,saffron,0.18333333333333335,0.2333333333333333,0.2333333333333333,16.0,8.0,1.0,0.5
eeg,addis_lam0.25,0.15833333333333333,0.16666666666666666,0.16666666666666666,15.333333333333334,7.333333333333333,1.0,0.25
eeg,addis_lam0.35,0.16666666666666666,0.16666666666666666,0.16666666666666666,15.333333333333334,7.333333333333333,1.0,0.35
eeg,addis_lam0.4,0.16666666666666666,0.16666666666666666,0.16666666666666666,15.333333333333334,7.333333333333333,1.0,0.4
eeg,alpha_investing,0.25833333333333336,0.2333333333333333,0.2333333333333333,14.666666666666666,6.666666666666667,1.0,
eeg,saffron,0.19166666666666665,0.16666666666666666,0.16666666666666666,15.333333333333334,7.333333333333333,1.0,0.5
electricity,addis_lam0.25,0.19166666666666665,0.3666666666666667,0.3666666666666667,18.0,10.0,1.0,0.25
electricity,addis_lam0.35,0.19166666666666665,0.3666666666666667,0.3666666666666667,18.0,10.0,1.0,0.35
electricity,addis_lam0.4,0.19166666666666665,0.3666666666666667,0.3666666666666667,18.0,10.0,1.0,0.4
electricity,alpha_investing,0.24166666666666667,0.39999999999999997,0.39999999999999997,12.666666666666666,4.666666666666667,1.0,
electricity,saffron,0.19166666666666665,0.3666666666666667,0.3666666666666667,18.0,10.0,1.0,0.5
synthetic,addis_lam0.25,0.25,0.43333333333333335,0.3611111111111111,13.0,-7.0,0.0,0.25
synthetic,addis_lam0.35,0.24166666666666667,0.43333333333333335,0.3611111111111111,13.0,-7.0,0.0,0.35
synthetic,addis_lam0.4,0.24166666666666667,0.43333333333333335,0.3611111111111111,13.0,-7.0,0.0,0.4
synthetic,alpha_investing,0.3,0.43333333333333335,0.38888888888888884,13.0,-7.0,0.0,
synthetic,saffron,0.24166666666666667,0.43333333333333335,0.3611111111111111,13.0,-7.0,0.0,0.5
