feature,cf_importance,rank
i_n_covisit_neighbors,0.2556658601548172,1
i_log1p_n_covisit,0.23367141061620159,2
i_share_linear,0.18900092984874817,3
i_credit_linear,0.17683299691144364,4
ui_pop_mismatch,0.047128278739798746,5
u_n_exp,0.030591368628767712,6
u_n_uniq_items,0.016299696184655765,7
i_share_first,0.008437935507958442,8
u_log1p_n_events,0.007790663692818927,9
u_span_sec,0.007301659099905579,10
i_n_exp,0.005740228294561585,11
u_n_events,0.005649026900504971,12
i_log1p_n_exp,0.005181791125558142,13
u_log1p_n_uniq,0.004480617864479226,14
i_n_users,0.004075047693255968,15
i_log1p_n_users,0.002143905493980127,16
i_credit_last,8.573081586584823e-06,17
i_share_last,1.0160957636181483e-08,18
e_n_exp,0.0,19
i_credit_first,0.0,20
e_log1p_exp,0.0,21
