merchant_id,cf_tau2_mean,n,rank
25645,4604.217265538475,3,1
46888,2661.9516787732196,4,2
43385,1443.5816557732005,5,3
24697,1414.1486266585357,4,4
34980,1327.504149352969,7,5
9615,750.1379526346583,4,6
58548,599.2295308838503,3,7
56740,439.2830484138189,3,8
11658,421.5944003833299,3,9
14733,389.00284035403837,3,10
43783,290.8699168349882,4,11
86291,232.47906146263128,8,12
72318,155.24443213393963,10,13
27882,5.678697994633782,3,14
798,4.602016670287632,4,15
74735,3.507481347910895,3,16
62430,1.2351190726307857,3,17
2087268,0.06604271742725366,3,18
81765,0.035169066848689624,3,19
23148,0.021896877598387116,3,20
33005,0.01893728371663154,3,21
444774,0.013081810060353548,3,22
24372,0.008265733811908461,3,23
1263317,0.0071199921847130455,3,24
20521,0.006625810525678756,5,25
4375515,0.004804787687203883,3,26
63640,0.004804186711493343,3,27
89404,0.004417429330472923,3,28
18657,0.0035178081716550754,4,29
12189,0.0034167940779930434,3,30
3840278,0.0013022727035849736,3,31
3366776,0.001080243778515081,3,32
1,0.0009980962702412558,3,33
1386584,0.0007421828002152478,3,34
83881,0.00046349468752145286,3,35
527185,0.00029158438473572766,4,36
18497,0.0002190354218921785,4,37
3811253,0.00015170979754304653,3,38
1863853,0.00010444859739337313,4,39
73466,8.523702852636241e-05,3,40
1971100,8.213673531021441e-05,4,41
2210112,7.781141594053866e-05,3,42
3873130,7.638996052971417e-05,5,43
2971718,7.476823167870786e-05,4,44
802804,7.311003364400908e-05,3,45
226288,6.859175883584318e-05,8,46
2600978,6.71438386776766e-05,3,47
1563401,6.582754022460612e-05,3,48
1411349,6.495143063402804e-05,3,49
12894,6.121621417161517e-05,4,50
1785822,5.869705188060111e-05,3,51
4494942,5.3609847137694555e-05,3,52
395500,5.3020522010589415e-05,3,53
2382834,5.2438721478424714e-05,4,54
3601542,5.193553835361039e-05,3,55
4169524,4.908010944403208e-05,3,56
3626096,4.903400470025361e-05,3,57
79451,4.7844802367161175e-05,3,58
66595,4.5939986128523506e-05,3,59
9547,4.352612988931782e-05,4,60
3177541,4.35096848922045e-05,4,61
2345757,4.131703386976013e-05,3,62
1995891,4.104489141219668e-05,6,63
2218350,4.104479298847034e-05,3,64
1551104,3.978348521905326e-05,3,65
3576787,3.9470450562540355e-05,5,66
2658621,3.687430297087119e-05,3,67
901529,3.68700043962642e-05,3,68
55809,3.57593003771113e-05,3,69
4766722,3.5036788556256135e-05,3,70
2798552,3.433905702771804e-05,3,71
494172,3.4335766402840004e-05,3,72
218097,3.428466988004839e-05,3,73
2226655,3.417429787082758e-05,4,74
1020833,3.407403113198858e-05,5,75
3897768,3.299623034154535e-05,3,76
47205,3.291553028817578e-05,3,77
3959512,3.139635341583841e-05,3,78
3741191,3.019868932518521e-05,3,79
2242896,2.9714197471999873e-05,3,80
2810899,2.969728903779336e-05,3,81
2012336,2.9366573555851515e-05,3,82
708137,2.8331158141771824e-05,3,83
1098908,2.8003510117007062e-05,3,84
2164948,2.764823839476322e-05,3,85
852260,2.7024113758680845e-05,4,86
3013062,2.5604077486334065e-05,7,87
2629844,2.538489494604352e-05,4,88
987997,2.2875482791345575e-05,4,89
3840152,2.080464034384236e-05,3,90
2794452,1.9707562847921106e-05,3,91
848091,1.8883171221256488e-05,3,92
790418,1.575575226992548e-05,3,93
6132,1.5248075303026735e-05,3,94
1135881,1.3938724593363983e-05,4,95
2304650,1.3527272436009546e-05,3,96
810963,1.3239444157566362e-05,3,97
2210119,1.2817263480967209e-05,3,98
1666642,1.2491954404165617e-05,3,99
1111292,9.830998306009923e-06,4,100
4074864,9.81748781270279e-06,4,101
