user_id,cf_tau2_mean,n,rank
897284,15226.147273256784,4,1
774240,12017.026276053024,2,2
909034,9014.340357023219,2,3
226941,7574.765998709239,4,4
18944,7508.730250915076,3,5
620641,7095.04814064468,4,6
845123,7074.667585347354,2,7
288528,6970.43936678855,2,8
781214,6878.544871871915,4,9
548688,6727.644426135328,4,10
883344,6724.591042637159,2,11
9430,6679.243329977195,2,12
493037,6116.154772330328,4,13
973981,6055.454371687139,5,14
297694,6047.366983495657,3,15
616080,5999.2361528443,2,16
263997,5809.768018098013,2,17
420994,5675.436375063224,7,18
36375,5569.263079698272,4,19
31723,5457.791744172266,3,20
981079,5443.947979775135,3,21
491878,5270.615108639504,2,22
261802,5243.784472691178,2,23
324423,5143.952084178443,2,24
571929,5122.264259753845,2,25
663724,4837.676880824902,5,26
535815,4808.804724580706,2,27
720788,4779.058127453317,3,28
612508,4751.360161461661,2,29
538226,4474.53372733314,3,30
702200,4466.310873121392,2,31
619568,4365.456010109351,2,32
45670,4241.867677212281,3,33
589268,4194.506694546898,3,34
351272,4138.746964584623,2,35
503499,4094.011850357014,3,36
387167,4052.3129597833395,3,37
54748,3917.531331157266,4,38
699877,3834.318371268735,4,39
117715,3832.7521959142205,4,40
888116,3804.8892471880295,6,41
460375,3790.9518115989654,3,42
870687,3760.018689988871,3,43
474444,3728.258687234212,3,44
948326,3715.276944140422,3,45
929824,3681.1713369478102,2,46
985727,3618.2619137458914,3,47
735680,3603.9813026530323,4,48
675347,3574.3876429579,3,49
839189,3549.03501829755,5,50
534742,3497.282213810851,5,51
894962,3361.8144212891116,2,52
272133,3351.0719394207217,5,53
813620,3342.126588156008,5,54
963519,3330.8777321070174,2,55
932057,3203.165503111114,4,56
922977,3185.4473993100073,3,57
457016,3136.746102428515,3,58
487098,3120.483071321319,3,59
476772,2952.9845872921287,4,60
274452,2942.551884544251,3,61
244373,2933.59011128299,5,62
657826,2900.3038820251018,4,63
540683,2893.605835639541,2,64
45671,2884.4374016952597,2,65
720661,2874.1494702863174,4,66
74502,2873.7871509719544,2,67
341762,2863.226836316652,2,68
297606,2862.0328051901197,4,69
780998,2779.6554965300124,3,70
81688,2735.447282057273,5,71
43346,2691.9801997369595,3,72
