merchant_id,mmd2,n_W1,n_W2
226288,1.8150010951243245,39,112
3885368,1.7024671741680006,17,31
3757633,1.685092441576388,13,24
1242724,1.6217474714721478,4,23
498321,1.620420988860195,6,31
3576787,1.6179564916210147,9,44
1608867,1.5746522612765188,5,18
1867951,1.5743403526411228,3,34
79851,1.5530442325294906,7,33
2284130,1.5529361620969542,3,44
4156,1.5401287843124538,3,21
3013074,1.5131720955071142,3,33
1440054,1.4898140295336697,6,20
1971100,1.4894024025567434,7,41
1415412,1.4804116195556212,10,42
2625741,1.4787284906267955,6,22
2633945,1.4725887475401778,3,56
1094771,1.461637159049165,5,22
1510013,1.4516655252544948,3,100
12363,1.4416958116008733,4,45
56969,1.4293256053180854,7,37
2403364,1.4224869796972117,5,23
53521,1.4116292186991355,5,37
1017,1.4103110272907031,3,19
59842,1.4070501730586449,3,37
2963495,1.405319030588795,6,42
11659,1.3992958580582822,4,19
679382,1.3958688662921663,3,33
967444,1.3818101622835797,5,18
560077,1.377191421011787,3,70
73466,1.3736702098158327,7,47
4704858,1.3713221270913227,10,61
574,1.370555667194954,9,101
872698,1.3641515896336358,3,31
27090,1.351120392140818,3,82
226325,1.3447034236072528,3,43
139953,1.3388341946751001,6,30
32570,1.337073628865033,5,49
345829,1.331845113418082,5,30
1,1.3308696734396737,4,69
41025,1.3142643203993485,3,160
2876755,1.296511277507956,3,35
490022,1.2922092680334691,7,46
749302,1.283357202612811,4,38
2370398,1.278747367835377,6,23
2724575,1.271132685856463,4,19
4231166,1.267872631359157,3,30
1613010,1.2676198202038875,3,29
2535188,1.254424500188168,5,51
2996490,1.2519800397297645,6,44
2053500,1.2455920792670727,4,49
3848343,1.244555908802743,8,18
2810899,1.243191895281096,9,124
2996531,1.2375156601990966,3,60
395439,1.2368823729558855,4,73
2506320,1.227595696702617,7,54
1843266,1.2257105806118083,7,19
29762,1.2209340410724543,4,98
819199,1.220349664207259,4,28
3498634,1.1981987463118042,5,58
31652,1.1931164337785267,8,35
3087177,1.1923072211926713,4,27
51484,1.1905051875488402,6,100
80809,1.1751606314457397,4,48
61717,1.170704202340778,3,41
2304650,1.157843049702087,8,67
3161051,1.1564850565878109,7,58
1575754,1.1508800204664111,3,21
43038,1.1487101335775638,3,26
2259399,1.1411683851744936,3,27
1370159,1.1389478238486166,3,25
695799,1.1301416176313397,4,37
5440,1.1212758681232187,4,81
2592746,1.1128812158014805,3,39
54415,1.1112565922114954,3,88
1349590,1.1001791292806007,3,40
2621554,1.0344547443374295,3,50
90767,1.0182185360786788,4,65
4540025,1.0166688045268224,4,24
41284,1.0001815543171182,9,17
366512,0.9965877617301737,3,42
2432156,0.9961501675922677,3,32
14574,0.9937764147865099,5,31
12968,0.9556217645269736,3,26
465266,0.9551295801472497,6,98
39409,0.9531086683985751,3,64
1008536,0.9523660535015795,11,19
119308,0.931287784927973,5,89
9553,0.929134656364226,3,26
44999,0.8937364132045899,3,98
74734,0.8920727359707061,3,217
77782,0.8746308960013901,4,53
