user_id,mmd2,n_W1,n_W2
867077,1.0721864250658186,61,19
249016,1.017704554338159,52,14
652230,0.986734679397335,56,10
765978,0.9826066992921644,73,7
763784,0.9680390568314364,50,17
200213,0.9465326776839159,56,10
204735,0.9448179668678579,62,9
849773,0.9328289000233109,60,10
943897,0.9300366948573722,56,17
317576,0.8992744431774449,54,15
826404,0.8939448034415055,63,14
229266,0.8699874771125207,69,13
87370,0.7959831021523969,60,15
311637,0.7912090160933901,48,32
9644,0.7905534300116257,52,14
66458,0.7902478584918888,58,27
688038,0.774519379989399,56,19
697333,0.7739062333280854,62,13
993860,0.7452260593191818,31,35
533709,0.7218388271561681,50,17
919494,0.7203006440417619,57,17
652103,0.7034940723229588,17,49
559142,0.6978633849138327,58,17
812460,0.6926371832252713,72,10
17654,0.6859030331674116,39,32
849770,0.674095233551844,64,21
679995,0.6338225738233564,37,33
15329,0.6253563650849412,51,21
881017,0.6170073334177428,52,18
770627,0.6086350286989223,35,35
29273,0.6050015828617289,50,35
94346,0.5942646207884195,43,28
542874,0.5860217946839168,2,70
477802,0.5747843776050366,34,36
89825,0.5737052952126558,45,21
477933,0.5500263137307392,49,29
840350,0.5495091673302881,34,45
623185,0.5494870420978145,47,31
823047,0.5470673470072324,50,29
150247,0.5455627409073088,40,26
634672,0.5433919975064812,36,30
882183,0.5408771336875123,12,58
710203,0.5341165391747656,40,27
971783,0.5318578484363249,44,26
223,0.530385846706389,42,31
388459,0.5277062211988296,43,28
642935,0.5215097925106895,38,31
991539,0.51945838412878,6,64
344176,0.518412200273284,49,19
639233,0.5150330713628185,34,36
415057,0.5140374322639305,35,34
930987,0.5075329662699706,4,70
716141,0.5042052028443403,28,43
965843,0.5031636213803281,8,68
165354,0.5006353935843628,44,28
682227,0.5002937244295632,40,30
312931,0.49723855824610497,44,32
466095,0.4961045701466724,3,69
715926,0.49559990639618867,41,26
770539,0.4879535557930257,29,45
180458,0.4841050820696785,21,49
257023,0.48304669107738674,33,39
536033,0.48206524648947824,41,25
472123,0.47928043943048904,34,37
780054,0.4781561890897581,2,76
83887,0.47534959190324777,4,70
52513,0.47511489308803345,44,26
602140,0.4739069060230007,33,35
665959,0.4696224533820914,14,62
233785,0.4660045940904135,38,29
941444,0.4637012749834569,33,36
501172,0.4594133531889224,13,76
670699,0.45762227194409333,37,30
587161,0.4538710522999463,4,64
319900,0.4502221507029568,5,65
68911,0.4459063407313373,32,49
313961,0.4441128816347839,24,42
15457,0.4429999174654333,8,76
631189,0.44245245095485664,36,30
37408,0.44196610954882587,20,47
230299,0.44147947836300516,41,30
663850,0.44077237446869355,44,37
193244,0.4403024533824552,28,38
465022,0.4389329000008282,40,39
62972,0.4380836150707429,34,37
445268,0.43804503680789786,39,27
54835,0.43731299794684075,30,38
253450,0.4358613764999336,33,37
53802,0.43373978993765094,26,45
986671,0.43079207802760844,43,31
427840,0.4301807793770792,31,42
110613,0.4292089507546588,3,75
229135,0.42487710913044296,44,32
