channel,removal_effect,base_rate,rate_wo,markov_share
11170952,0.03649999999999998,0.304,0.2675,0.058074781225139156
7866080,0.02749999999999997,0.304,0.2765,0.04375497215592674
6579456,0.026499999999999968,0.304,0.2775,0.042163882259347585
10378285,0.023499999999999965,0.304,0.2805,0.03739061256961011
4958691,0.023499999999999965,0.304,0.2805,0.03739061256961011
7109103,0.02250000000000002,0.304,0.2815,0.03579952267303104
11471904,0.02200000000000002,0.304,0.282,0.03500397772474146
3357596,0.02150000000000002,0.304,0.2825,0.034208432776451886
7304106,0.02100000000000002,0.304,0.283,0.033412887828162305
4321439,0.020000000000000018,0.304,0.284,0.03182179793158315
12980325,0.020000000000000018,0.304,0.284,0.03182179793158315
4638621,0.019500000000000017,0.304,0.2845,0.03102625298329357
6019172,0.018000000000000016,0.304,0.286,0.028639618138424833
2910249,0.018000000000000016,0.304,0.286,0.028639618138424833
5373544,0.017500000000000016,0.304,0.2865,0.027844073190135255
3546949,0.016500000000000015,0.304,0.2875,0.026252983293556097
5673234,0.015500000000000014,0.304,0.2885,0.02466189339697694
11474131,0.014000000000000012,0.304,0.29,0.022275258552108206
4448266,0.013500000000000012,0.304,0.2905,0.021479713603818625
6881755,0.013000000000000012,0.304,0.291,0.020684168655529047
6173919,0.012500000000000011,0.304,0.2915,0.01988862370723947
6847359,0.012500000000000011,0.304,0.2915,0.01988862370723947
8500991,0.01200000000000001,0.304,0.292,0.01909307875894989
8906013,0.01200000000000001,0.304,0.292,0.01909307875894989
6516899,0.01150000000000001,0.304,0.2925,0.01829753381066031
5509662,0.01150000000000001,0.304,0.2925,0.01829753381066031
9090463,0.01050000000000001,0.304,0.2935,0.016706443914081152
230245,0.009500000000000008,0.304,0.2945,0.015115354017501996
1279873,0.009500000000000008,0.304,0.2945,0.015115354017501996
9091091,0.009000000000000008,0.304,0.295,0.014319809069212416
10498595,0.009000000000000008,0.304,0.295,0.014319809069212416
13340556,0.008500000000000008,0.304,0.2955,0.013524264120922839
15526206,0.008500000000000008,0.304,0.2955,0.013524264120922839
8510790,0.008500000000000008,0.304,0.2955,0.013524264120922839
10967936,0.007500000000000007,0.304,0.2965,0.01193317422434368
12841036,0.007500000000000007,0.304,0.2965,0.01193317422434368
3735275,0.007000000000000006,0.304,0.297,0.011137629276054103
4782075,0.006500000000000006,0.304,0.2975,0.010342084327764524
9773433,0.005500000000000005,0.304,0.2985,0.008750994431185365
4953201,0.0050000000000000044,0.304,0.299,0.007955449482895787
15838199,0.004500000000000004,0.304,0.2995,0.007159904534606208
7279489,0.004500000000000004,0.304,0.2995,0.007159904534606208
8733496,0.003500000000000003,0.304,0.3005,0.005568814638027051
2538159,0.003500000000000003,0.304,0.3005,0.005568814638027051
5082634,0.0030000000000000027,0.304,0.301,0.004773269689737472
3577524,0.0030000000000000027,0.304,0.301,0.004773269689737472
6112463,0.0025000000000000022,0.304,0.3015,0.003977724741447894
10103157,0.0020000000000000018,0.304,0.302,0.003182179793158315
5639832,0.0020000000000000018,0.304,0.302,0.003182179793158315
15606470,0.0020000000000000018,0.304,0.302,0.003182179793158315
2986377,0.0020000000000000018,0.304,0.302,0.003182179793158315
11959711,0.0010000000000000009,0.304,0.303,0.0015910898965791574
10567212,0.0010000000000000009,0.304,0.303,0.0015910898965791574
13880554,0.0,0.304,0.311,0.0
6687926,0.0,0.304,0.31,0.0
14865351,0.0,0.304,0.308,0.0
3280289,0.0,0.304,0.304,0.0
6683141,0.0,0.304,0.327,0.0
1334601,0.0,0.304,0.3075,0.0
7141721,0.0,0.304,0.3335,0.0
14460452,0.0,0.304,0.306,0.0
4534696,0.0,0.304,0.3225,0.0
3817023,0.0,0.304,0.313,0.0
13480991,0.0,0.304,0.3075,0.0
13139020,0.0,0.304,0.3045,0.0
9626548,0.0,0.304,0.314,0.0
12377375,0.0,0.304,0.3155,0.0
14285850,0.0,0.304,0.308,0.0
8659768,0.0,0.304,0.317,0.0
6961480,0.0,0.304,0.3055,0.0
2768627,0.0,0.304,0.3175,0.0
2584636,0.0,0.304,0.3055,0.0
6297260,0.0,0.304,0.306,0.0
6037141,0.0,0.304,0.319,0.0
2992128,0.0,0.304,0.3155,0.0
1948393,0.0,0.304,0.307,0.0
6929332,0.0,0.304,0.313,0.0
1473875,0.0,0.304,0.3255,0.0
3509000,0.0,0.304,0.308,0.0
5655494,0.0,0.304,0.3085,0.0
