merchant_id,score,n_leaf,rank,dissolve_how,score_col,selected
2810899,23296.82345739328,608,1,sum,shift_l2,1
226288,20254.149165172108,557,2,sum,shift_l2,1
119308,16299.512729382446,502,3,sum,shift_l2,1
574,14634.610360945018,478,4,sum,shift_l2,1
54415,10987.642615647992,383,5,sum,shift_l2,1
4704858,9824.91124005906,350,6,sum,shift_l2,1
2304650,9689.645778796066,387,7,sum,shift_l2,1
490022,8467.789366292645,322,8,sum,shift_l2,1
3498634,7964.90773890955,321,9,sum,shift_l2,1
2996531,7811.284914691038,303,10,sum,shift_l2,1
2506320,6917.158884693849,292,11,sum,shift_l2,1
2535188,6740.903857450993,270,12,sum,shift_l2,1
53521,5020.469704287416,222,13,sum,shift_l2,1
2996490,4778.69942584104,220,14,sum,shift_l2,1
1538694,4738.236791741018,214,15,sum,shift_l2,1
3885368,4435.102269808065,180,16,sum,shift_l2,1
1415412,3652.0620265895577,185,17,sum,shift_l2,1
366512,3617.471368118223,192,18,sum,shift_l2,1
498321,3607.105438395013,177,19,sum,shift_l2,1
230418,3545.561171503112,188,20,sum,shift_l2,1
3576787,3514.491350357583,194,21,sum,shift_l2,1
3087177,3350.4756397396977,169,22,sum,shift_l2,1
403683,3154.783858787642,173,23,sum,shift_l2,1
872698,2957.743198376304,147,24,sum,shift_l2,1
1613010,2882.1147085520442,144,25,sum,shift_l2,1
79851,2800.675065170801,150,26,sum,shift_l2,1
1435913,2758.6078239869553,134,27,sum,shift_l2,1
2259399,2595.968809569103,147,28,sum,shift_l2,1
4239403,2543.356884082971,150,29,sum,shift_l2,1
2189611,2278.47704388511,117,30,sum,shift_l2,1
1863797,2268.660136738334,116,31,sum,shift_l2,0
2370398,2238.3907454891632,120,32,sum,shift_l2,0
3848343,2232.973911869603,109,33,sum,shift_l2,0
3757633,2214.796370880348,122,34,sum,shift_l2,0
3383159,2163.2564802305537,104,35,sum,shift_l2,0
2724575,2062.2559445603815,114,36,sum,shift_l2,0
1440054,1979.5233393307826,122,37,sum,shift_l2,0
967444,1878.024354103722,96,38,sum,shift_l2,0
3383174,1761.2642463187244,103,39,sum,shift_l2,0
2708068,1698.2171707372615,91,40,sum,shift_l2,0
