user_id,score,n_leaf,rank,dissolve_how,score_col,selected
995171,394.22141101991326,2,1,sum,shift_l2,1
677651,394.15704478899585,2,2,sum,shift_l2,1
244153,384.3544693226535,1,3,sum,shift_l2,1
659353,381.32813404985484,1,4,sum,shift_l2,1
15242,376.9008602096006,1,5,sum,shift_l2,1
829018,366.8748464631695,1,6,sum,shift_l2,1
533492,363.7939104186774,1,7,sum,shift_l2,1
377967,362.4897458251364,1,8,sum,shift_l2,1
498375,215.79080672856702,2,9,sum,shift_l2,1
436263,212.66791765000391,2,10,sum,shift_l2,1
652352,210.49915743542255,4,11,sum,shift_l2,1
413897,204.8732662549518,1,12,sum,shift_l2,1
945217,204.66871129712314,5,13,sum,shift_l2,1
286057,204.12789868501787,2,14,sum,shift_l2,1
95491,195.60839352927763,1,15,sum,shift_l2,1
615722,189.82220107789982,1,16,sum,shift_l2,1
5675,189.67175533201763,5,17,sum,shift_l2,1
398700,188.1196045442627,1,18,sum,shift_l2,1
644100,182.75424495973027,5,19,sum,shift_l2,1
925158,180.49019148530292,1,20,sum,shift_l2,1
164355,179.14985359804635,1,21,sum,shift_l2,1
247730,177.08146470697682,1,22,sum,shift_l2,1
439552,170.7436134723377,4,23,sum,shift_l2,1
601777,167.2677558553931,5,24,sum,shift_l2,1
500173,165.70198709443207,6,25,sum,shift_l2,1
270628,159.58406527491377,2,26,sum,shift_l2,1
250341,156.2782185800986,4,27,sum,shift_l2,1
937073,152.52319758270406,2,28,sum,shift_l2,1
2675,151.91016285567,2,29,sum,shift_l2,1
1676,146.6353580405713,5,30,sum,shift_l2,1
611725,146.13021476825784,6,31,sum,shift_l2,1
152531,144.69004764457344,4,32,sum,shift_l2,1
296809,143.850967370895,5,33,sum,shift_l2,1
863245,143.67584104879413,3,34,sum,shift_l2,1
668371,136.80919809251517,4,35,sum,shift_l2,1
154853,136.38513889871479,1,36,sum,shift_l2,1
15618,136.37829805895927,1,37,sum,shift_l2,1
248548,135.26669835839562,3,38,sum,shift_l2,1
775277,133.87883633050592,4,39,sum,shift_l2,1
460376,133.68587076487185,1,40,sum,shift_l2,1
895091,133.29724512918744,4,41,sum,shift_l2,1
42333,133.19970903835778,5,42,sum,shift_l2,1
570849,132.30296042659245,3,43,sum,shift_l2,1
732194,130.66511201390122,2,44,sum,shift_l2,1
38846,126.7773784665543,5,45,sum,shift_l2,1
629155,125.18925281419311,4,46,sum,shift_l2,1
318,125.10921947970165,3,47,sum,shift_l2,1
499236,124.66544871013465,5,48,sum,shift_l2,1
897379,123.30856273389352,4,49,sum,shift_l2,1
520924,123.15227562282465,1,50,sum,shift_l2,1
828824,122.15714098367971,4,51,sum,shift_l2,0
9429,122.01621216955101,1,52,sum,shift_l2,0
860350,121.21475884800299,4,53,sum,shift_l2,0
463516,121.05137704794359,3,54,sum,shift_l2,0
944569,121.0093513549801,1,55,sum,shift_l2,0
935290,120.53603868795756,6,56,sum,shift_l2,0
499794,120.44067416800696,1,57,sum,shift_l2,0
580187,119.9387342293136,3,58,sum,shift_l2,0
987010,119.91308500210125,1,59,sum,shift_l2,0
114188,119.46622397585526,4,60,sum,shift_l2,0
34010,119.17921796465829,2,61,sum,shift_l2,0
558501,119.06465813868441,2,62,sum,shift_l2,0
219931,118.9380261282758,4,63,sum,shift_l2,0
363015,118.31287066940467,1,64,sum,shift_l2,0
944909,117.63460954588987,2,65,sum,shift_l2,0
702318,114.94447104677769,5,66,sum,shift_l2,0
627952,113.58347268074498,3,67,sum,shift_l2,0
368665,112.806135255536,3,68,sum,shift_l2,0
168989,112.79820147829963,1,69,sum,shift_l2,0
80678,112.26543409917377,6,70,sum,shift_l2,0
913552,112.00292659714239,4,71,sum,shift_l2,0
643972,112.001665744114,4,72,sum,shift_l2,0
210529,111.92578622003967,6,73,sum,shift_l2,0
334537,111.08867880854555,2,74,sum,shift_l2,0
53964,110.6678219607829,1,75,sum,shift_l2,0
563449,110.62844172175444,3,76,sum,shift_l2,0
484416,110.5846385725647,4,77,sum,shift_l2,0
786982,110.39494620373225,2,78,sum,shift_l2,0
908887,110.0937123506609,3,79,sum,shift_l2,0
11933,109.943157527549,3,80,sum,shift_l2,0
222964,109.9045802673723,3,81,sum,shift_l2,0
622021,109.31439615741456,5,82,sum,shift_l2,0
532505,108.97648699515555,4,83,sum,shift_l2,0
706995,108.16580099556732,4,84,sum,shift_l2,0
55127,107.90375935791528,3,85,sum,shift_l2,0
827695,107.73484316116803,3,86,sum,shift_l2,0
401025,107.07358541561487,6,87,sum,shift_l2,0
87460,106.77763639119841,3,88,sum,shift_l2,0
264799,106.58956546633172,4,89,sum,shift_l2,0
879496,106.5392262540051,1,90,sum,shift_l2,0
854380,106.51625880757938,6,91,sum,shift_l2,0
541352,106.34466188822068,3,92,sum,shift_l2,0
166029,106.14632283330985,3,93,sum,shift_l2,0
837110,105.78925890135031,7,94,sum,shift_l2,0
692866,104.74418714989007,1,95,sum,shift_l2,0
288038,104.11252488476418,5,96,sum,shift_l2,0
144310,104.10338207494213,4,97,sum,shift_l2,0
647371,103.74901212729145,5,98,sum,shift_l2,0
454222,103.51351065932084,3,99,sum,shift_l2,0
58601,103.45499559558093,3,100,sum,shift_l2,0
196238,103.24874600828738,4,101,sum,shift_l2,0
628959,103.23322264985971,3,102,sum,shift_l2,0
946911,103.13983514527963,3,103,sum,shift_l2,0
255517,102.88796047576025,4,104,sum,shift_l2,0
740934,102.8383876121492,4,105,sum,shift_l2,0
320935,102.12995088782486,3,106,sum,shift_l2,0
838316,101.9377198631913,3,107,sum,shift_l2,0
599941,101.86062295949111,4,108,sum,shift_l2,0
888238,101.41096954399033,3,109,sum,shift_l2,0
803443,101.08260145268653,3,110,sum,shift_l2,0
429800,100.4891057122103,2,111,sum,shift_l2,0
469672,100.4736216657861,1,112,sum,shift_l2,0
520796,100.37865407526307,6,113,sum,shift_l2,0
40805,100.11236216172435,3,114,sum,shift_l2,0
370541,99.9121743053198,2,115,sum,shift_l2,0
677945,99.81668129822478,3,116,sum,shift_l2,0
813711,99.26945508137152,3,117,sum,shift_l2,0
279904,98.00681662637434,3,118,sum,shift_l2,0
7709,97.8014252602592,4,119,sum,shift_l2,0
834626,97.6411075776307,4,120,sum,shift_l2,0
918292,97.59731968723653,3,121,sum,shift_l2,0
355436,97.06753460684212,4,122,sum,shift_l2,0
774916,96.95797686889523,4,123,sum,shift_l2,0
598942,96.77335973348787,3,124,sum,shift_l2,0
236107,96.73746461463601,3,125,sum,shift_l2,0
752318,96.69777661983709,3,126,sum,shift_l2,0
569894,96.51133165818452,3,127,sum,shift_l2,0
882183,96.40292668717426,3,128,sum,shift_l2,0
404689,96.14946792459793,4,129,sum,shift_l2,0
34996,95.98208746989123,3,130,sum,shift_l2,0
870651,95.84336360973622,2,131,sum,shift_l2,0
772308,95.84070595856454,5,132,sum,shift_l2,0
927790,95.54460879968352,3,133,sum,shift_l2,0
20777,95.5429460602463,5,134,sum,shift_l2,0
777513,95.5059427568801,3,135,sum,shift_l2,0
155019,95.44338751283777,3,136,sum,shift_l2,0
723277,95.3951480699851,4,137,sum,shift_l2,0
147438,95.25821196415833,4,138,sum,shift_l2,0
694741,95.2193235931406,3,139,sum,shift_l2,0
172328,95.18715095292768,3,140,sum,shift_l2,0
168351,94.77788800417683,3,141,sum,shift_l2,0
302436,94.73749301028049,3,142,sum,shift_l2,0
284998,94.70771712155442,3,143,sum,shift_l2,0
8638,94.50078914759482,4,144,sum,shift_l2,0
24717,94.38736269273838,4,145,sum,shift_l2,0
373209,93.85825967313419,3,146,sum,shift_l2,0
941959,93.73760683767406,2,147,sum,shift_l2,0
636981,93.31101448011302,3,148,sum,shift_l2,0
213117,93.25569761205065,4,149,sum,shift_l2,0
364019,93.17402190002974,4,150,sum,shift_l2,0
655871,92.8586642939733,2,151,sum,shift_l2,0
261653,92.76318839442166,3,152,sum,shift_l2,0
74230,92.58375979848748,3,153,sum,shift_l2,0
955479,92.52771187257491,3,154,sum,shift_l2,0
145110,92.39829162076695,5,155,sum,shift_l2,0
834193,92.25903944336588,3,156,sum,shift_l2,0
996187,92.07796541227097,2,157,sum,shift_l2,0
893439,91.80233387409407,3,158,sum,shift_l2,0
533564,91.60364052050662,6,159,sum,shift_l2,0
761458,91.34721728301702,3,160,sum,shift_l2,0
666870,91.17003903626497,4,161,sum,shift_l2,0
214013,91.15193122732954,3,162,sum,shift_l2,0
453057,91.06623793184585,2,163,sum,shift_l2,0
547167,90.90599597732691,3,164,sum,shift_l2,0
323384,90.9031613928432,3,165,sum,shift_l2,0
73088,90.89023870856457,3,166,sum,shift_l2,0
901934,90.6394691703123,3,167,sum,shift_l2,0
89788,90.38422560250308,3,168,sum,shift_l2,0
974498,90.35074300831491,3,169,sum,shift_l2,0
735123,90.16871574018701,3,170,sum,shift_l2,0
979786,90.15331663182457,3,171,sum,shift_l2,0
568530,89.37676201340345,3,172,sum,shift_l2,0
139954,89.19065149639005,1,173,sum,shift_l2,0
392106,89.16761631603835,1,174,sum,shift_l2,0
924141,88.88772187186188,3,175,sum,shift_l2,0
568571,88.79341842411036,1,176,sum,shift_l2,0
149048,88.70169357765057,3,177,sum,shift_l2,0
144558,88.6450131700988,3,178,sum,shift_l2,0
749371,88.43917462523238,1,179,sum,shift_l2,0
181150,88.16824612916443,3,180,sum,shift_l2,0
122363,87.72428909812417,3,181,sum,shift_l2,0
724062,87.69707570280153,2,182,sum,shift_l2,0
628990,87.66205332521554,4,183,sum,shift_l2,0
983360,87.59579564644808,3,184,sum,shift_l2,0
301162,87.57194415000627,3,185,sum,shift_l2,0
326993,87.55934370152168,3,186,sum,shift_l2,0
502457,87.50049547736832,1,187,sum,shift_l2,0
751000,87.21218786297555,3,188,sum,shift_l2,0
184100,86.65563011104949,2,189,sum,shift_l2,0
945448,85.98583247810615,3,190,sum,shift_l2,0
208735,85.9649580977506,3,191,sum,shift_l2,0
734732,85.83951888594433,3,192,sum,shift_l2,0
885755,85.79828398018003,3,193,sum,shift_l2,0
478094,85.70373811130432,3,194,sum,shift_l2,0
755161,85.61458158388785,4,195,sum,shift_l2,0
853645,85.5850257454993,2,196,sum,shift_l2,0
310758,85.46088702724155,3,197,sum,shift_l2,0
209024,85.19057023115448,3,198,sum,shift_l2,0
317105,85.00656182317928,3,199,sum,shift_l2,0
154406,84.8616388895433,1,200,sum,shift_l2,0
719749,84.60066751246237,3,201,sum,shift_l2,0
376838,84.45513233654103,4,202,sum,shift_l2,0
1000345,84.43915866145258,3,203,sum,shift_l2,0
901289,84.10849499378216,2,204,sum,shift_l2,0
216602,84.06285430424418,4,205,sum,shift_l2,0
946367,83.93431992362076,3,206,sum,shift_l2,0
874867,83.91470815269338,2,207,sum,shift_l2,0
721823,83.86701054374535,4,208,sum,shift_l2,0
602657,83.68445527476436,3,209,sum,shift_l2,0
623040,83.63063371099415,3,210,sum,shift_l2,0
499796,83.18326248924333,3,211,sum,shift_l2,0
64221,82.96474663913853,4,212,sum,shift_l2,0
353566,82.92648912277821,3,213,sum,shift_l2,0
829529,82.78098453659564,3,214,sum,shift_l2,0
489715,82.70698690178284,3,215,sum,shift_l2,0
268774,82.67662373229946,3,216,sum,shift_l2,0
87030,82.6536020140448,3,217,sum,shift_l2,0
71381,82.21504822689246,3,218,sum,shift_l2,0
153887,82.0823647167366,2,219,sum,shift_l2,0
282588,81.96726311800577,3,220,sum,shift_l2,0
297942,81.7686199130582,5,221,sum,shift_l2,0
598637,81.67717714846879,4,222,sum,shift_l2,0
236928,81.59708816478536,4,223,sum,shift_l2,0
472285,81.42198228410368,2,224,sum,shift_l2,0
102573,81.39079105275476,3,225,sum,shift_l2,0
990537,81.31843478044316,5,226,sum,shift_l2,0
253819,81.1489141413607,3,227,sum,shift_l2,0
33008,81.11537868634804,2,228,sum,shift_l2,0
824880,80.8546957741976,2,229,sum,shift_l2,0
363045,80.77771095795552,3,230,sum,shift_l2,0
326874,80.77115022460748,3,231,sum,shift_l2,0
609913,80.47183865080484,5,232,sum,shift_l2,0
603427,80.41911526125968,3,233,sum,shift_l2,0
824167,80.2567220728834,3,234,sum,shift_l2,0
557897,80.06850981411118,3,235,sum,shift_l2,0
953149,80.05508048235632,2,236,sum,shift_l2,0
938083,80.00244081984165,3,237,sum,shift_l2,0
275618,79.90910110261174,2,238,sum,shift_l2,0
