user_id,score,n_leaf,rank,dissolve_how,score_col,selected
209473,8.844433191691886e-05,3,1,sum,tau2,1
42333,8.039531589685427e-05,5,2,sum,tau2,1
677651,7.7715073173273e-05,2,3,sum,tau2,1
377967,7.574161693461883e-05,1,4,sum,tau2,1
840347,7.56286807074683e-05,1,5,sum,tau2,1
251310,7.496872146925855e-05,1,6,sum,tau2,1
288680,7.358623374658564e-05,1,7,sum,tau2,1
164355,7.221995673441357e-05,1,8,sum,tau2,1
138499,7.210625489865167e-05,1,9,sum,tau2,1
112936,7.19650171280305e-05,2,10,sum,tau2,1
462613,7.133502568011843e-05,1,11,sum,tau2,1
247730,7.129295533010475e-05,1,12,sum,tau2,1
974063,7.074219870339283e-05,1,13,sum,tau2,1
590606,7.062827443861218e-05,1,14,sum,tau2,1
635752,7.02321012516663e-05,2,15,sum,tau2,1
83014,7.008972002972952e-05,1,16,sum,tau2,1
131619,7.002771684164302e-05,3,17,sum,tau2,1
270628,6.972661531252946e-05,2,18,sum,tau2,1
233910,6.966758951390538e-05,1,19,sum,tau2,1
168989,6.932051967439563e-05,1,20,sum,tau2,1
29401,6.794272958434797e-05,1,21,sum,tau2,1
26034,6.785113314719189e-05,1,22,sum,tau2,1
181495,6.757310421142654e-05,1,23,sum,tau2,1
132675,6.70242604616689e-05,1,24,sum,tau2,1
541991,6.679821867804097e-05,1,25,sum,tau2,1
977742,6.677082943853568e-05,1,26,sum,tau2,1
178812,6.64439290425421e-05,1,27,sum,tau2,1
660151,6.55161962496312e-05,1,28,sum,tau2,1
533492,6.471491435849826e-05,1,29,sum,tau2,1
601256,6.467923985105458e-05,3,30,sum,tau2,1
925992,6.337484715732455e-05,1,31,sum,tau2,1
9812,6.213467310418782e-05,2,32,sum,tau2,1
107108,6.141438554313463e-05,3,33,sum,tau2,1
788351,6.118649334154708e-05,3,34,sum,tau2,1
101832,6.034262108305285e-05,2,35,sum,tau2,1
569259,6.015217523398517e-05,1,36,sum,tau2,1
24913,5.955645317716168e-05,2,37,sum,tau2,1
457181,5.880172722811876e-05,1,38,sum,tau2,1
936793,5.82923560324899e-05,1,39,sum,tau2,1
156024,5.786101394479916e-05,1,40,sum,tau2,1
806648,5.741881461139602e-05,2,41,sum,tau2,1
790477,5.736635953888178e-05,1,42,sum,tau2,1
736018,5.685845685211051e-05,3,43,sum,tau2,1
841511,5.68556755357872e-05,1,44,sum,tau2,1
700265,5.684746007227145e-05,1,45,sum,tau2,1
897379,5.6630641795767306e-05,4,46,sum,tau2,1
508108,5.6356648631440145e-05,1,47,sum,tau2,1
47777,5.589229919454815e-05,1,48,sum,tau2,1
447593,5.502209704475997e-05,2,49,sum,tau2,1
76896,5.4958921659950634e-05,1,50,sum,tau2,1
462793,5.4927122263348125e-05,2,51,sum,tau2,0
473250,5.492535622132802e-05,1,52,sum,tau2,0
905701,5.4676251311532446e-05,1,53,sum,tau2,0
108581,5.4676251311532446e-05,1,54,sum,tau2,0
355776,5.435264170600787e-05,2,55,sum,tau2,0
925158,5.4262591665203576e-05,1,56,sum,tau2,0
829018,5.286465966241282e-05,1,57,sum,tau2,0
917128,5.244358996700778e-05,1,58,sum,tau2,0
22303,5.1690246746561715e-05,1,59,sum,tau2,0
891116,5.113729943827671e-05,3,60,sum,tau2,0
971292,5.094248150273068e-05,2,61,sum,tau2,0
482579,5.085596095665481e-05,1,62,sum,tau2,0
685458,5.062763665661816e-05,2,63,sum,tau2,0
870651,5.029114539831898e-05,2,64,sum,tau2,0
168370,5.021613754517596e-05,1,65,sum,tau2,0
520440,4.985963262223228e-05,2,66,sum,tau2,0
625667,4.899881669696932e-05,2,67,sum,tau2,0
150215,4.8648633196880466e-05,1,68,sum,tau2,0
302436,4.864399110508099e-05,3,69,sum,tau2,0
774918,4.816117997770947e-05,1,70,sum,tau2,0
771883,4.806445610189956e-05,1,71,sum,tau2,0
680794,4.801470116490742e-05,1,72,sum,tau2,0
477160,4.773281149911462e-05,1,73,sum,tau2,0
