merchant_id,n_W1,n_W2,mmd2,rank,selected
2810899,38,608,1.5893913935597535,1,0
119308,21,502,1.5450502046210237,2,0
574,41,478,1.5374600283469344,3,0
54415,19,383,1.4918187790849082,4,0
2996531,10,303,1.4132451744483125,5,0
2304650,36,387,1.4088533031200026,6,0
2535188,25,270,1.2860434813673265,7,0
490022,41,322,1.2555116395205534,8,0
366512,12,192,1.2436406667540538,9,0
2506320,39,292,1.231990967124083,10,0
3498634,20,321,1.2280353485084687,11,0
2996490,25,220,1.2258327093774444,12,0
226288,162,557,1.209946700341844,13,0
230418,15,188,1.1812901816269323,14,0
1863797,9,116,1.1367447597576334,15,0
403683,12,173,1.1232550644644332,16,0
255173,52,4,1.081708857655685,17,0
1613010,17,144,1.0642899685357454,18,0
872698,18,147,1.0609286256523336,19,0
1538694,22,214,1.0582574349332095,20,0
3848343,27,109,0.993287941893291,21,0
498321,37,177,0.9719792921657732,22,0
1435913,10,134,0.9700005469507574,23,0
967444,22,96,0.9634919257035804,24,0
1415412,48,185,0.9498474709841043,25,0
3576787,26,194,0.9243695279523779,26,0
3885368,93,180,0.9217689315653714,27,0
4647166,19,58,0.9128655290848273,28,0
4704861,10,81,0.9018497464207473,29,0
3087177,22,169,0.9011708452758067,30,0
4704858,33,350,0.8789102422764956,31,0
79851,46,150,0.8757677437932833,32,0
4140599,10,66,0.853405044942991,33,0
3383159,76,104,0.83834424494965,34,0
1608867,32,98,0.8375099692130243,35,0
2708068,26,91,0.8360649038966096,36,0
2259399,27,147,0.829582897511479,37,0
1440054,33,122,0.8258047216428266,38,0
3757633,47,122,0.8229145598210872,39,0
2370398,50,120,0.8226420555550807,40,0
4663721,25,53,0.8156906441133066,41,0
2189611,27,117,0.8137952807968584,42,0
2210112,39,33,0.8130525651079424,43,0
4680184,23,85,0.8098286657583167,44,0
53533,50,6,0.809555262555172,45,0
2543388,12,75,0.7961947763051793,46,0
2724575,26,114,0.786802097514635,47,0
741089,38,76,0.7689869162289713,48,0
12894,139,50,0.7492904786741543,49,0
53521,22,222,0.747266282294668,50,0
2938817,22,48,0.7424051017232914,51,0
3383174,19,103,0.7268640539995105,52,0
4379422,24,56,0.7248406096295387,53,0
2292349,14,66,0.7131233829532135,54,0
41284,44,72,0.7091452728549678,55,0
74083,12,79,0.7079005846218074,56,0
4083005,25,58,0.7058106497449196,57,0
1843266,29,88,0.7036167075669477,58,0
1053625,29,74,0.703419106053391,59,0
815094,48,65,0.7025107961710025,60,0
59672,19,49,0.6722755857601032,61,0
354058,46,39,0.6614547695637776,62,0
3782465,27,29,0.6594701661346196,63,0
572389,22,47,0.6499983440171363,64,0
403698,50,17,0.6434131356166357,65,0
1534,26,47,0.6429405608734058,66,0
4210635,68,38,0.6403144586689968,67,0
2485705,28,70,0.6370466127911704,68,0
992150,14,44,0.6364728665727575,69,0
1575787,16,42,0.6231454341295263,70,0
1008536,77,91,0.6203334264377501,71,0
3144740,15,39,0.6201347812461787,72,0
12629,17,46,0.6103030089948064,73,0
3161059,14,44,0.5823488723019442,74,0
2633996,17,40,0.5585406320011713,75,0
469386,32,29,0.5542869623418055,76,0
597124,12,41,0.5474262189365402,77,0
2514601,32,35,0.5473055822026599,78,0
4255891,24,37,0.544168331384899,79,0
1238707,34,25,0.5398874966093723,80,0
