feature,score,rank,selected
e_log1p_exp,89.78540948525979,1,0
e_n_exp,78.54756169037589,2,1
i_log1p_n_exp,0.874024770471903,3,0
u_n_uniq_items,0.6145880617896438,4,0
i_share_first,0.47457303275343704,5,1
i_credit_first,0.4745730327534368,6,0
i_n_exp,0.32478155454198016,7,0
u_span_sec,0.3082400374837106,8,1
u_n_exp,0.2955062582824008,9,1
i_log1p_n_covisit,0.2585843896144009,10,0
u_n_events,0.24386567367805684,11,0
i_log1p_n_users,0.17034407142819552,12,1
u_log1p_n_uniq,0.1592385550926889,13,1
ui_pop_mismatch,0.0992312420461597,14,1
i_share_linear,0.04929472407984591,15,1
i_credit_linear,0.04929472407984588,16,0
i_n_covisit_neighbors,0.04132922425563856,17,1
i_credit_last,0.028018082824999437,18,0
i_share_last,0.028018082824999416,19,1
u_log1p_n_events,0.013654900023032043,20,0
i_n_users,0.008921899804463744,21,0
