feature,pi,score,rank,selected
u_n_uniq_items,1.0,0.5443103857531649,1,1
ui_pop_mismatch,1.0,0.16680644350868906,2,1
e_log1p_exp,0.8,92.15392148043613,3,1
e_n_exp,0.8,80.47514921434207,4,1
i_log1p_n_exp,0.8,0.7957676165332143,5,1
i_share_first,0.8,0.6452738608332684,6,1
i_credit_first,0.8,0.645273860833268,7,1
i_n_exp,0.8,0.4044269579211818,8,1
i_log1p_n_covisit,0.8,0.3259247232157697,9,1
u_n_exp,0.8,0.29820531442814424,10,1
i_log1p_n_users,0.8,0.2659537633855862,11,1
u_n_events,0.8,0.25639668622577527,12,1
u_log1p_n_uniq,0.8,0.1892244078870107,13,1
i_share_linear,0.8,0.07858512301236736,14,1
u_span_sec,0.6,0.6019120178828635,15,1
i_n_covisit_neighbors,0.6,0.18439433698797958,16,0
i_n_users,0.6,0.14260051803544896,17,0
u_log1p_n_events,0.6,0.0783405712582794,18,0
i_credit_last,0.4,0.09913610314755675,19,0
i_share_last,0.4,0.09913610314755669,20,0
i_credit_linear,0.2,0.07858512301236731,21,0
