feature,score,rank,selected
i_n_exp,0.2888808635287508,1,1
i_share_linear,0.0003450904859354509,2,1
ui_pop_mismatch,0.0002969383251071989,3,1
u_n_exp,0.00012038040207040801,4,1
u_span_sec,4.01268006901212e-05,5,1
i_n_users,8.025360137953186e-06,6,1
i_credit_last,0.0,7,1
e_n_exp,0.0,8,0
i_log1p_n_covisit,0.0,9,1
i_log1p_n_exp,0.0,10,1
i_log1p_n_users,0.0,11,1
u_log1p_n_uniq,0.0,12,1
u_log1p_n_events,0.0,13,1
i_credit_linear,0.0,14,1
e_log1p_exp,0.0,15,1
i_credit_first,0.0,16,1
u_n_uniq_items,-8.881784197001253e-17,17,0
i_share_first,-8.881784197001253e-17,18,0
i_share_last,-8.881784197001253e-17,19,0
u_n_events,-1.1102230246251565e-16,20,0
i_n_covisit_neighbors,-1.3322676295501878e-16,21,0
