feature,score,rank,selected
e_log1p_exp,89.78540948525979,1,1
e_n_exp,78.54756169037589,2,1
i_log1p_n_exp,0.874024770471903,3,1
u_n_uniq_items,0.6145880617896438,4,1
i_share_first,0.47457303275343704,5,1
i_credit_first,0.4745730327534368,6,1
i_n_exp,0.32478155454198016,7,1
u_n_exp,0.2955062582824008,8,1
i_log1p_n_covisit,0.2585843896144009,9,1
u_n_events,0.24386567367805684,10,1
i_log1p_n_users,0.17034407142819552,11,1
ui_pop_mismatch,0.0992312420461597,12,1
i_n_covisit_neighbors,0.04132922425563856,13,1
u_log1p_n_events,0.013654900023032043,14,1
i_n_users,0.008921899804463744,15,1
