feature,score,rank,selected
e_log1p_exp,113.7769701375432,1,1
e_n_exp,100.41239964395646,2,1
u_span_sec,1.6009351761729682,3,1
i_n_users,0.9068508096158088,4,1
i_n_covisit_neighbors,0.8383844608694991,5,1
u_n_exp,0.7522775947398711,6,1
u_n_uniq_items,0.7276551497866298,7,1
i_log1p_n_users,0.7103892284489567,8,1
i_credit_last,0.7053768060278608,9,0
i_share_last,0.7053768060278603,10,0
i_share_linear,0.5994876191830466,11,0
i_credit_linear,0.5994876191830459,12,0
i_log1p_n_covisit,0.5091319834760902,13,0
i_n_exp,0.3411337325619144,14,0
u_n_events,0.32111781648916193,15,0
u_log1p_n_uniq,0.21740760133339684,16,0
i_log1p_n_exp,0.06553373427814857,17,0
ui_pop_mismatch,0.06167816019120683,18,0
u_log1p_n_events,0.033284559729397076,19,0
i_credit_first,0.010248450414701989,20,0
i_share_first,0.010248450414701982,21,0
