variant,k,W2_m,W2_s,AP_m,W1_m
A_baseline_F,8,0.5737130319173662,0.24779419641477066,0.0038640115775304337,0.542363634887023
A_baseline_F,10,0.5592465530546026,0.17010617469241454,0.0018219651865531332,0.5696378082371888
A_baseline_F,12,0.647781682611404,0.22239353791549465,0.0051651737802516995,0.6355315904182691
A_baseline_F,15,0.7155921401277437,0.1536922211137169,0.009877050419749634,0.6541090639285526
A_baseline_F,18,0.7136978309578929,0.17153121604245025,0.006701876668429266,0.7011414485144263
Z_combined,8,0.6159782073094766,0.2856300011539322,0.004754545588932767,0.6313625056500988
Z_combined,10,0.5567595459236325,0.16892067800622146,0.0016162265237982664,0.5244563330878925
Z_combined,12,0.6370910384068279,0.2116585603733368,0.004548738213830566,0.6107637634028452
Z_combined,15,0.7196759452951403,0.15720513266348884,0.007237581388248634,0.6795238186055735
Z_combined,18,0.7137048038750825,0.17149088569879356,0.006700118733369666,0.7012002789650676
Z_combined_MI,8,0.6018905902806831,0.18854180454851557,0.0024961108038368666,0.5822540016421663
Z_combined_MI,10,0.5443675099247854,0.2565990178302114,0.002576452932930767,0.6855400436889035
Z_combined_MI,12,0.5931419035134206,0.24724799935725608,0.0038800715252065,0.5333582298310581
Z_combined_MI,15,0.5917740495913871,0.20657642896370465,0.004076146202856133,0.557813318693063
Z_combined_MI,18,0.719566702925836,0.1264260411263521,0.007561790646951168,0.6173671283899681
