feature,po_vimp,rank,po_share
ui_pop_mismatch,0.35713365876318987,1,0.3571336587628327
u_n_exp,0.07344360845276952,2,0.07344360845269607
i_log1p_n_covisit,0.06653031890035149,3,0.06653031890028496
i_n_exp,0.06375798769678294,4,0.06375798769671917
i_log1p_n_users,0.0631817751984042,5,0.06318177519834102
i_n_users,0.05870115367850074,6,0.05870115367844204
i_n_covisit_neighbors,0.052417509404194255,7,0.05241750940414183
i_log1p_n_exp,0.04901505999763837,8,0.04901505999758935
u_n_events,0.03975034629943601,9,0.03975034629939626
u_log1p_n_events,0.038167946895666396,10,0.038167946895628226
u_log1p_n_uniq,0.03616672755448891,11,0.036166727554452736
u_n_uniq_items,0.03252753400786012,12,0.03252753400782759
i_credit_linear,0.023098744754176906,13,0.023098744754153806
u_span_sec,0.022996032903519238,14,0.02299603290349624
i_share_linear,0.01610643780705889,15,0.01610643780704278
i_share_first,0.0025188936991045337,16,0.0025188936991020145
i_share_last,0.0018788670041625037,17,0.0018788670041606245
i_credit_last,0.0013998138722278153,18,0.0013998138722264154
i_credit_first,0.0012075831104673082,19,0.0012075831104661006
e_n_exp,0.0,20,0.0
e_log1p_exp,0.0,21,0.0
