feature,cmean_abs_norm,po_vimp_norm,blend,rank
u_span_sec,1.0,0.06439055053811991,0.53219527526906,1
ui_pop_mismatch,0.05222671074092955,0.9999999999972,0.5261133553690648,2
u_n_exp,0.00011400431195523327,0.20564740021120012,0.10288070226157768,3
i_log1p_n_covisit,4.170673135121925e-06,0.18628969089771652,0.09314693078542582,4
i_n_exp,0.0005042926916715268,0.17852696359510994,0.08951562814339073,5
i_log1p_n_users,3.918262161266807e-06,0.17691352704484853,0.08845872265350489,6
i_n_users,0.0005769221391497941,0.16436746365948177,0.08247219289931577,7
i_n_covisit_neighbors,0.007103979115509392,0.14677280653293107,0.07693839282422023,8
i_log1p_n_exp,4.013341422785844e-06,0.13724570281963341,0.0686248580805281,9
u_n_events,0.00012595582617759844,0.11130383631995489,0.05571489607306624,10
u_log1p_n_events,2.5890091610919164e-06,0.10687300387127088,0.053437796440215984,11
u_log1p_n_uniq,2.5856004139913695e-06,0.10126944539374619,0.05063601549708009,12
u_n_uniq_items,0.00012550906063728674,0.09107944101493266,0.04560247503778497,13
i_credit_linear,6.293252119625344e-08,0.06467815112724692,0.03233910702988406,14
i_share_linear,1.6513387876214522e-11,0.045099187410094374,0.02254959371330388,15
i_share_first,8.988160631905509e-11,0.007053084012917759,0.003526542051399683,16
i_share_last,1.515252731412814e-10,0.005260963110181368,0.0026304816308533206,17
i_credit_last,5.598858842570347e-07,0.003919579792819506,0.0019600698393518814,18
i_credit_first,3.425388016819188e-07,0.003381319796756143,0.0016908311677789126,19
e_n_exp,9.053261073545315e-09,0.0,4.526630536772658e-09,20
e_log1p_exp,3.58968220463032e-09,0.0,1.79484110231516e-09,21
