feature,score,rank,selected
i_share_first,1.5033910203232548,1,1
i_credit_first,1.503391020323254,2,1
u_log1p_n_events,0.20758980615944547,3,1
ui_pop_mismatch,0.1948278558246548,4,1
i_n_exp,0.12065548171474193,5,1
u_n_exp,0.0778834137275522,6,1
i_credit_linear,0.057194511883837396,7,1
i_share_linear,0.057194511883837396,8,1
u_log1p_n_uniq,0.03932878587307568,9,1
i_credit_last,0.01538087860522578,10,1
u_span_sec,0.014053440828306424,11,1
i_log1p_n_covisit,0.00638134293546201,12,1
i_n_users,0.005432572477913806,13,1
i_log1p_n_users,0.0009307101485262736,14,1
i_n_covisit_neighbors,0.0004001758854365669,15,1
