seed,variant,pool,W2_hgb_auc,notes,top5
0,A_baseline_F,default,0.7679169107187682,Scaler→Var→SelectKBest(F),
0,P_po_vimp_FSDS,default,0.7592809527794048,PO-VIMP pre→18 (risk=1.1919e-06) then FSDS-F→15,
0,Z_PO_a0.3,tight_k:15,0.7537828075753772,α=0.3 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_log1p_n_exp,u_n_uniq_items,i_n_exp,i_log1p_n_covisit"
0,Z_PO_a0.3,k+3:18,0.7371070761163641,α=0.3 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_log1p_n_exp,u_n_uniq_items,i_log1p_n_users,i_n_covisit_neighbors,i_n_users"
0,Z_PO_a0.5,tight_k:15,0.7537828075753772,α=0.5 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_log1p_n_exp,u_n_uniq_items,i_n_exp,i_log1p_n_covisit"
0,Z_PO_a0.5,k+3:18,0.7371070761163641,α=0.5 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_log1p_n_exp,u_n_uniq_items,i_log1p_n_users,i_n_covisit_neighbors,i_n_users"
0,Z_PO_a0.7,tight_k:15,0.7537828075753772,α=0.7 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_log1p_n_exp,u_n_uniq_items,i_n_exp,i_log1p_n_covisit"
0,Z_PO_a0.7,k+3:18,0.7371070761163641,α=0.7 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_log1p_n_exp,u_n_uniq_items,i_log1p_n_users,i_n_covisit_neighbors,i_n_users"
0,P_po_rare_tight,tight_k:15,0.7537828075753772,3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_log1p_n_exp,u_n_uniq_items,i_n_exp,i_log1p_n_covisit"
1,A_baseline_F,default,0.5425696594427244,Scaler→Var→SelectKBest(F),
1,P_po_vimp_FSDS,default,0.536172007921234,PO-VIMP pre→18 (risk=1.25052e-06) then FSDS-F→15,
1,Z_PO_a0.3,tight_k:15,0.5244296153738879,α=0.3 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,Z_PO_a0.3,k+3:18,0.5712527543022898,α=0.3 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,Z_PO_a0.5,tight_k:15,0.5244296153738879,α=0.5 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,Z_PO_a0.5,k+3:18,0.5712527543022898,α=0.5 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,Z_PO_a0.7,tight_k:15,0.5244296153738879,α=0.7 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,Z_PO_a0.7,k+3:18,0.5712527543022898,α=0.7 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,P_po_rare_tight,tight_k:15,0.5244296153738879,3-fold π-stable SelectKBest(F) (n_pos=3),"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
2,A_baseline_F,default,0.8362898502217387,Scaler→Var→SelectKBest(F),
2,P_po_vimp_FSDS,default,0.8709835996987698,PO-VIMP pre→18 (risk=1.15413e-06) then FSDS-F→15,
2,Z_PO_a0.3,tight_k:15,0.38906786043008956,α=0.3 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_log1p_n_exp,i_n_exp,u_span_sec,i_log1p_n_users,i_log1p_n_covisit"
2,Z_PO_a0.3,k+3:18,0.8428897163417287,α=0.3 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
2,Z_PO_a0.5,tight_k:15,0.38906786043008956,α=0.5 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_log1p_n_exp,i_n_exp,u_span_sec,i_log1p_n_users,i_log1p_n_covisit"
2,Z_PO_a0.5,k+3:18,0.8428897163417287,α=0.5 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
2,Z_PO_a0.7,tight_k:15,0.38906786043008956,α=0.7 pool=15 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_log1p_n_exp,i_n_exp,u_span_sec,i_log1p_n_users,i_log1p_n_covisit"
2,Z_PO_a0.7,k+3:18,0.8428897163417287,α=0.7 pool=18 | 3-fold π-stable SelectKBest(F) (n_pos=3),"i_share_first,i_credit_first,i_log1p_n_exp,i_n_exp,u_span_sec"
2,P_po_rare_tight,tight_k:15,0.38906786043008956,3-fold π-stable SelectKBest(F) (n_pos=3),"i_log1p_n_exp,i_n_exp,u_span_sec,i_log1p_n_users,i_log1p_n_covisit"
