seed,k,variant,W2_hgb_auc,W2_ap,W1_hgb_auc,n_selected,notes,top5
0,10,A_baseline_F,0.36868253702619025,0.0009849114604440394,0.5637773079633545,10,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_exp,u_n_uniq_items,u_span_sec,i_n_exp"
0,10,P_po_vimp_FSDS,0.4678199871698324,0.0010949558725323548,0.6714235377026074,10,PO-VIMP pre→13 (risk=1.1919e-06) then FSDS-F→10,"ui_pop_mismatch,i_log1p_n_users,i_log1p_n_covisit,u_n_exp,u_n_uniq_items"
0,10,Z_combined_PO_rare,0.3070035980252699,0.00106204088857421,0.6712473572938689,10,COMBINED-PO-rare: cmean⋈PO→13 | 3-fold π (n_pos=3)→10 | PO-risk=1.1919e-06 | →FSDS,"u_n_uniq_items,i_log1p_n_users,i_n_covisit_neighbors,i_n_users,ui_pop_mismatch"
0,12,A_baseline_F,0.39364558056508525,0.0016373679853171853,0.5909090909090909,12,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
0,12,P_po_vimp_FSDS,0.7534550804674645,0.0028727066407540375,0.6046511627906976,12,PO-VIMP pre→15 (risk=1.1919e-06) then FSDS-F→12,"ui_pop_mismatch,i_log1p_n_users,i_log1p_n_covisit,i_n_covisit_neighbors,u_n_exp"
0,12,Z_combined_PO_rare,0.4678199871698324,0.001094955872532355,0.6714235377026074,12,COMBINED-PO-rare: cmean⋈PO→15 | 3-fold π (n_pos=3)→12 | PO-risk=1.1919e-06 | →FSDS,"u_n_uniq_items,i_log1p_n_users,i_n_covisit_neighbors,i_n_users,ui_pop_mismatch"
0,15,A_baseline_F,0.7679169107187682,0.011375750248680611,0.6620859760394644,15,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
0,15,P_po_vimp_FSDS,0.7592809527794048,0.0060740603950820175,0.5819238900634249,15,PO-VIMP pre→18 (risk=1.1919e-06) then FSDS-F→15,"ui_pop_mismatch,i_log1p_n_users,i_log1p_n_covisit,i_n_covisit_neighbors,u_n_exp"
0,15,Z_combined_PO_rare,0.7371070761163641,0.005642162686811535,0.593199436222692,15,COMBINED-PO-rare: cmean⋈PO→18 | 3-fold π (n_pos=3)→15 | PO-risk=1.1919e-06 | →FSDS,"i_log1p_n_exp,u_n_uniq_items,i_log1p_n_users,i_n_covisit_neighbors,i_n_users"
0,15,P_po_tau2_rows,0.7592670069450256,0.006073996164645822,0.5819238900634249,15,"PO-τ̂²-rows: tau2-q0.5 keep=4157/8310 (thr=8.08e-08, n_pos=3) | PO-VIMP pre→18 →FSDS-F→15 | risk=1.1919e-06","ui_pop_mismatch,i_log1p_n_users,i_log1p_n_covisit,u_n_exp,u_log1p_n_events"
0,18,A_baseline_F,0.74541182048922,0.005801654208922788,0.6441155743481325,18,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
0,18,P_po_vimp_FSDS,0.7654380386578529,0.0061578153981490715,0.6441155743481325,18,PO-VIMP pre→21 (risk=1.1919e-06) then FSDS-F→18,"ui_pop_mismatch,i_log1p_n_users,i_log1p_n_covisit,i_n_covisit_neighbors,u_n_exp"
0,18,Z_combined_PO_rare,0.7679273700945527,0.011375790628244993,0.6620859760394644,18,COMBINED-PO-rare: cmean⋈PO→21 | 3-fold π (n_pos=3)→18 | PO-risk=1.1919e-06 | →FSDS,"e_log1p_exp,u_span_sec,i_log1p_n_exp,u_n_uniq_items,i_n_exp"
1,10,A_baseline_F,0.6132959584971969,0.001325659336482616,0.5572434234901815,10,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_exp,u_n_uniq_items,u_span_sec,i_n_users"
1,10,P_po_vimp_FSDS,0.5051076618414079,0.0011106980034037723,0.7360133382734346,10,PO-VIMP pre→13 (risk=1.25052e-06) then FSDS-F→10,"i_n_users,i_log1p_n_users,i_n_covisit_neighbors,i_log1p_n_covisit,i_n_exp"
1,10,Z_combined_PO_rare,0.5084616350096226,0.0011650058482823447,0.7000741015190811,10,COMBINED-PO-rare: cmean⋈PO→13 | 3-fold π (n_pos=3)→10 | PO-risk=1.25052e-06 | →FSDS,"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,12,A_baseline_F,0.7429120296767356,0.003906653979435926,0.5920711374583179,12,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_exp,u_n_uniq_items,u_span_sec,i_n_users"
1,12,P_po_vimp_FSDS,0.5203678911109253,0.0011391919434058284,0.544090403853279,12,PO-VIMP pre→15 (risk=1.25052e-06) then FSDS-F→12,"i_n_users,i_log1p_n_users,i_n_covisit_neighbors,i_log1p_n_covisit,i_n_exp"
1,12,Z_combined_PO_rare,0.5244296153738879,0.0012093862466297377,0.7030381622823267,12,COMBINED-PO-rare: cmean⋈PO→15 | 3-fold π (n_pos=3)→12 | PO-risk=1.25052e-06 | →FSDS,"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
1,15,A_baseline_F,0.5425696594427244,0.0011996038259170301,0.754353464246017,15,Scaler→Var→SelectKBest(F),"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
1,15,P_po_vimp_FSDS,0.536172007921234,0.0012148751785412016,0.7665802148944053,15,PO-VIMP pre→18 (risk=1.25052e-06) then FSDS-F→15,"ui_pop_mismatch,i_n_users,i_log1p_n_users,i_log1p_n_exp,i_n_covisit_neighbors"
1,15,Z_combined_PO_rare,0.5712527543022898,0.0013954818136149363,0.7310114857354576,15,COMBINED-PO-rare: cmean⋈PO→18 | 3-fold π (n_pos=3)→15 | PO-risk=1.25052e-06 | →FSDS,"u_span_sec,i_n_users,i_n_covisit_neighbors,u_n_exp,u_n_uniq_items"
