feature,score,rank,selected
u_n_uniq_items,0.8339359060601369,1,1
u_n_exp,0.500995468539377,2,1
i_log1p_n_exp,0.4764210590604162,3,1
u_n_events,0.4354990741462717,4,1
i_credit_first,0.3902760890859319,5,1
u_span_sec,0.36177312772798137,6,1
u_log1p_n_uniq,0.19383358601820802,7,1
ui_pop_mismatch,0.19351097138573883,8,1
i_n_exp,0.17236007351718455,9,1
i_log1p_n_covisit,0.14164573670407438,10,1
i_credit_linear,0.0847879256207981,11,1
i_share_linear,0.08478792562079807,12,1
i_log1p_n_users,0.07100090996619234,13,1
u_log1p_n_events,0.037330084588914784,14,1
i_credit_last,0.02762664446047673,15,1
i_share_last,0.02762664446047661,16,0
i_n_covisit_neighbors,0.006800430491359006,17,0
i_n_users,0.0021055681968670326,18,0
