feature,score,rank,selected
i_log1p_n_exp,0.2743668790218913,1,1
u_log1p_n_events,0.20758980615944547,2,1
ui_pop_mismatch,0.1948278558246548,3,1
i_n_exp,0.12065548171474193,4,1
u_n_exp,0.0778834137275522,5,1
u_n_uniq_items,0.06287968700827783,6,1
u_log1p_n_uniq,0.03932878587307568,7,1
u_span_sec,0.014053440828306424,8,1
i_log1p_n_covisit,0.00638134293546201,9,1
i_n_users,0.005432572477913806,10,1
u_n_events,0.0012691783650566689,11,0
i_log1p_n_users,0.0009307101485262736,12,0
i_n_covisit_neighbors,0.0004001758854365669,13,0
