feature,po_vimp,rank,po_share
ui_pop_mismatch,0.3296680646978305,1,0.3296680646975008
i_log1p_n_users,0.09669853063617191,2,0.09669853063607521
i_n_users,0.08988177197834786,3,0.08988177197825797
i_n_covisit_neighbors,0.06025225954574265,4,0.06025225954568239
u_n_exp,0.05853062025145994,5,0.058530620251401405
i_log1p_n_covisit,0.05811286580395824,6,0.05811286580390012
i_log1p_n_exp,0.058056066540385955,7,0.05805606654032789
i_n_exp,0.04459104452232526,8,0.044591044522280666
u_log1p_n_uniq,0.04003849137989138,9,0.04003849137985133
u_n_uniq_items,0.03860810454637288,10,0.03860810454633427
u_n_events,0.03432649217624198,11,0.03432649217620765
u_log1p_n_events,0.03224334118580397,12,0.032243341185771726
u_span_sec,0.025177826248783352,13,0.02517782624875817
i_credit_linear,0.009802704819172479,14,0.009802704819162676
i_share_linear,0.007330203464091645,15,0.007330203464084314
i_credit_last,0.005818602001171032,16,0.005818602001165213
i_share_last,0.00490504275216669,17,0.004905042752161784
i_credit_first,0.0036213704295570063,18,0.0036213704295533847
i_share_first,0.0023365970205252427,19,0.002336597020522906
e_n_exp,0.0,20,0.0
e_log1p_exp,0.0,21,0.0
