feature,pi,score,rank,selected
i_share_first,1.0,1.1977689018029931,1,1
i_credit_first,1.0,1.1977689018029924,2,1
i_log1p_n_exp,1.0,0.554324602852512,3,1
i_n_exp,1.0,0.46858043944598826,4,1
u_span_sec,1.0,0.44703780433132617,5,1
i_log1p_n_users,1.0,0.41586367179560835,6,1
i_log1p_n_covisit,1.0,0.40035156261756377,7,1
i_n_covisit_neighbors,1.0,0.3793423275453087,8,1
i_n_users,1.0,0.3306040228160879,9,1
u_log1p_n_events,1.0,0.1390011027194424,10,1
ui_pop_mismatch,1.0,0.13485439887717554,11,1
i_credit_linear,1.0,0.12615955225500958,12,1
i_share_linear,1.0,0.1261595522550095,13,1
i_credit_last,0.6666666666666666,0.15384389872390408,14,1
u_n_exp,0.6666666666666666,0.07475915093085587,15,1
u_n_uniq_items,0.3333333333333333,0.058704892229814176,16,0
u_log1p_n_uniq,0.3333333333333333,0.04038564448999047,17,0
u_n_events,0.0,0.001691331788063941,18,0
