variant,mean_W2,std_W2,mean_AP,n_feat
P_po_vimp_FSDS__single,0.7221455201331363,0.17046694918816666,0.006961923821458033,15
Z_combined_PO_rare__single,0.7170831822534609,0.13692106131117482,0.00535008085152226,15
A_baseline_F__single,0.7155921401277437,0.1536922211137169,0.00987705041974968,15
P_po__LOO_pos_maj,0.7077720134995676,0.11435653260939743,0.003253813678269336,15
Z_combined_PO_rare__intersect_fill,0.6875598508725442,0.19196005572788702,0.0057125334313500135,15
Z_combined_PO_rare__maj2,0.683739854405489,0.18714320629559722,0.005659996990687779,15
P_po_vimp_FSDS__intersect_fill,0.6776803893676959,0.15799646692809496,0.005475077246394265,15
P_po_vimp_FSDS__maj2,0.6740986342379531,0.1522593208009497,0.006098654265749095,15
A_baseline_F__maj2,0.5564608726373432,0.19932830102617202,0.003894810696854073,15
A_baseline_F__intersect_fill,0.5563353601279297,0.19911327075408525,0.003894810696854073,15
P_po_avgVIMP_topk,0.5508395392296321,0.18712717364432277,0.001665226715585677,15
P_po_vimp__seed_avg_topk,0.5508395392296321,0.18712717364432277,0.001665226715585677,15
P_po_avgVIMP_pool__maj2,0.42064355377048873,0.15709624189125035,0.0015291868994964056,15
