seed,variant,n_feat,W2_hgb_auc,W2_ap,top5
0,P_po_vimp_FSDS__single,15,0.7592809527794048,0.0060740603950820175,"ui_pop_mismatch,i_log1p_n_users,i_log1p_n_covisit,i_n_covisit_neighbors,u_n_exp"
0,Z_combined_PO_rare__single,15,0.7371070761163641,0.005642162686811535,"i_log1p_n_exp,u_n_uniq_items,i_log1p_n_users,i_n_covisit_neighbors,i_n_users"
0,A_baseline_F__single,15,0.7679169107187682,0.011375750248680611,"e_n_exp,u_n_events,u_n_exp,u_n_uniq_items,u_span_sec"
0,P_po_vimp_FSDS__maj2,15,0.6782417092014615,0.005607756150601267,"i_credit_linear,i_log1p_n_covisit,i_log1p_n_exp,i_n_exp,i_share_linear"
0,P_po_vimp_FSDS__intersect_fill,15,0.6682425459515242,0.005024650878974182,"ui_pop_mismatch,i_log1p_n_covisit,u_n_exp,u_n_uniq_items,i_log1p_n_exp"
0,Z_combined_PO_rare__maj2,15,0.749062142637994,0.006157092850115418,"i_credit_linear,i_log1p_n_covisit,i_log1p_n_exp,i_log1p_n_users,i_n_covisit_neighbors"
0,Z_combined_PO_rare__intersect_fill,15,0.7475559925250327,0.006442629780699278,"i_log1p_n_exp,i_log1p_n_users,i_n_covisit_neighbors,i_n_users,ui_pop_mismatch"
0,A_baseline_F__maj2,15,0.4133301257914261,0.0011539707496296026,"e_log1p_exp,e_n_exp,i_n_exp,i_share_linear,u_n_exp"
0,A_baseline_F__intersect_fill,15,0.41333012579142603,0.0011539707496296026,"e_n_exp,u_n_exp,u_n_uniq_items,i_n_exp,e_log1p_exp"
0,P_po_vimp__seed_avg_topk,15,0.7534550804674645,0.0028727066407540375,"ui_pop_mismatch,i_log1p_n_users,i_n_users,i_n_covisit_neighbors,u_n_exp"
0,P_po_avgVIMP_pool__maj2,15,0.24615094971132126,0.0007690505196790356,"i_credit_last,i_credit_linear,i_log1p_n_covisit,i_log1p_n_exp,i_n_exp"
