feature,cmean_abs_norm,po_vimp_norm,blend,rank
u_span_sec,1.0,0.12151499537633334,0.5607574976881666,1
ui_pop_mismatch,0.05148105736100178,0.9999999999962981,0.52574052867865,2
i_log1p_n_users,3.862046299495518e-06,0.3861160501667669,0.1930599561065332,3
i_n_users,0.0005686547138158171,0.3322337798531492,0.16640121728348253,4
i_log1p_n_covisit,4.109688375001162e-06,0.3008552222518318,0.1504296659701034,5
i_n_covisit_neighbors,0.007003972460610138,0.29182154544728445,0.1494127589539473,6
u_n_exp,0.00011301128419199187,0.27221205440535834,0.13616253284477517,7
u_log1p_n_events,2.575850374707254e-06,0.16347703569643315,0.08173980577340394,8
u_n_uniq_items,0.00012437519378323813,0.14837224965841178,0.07424831242609752,9
i_log1p_n_exp,3.961125735056547e-06,0.14093568629365638,0.07046982370969572,10
u_log1p_n_uniq,2.572551733048893e-06,0.13319831321439496,0.066600442883064,11
i_n_exp,0.0004971768891771544,0.10678731465819527,0.05364224577368621,12
u_n_events,0.0001248127333591853,0.10300987329150707,0.051567343012433126,13
i_credit_linear,3.333948218618865e-08,0.05642683869952471,0.02821343601950345,14
i_credit_last,4.804031236643026e-07,0.04959694429861069,0.024798712350867176,15
i_share_linear,8.748224137021377e-12,0.04305800382297646,0.021529001915862343,16
i_share_last,1.3001437717572468e-10,0.035144396514078566,0.01757219832204647,17
i_credit_first,3.514233478857155e-07,0.010420025470089222,0.005210188446718554,18
i_share_first,9.221289632267526e-11,0.006837410967283152,0.0034187055297480243,19
e_n_exp,7.539309684211117e-09,0.0,3.769654842105559e-09,20
e_log1p_exp,3.012943994059088e-09,0.0,1.506471997029544e-09,21
