feature,po_vimp,rank,po_share
ui_pop_mismatch,0.2701229627208913,1,0.2701229627206211
i_log1p_n_users,0.10429881142552148,2,0.10429881142541715
i_n_users,0.08974397293022526,3,0.08974397293013549
i_log1p_n_covisit,0.08126790398501789,4,0.0812679039849366
i_n_covisit_neighbors,0.07882770044230152,5,0.07882770044222266
u_n_exp,0.07353072662458805,6,0.0735307266245145
u_log1p_n_events,0.0441589012193129,7,0.04415890121926873
u_n_uniq_items,0.04007875166344231,8,0.04007875166340222
i_log1p_n_exp,0.03806996513488551,9,0.03806996513484743
u_log1p_n_uniq,0.03597992299503081,10,0.03597992299499482
u_span_sec,0.032823990566192084,11,0.03282399056615925
i_n_exp,0.028845705816586555,12,0.0288457058165577
u_n_events,0.02782533216310851,13,0.027825332163080675
i_credit_linear,0.015242184846545886,14,0.01524218484653064
i_credit_last,0.013397273535893334,15,0.013397273535879934
i_share_linear,0.011630955561552924,16,0.01163095556154129
i_share_last,0.00949330850945581,17,0.009493308509446314
i_credit_first,0.002814688151618069,18,0.0028146881516152534
i_share_first,0.0018469417078296776,19,0.0018469417078278302
e_n_exp,0.0,20,0.0
e_log1p_exp,0.0,21,0.0
