feature,cmean_abs_norm,po_vimp_norm,blend,rank
ui_pop_mismatch,0.05322247997064565,0.9999999999971949,0.5266112399839202,1
u_span_sec,1.0,0.04107705896515257,0.5205385294825763,2
i_log1p_n_users,4.020393291376381e-06,0.297830818994303,0.1489174196937972,3
i_n_users,0.0005893892042984103,0.27664431543987344,0.13861685232208593,4
i_log1p_n_exp,4.1164678648475325e-06,0.19853553277049663,0.09926982461918074,5
u_n_exp,0.00011615879701913382,0.17843862422666032,0.08927739151183972,6
i_n_exp,0.0005149112940401398,0.1338727644096686,0.06719383785185437,7
u_n_events,0.00012839662213712564,0.1209128219089286,0.06052060926553286,8
i_n_covisit_neighbors,0.007256824001786916,0.11184852983409681,0.05955267691794186,9
u_n_uniq_items,0.0001279254484646287,0.11212846733799958,0.056128196393232105,10
u_log1p_n_uniq,2.6415195765237297e-06,0.11143752961466905,0.05572008556712278,11
i_log1p_n_covisit,4.280796312295628e-06,0.10023562161105248,0.050119951203682386,12
u_log1p_n_events,2.6454794834240905e-06,0.06993646522631976,0.03496955535290159,13
i_credit_linear,1.0067119013521256e-07,0.01855719814118899,0.009278649406189563,14
i_share_linear,2.641595122939192e-11,0.011482264581535574,0.0057411323039757624,15
i_credit_first,3.418658861196523e-07,0.009858920186836805,0.004929631026361462,16
i_share_first,8.970503440557656e-11,0.005270646197869473,0.0026353231437872536,17
i_credit_last,6.706564034305632e-07,0.00525702025306003,0.00262884545473173,18
i_share_last,1.8150376276875864e-10,0.0017856257286406963,0.0008928129550722295,19
e_n_exp,1.0891859995577931e-08,0.0,5.445929997788966e-09,20
e_log1p_exp,4.261201656998812e-09,0.0,2.130600828499406e-09,21
