feature,po_vimp,rank,po_share
ui_pop_mismatch,0.35649223012100734,1,0.3564922301206508
i_log1p_n_users,0.10617437286234298,2,0.1061743728622368
i_n_users,0.09862154896173655,3,0.09862154896163793
i_log1p_n_exp,0.07077637483581521,4,0.07077637483574443
u_n_exp,0.06361198309046498,5,0.06361198309040136
i_n_exp,0.04772460033700086,6,0.04772460033695313
u_n_events,0.04310448153265906,7,0.04310448153261595
u_n_uniq_items,0.039972927381486126,8,0.03997292738144615
i_n_covisit_neighbors,0.03987313183642504,9,0.03987313183638516
u_log1p_n_uniq,0.0397266134516206,10,0.03972661345158087
i_log1p_n_covisit,0.03573322028578977,11,0.035733220285754035
u_log1p_n_events,0.024931806455380946,12,0.02493180645535601
u_span_sec,0.014643652357340433,13,0.014643652357325789
i_credit_linear,0.006615496950168432,14,0.006615496950161816
i_share_linear,0.0040933381075225535,15,0.00409333810751846
i_credit_first,0.0035146284440003297,16,0.0035146284439968147
i_share_first,0.0018789444172625672,17,0.001878944417260688
i_credit_last,0.0018740868738099292,18,0.001874086873808055
i_share_last,0.0006365616981663561,19,0.0006365616981657195
e_n_exp,0.0,20,0.0
e_log1p_exp,0.0,21,0.0
