feature,f_score,rank,selected
i_credit_last,1.0067830004029106,1,1
i_share_last,1.0067830004029104,2,1
u_span_sec,0.7992225254650976,3,1
u_n_exp,0.7020503105766506,4,1
i_share_first,0.6712596751321954,5,1
i_credit_first,0.6712596751321949,6,1
i_credit_linear,0.4801016655832415,7,1
i_share_linear,0.4801016655832414,8,1
u_n_uniq_items,0.3614415458058133,9,1
i_n_covisit_neighbors,0.27916351075829415,10,1
i_n_users,0.2545884963800604,11,1
i_n_exp,0.20859756152315684,12,1
ui_pop_mismatch,0.16371952795485492,13,1
u_log1p_n_uniq,0.13438368529580205,14,1
i_log1p_n_covisit,0.11822988693464494,15,1
u_n_events,0.11609058288155255,16,0
i_log1p_n_users,0.10190844636746386,17,0
i_log1p_n_exp,0.08152679708558044,18,0
e_log1p_exp,0.004278094440650544,19,0
e_n_exp,0.004278094440650518,20,0
u_log1p_n_events,0.002568541872676518,21,0
