item_id,n_W1,n_W2,mmd2,rank,selected
226288,65,170,1.7191229296280726,1,1
3757633,18,37,1.681222582312157,2,1
86522,4,13,1.634223161496526,3,1
2708068,10,29,1.6154661389832499,4,1
543572,13,4,1.6040530589105237,5,1
498321,10,50,1.5967249110703428,6,1
3885368,23,49,1.5826408984674076,7,1
4486643,3,29,1.5758611791866197,8,1
2160858,6,11,1.5729511801191303,9,1
259284,6,29,1.5707890807479838,10,1
1608867,8,30,1.5702483583433668,11,1
107021,5,26,1.5676488179828647,12,1
518981,3,28,1.5669721299605495,13,1
4194222,13,4,1.5648893167919753,14,1
1863797,5,33,1.5633289393630907,15,1
3782465,3,13,1.5600037454278777,16,1
3774164,4,19,1.5589555736298202,17,1
4227048,4,16,1.5566711829473667,18,1
3926596,3,10,1.5564093782790822,19,1
4680184,7,27,1.5562998395424112,20,1
3576787,12,68,1.5550712322513023,21,1
3848343,10,31,1.55000479301243,22,1
3663009,3,24,1.542451289055764,23,1
1843266,13,34,1.5419479535203864,24,1
4420529,10,46,1.541221022147377,25,1
1440054,13,37,1.5354254285901838,26,1
345842,22,11,1.535023315494647,27,1
3914247,4,23,1.52420337518063,28,1
2189611,5,31,1.5224504693474483,29,1
4156,4,36,1.5219546701082707,30,1
2926410,5,9,1.5189378941321152,31,1
283912,8,19,1.5114809775502378,32,1
992150,4,12,1.5095008965364012,33,1
2284130,3,84,1.5059520567666382,34,1
3037755,3,48,1.5035105995305074,35,1
3013074,4,66,1.500800951429948,36,1
2370398,12,35,1.499007878443435,37,1
3416079,3,8,1.4905125412910047,38,1
1867951,3,50,1.4883807269213531,39,1
2131901,3,31,1.486725372830263,40,1
3383159,10,28,1.485843714927686,41,1
2041119,3,13,1.4797951576770136,42,1
934499,5,29,1.4787803475213386,43,1
1242724,5,39,1.477772471766343,44,1
4041880,3,23,1.4769488321510296,45,1
53521,9,68,1.4753935277099015,46,1
2103096,3,11,1.4672421497533734,47,1
1876197,5,30,1.464913888027647,48,1
4696790,4,11,1.4596265548106775,49,1
3383174,3,29,1.459618401981739,50,1
2942919,3,20,1.4554329061774482,51,1
4647166,4,17,1.4537562553975787,52,1
4663704,3,46,1.448861676597152,53,1
74083,6,28,1.4480495267122349,54,1
3975971,4,24,1.4476132442056395,55,1
4210600,9,22,1.4466777428525555,56,1
1238603,8,70,1.4443314306710757,57,1
4140599,4,21,1.4434558688955483,58,1
2572159,4,25,1.4404689401749335,59,1
428349,7,26,1.4400823602463215,60,1
1415450,3,11,1.439637779215548,61,1
1958756,3,18,1.4372512756346698,62,1
4078937,3,8,1.4328812589202127,63,1
679382,4,45,1.431287646625057,64,1
181144,3,29,1.4288829179205387,65,1
1670704,3,13,1.426447014340685,66,1
1353684,3,32,1.4249219818072307,67,1
527186,3,7,1.4225310182679942,68,1
2724575,8,36,1.4183053790878828,69,1
1234519,3,28,1.4158359647930172,70,1
490022,16,86,1.4147282375107488,71,1
102919,3,29,1.414390257802131,72,1
868563,3,132,1.4135925485762937,73,1
2625741,10,33,1.4108520764491457,74,1
872698,5,50,1.407658105042621,75,1
749302,8,60,1.4054732009817221,76,1
523150,6,17,1.404559241886997,77,1
4260006,3,23,1.4043586492001294,78,1
588851,3,47,1.3974159876040249,79,1
1510013,6,167,1.3956588025022076,80,1
2403364,11,41,1.3898685659926446,81,1
901522,6,11,1.387148352026871,82,1
2930632,3,11,1.3793572233782898,83,1
4519531,9,4,1.3763931408517067,84,1
2543388,4,21,1.3761799863885367,85,1
2955369,3,10,1.3713704965647469,86,1
2448733,3,26,1.3705493109172717,87,1
2885065,6,24,1.3670642797761738,88,1
4680235,5,23,1.3665521477266898,89,1
926241,4,26,1.3658299909844465,90,1
2210112,21,9,1.3628494246814704,91,1
1666679,3,17,1.3602177170966416,92,1
2535188,14,88,1.3582895556321533,93,1
642402,7,27,1.3565170175523524,94,1
2288222,4,32,1.343264250842135,95,1
560077,4,120,1.342426112829381,96,1
967444,7,30,1.340999633323955,97,1
3630202,3,16,1.3409107214976619,98,1
1094771,10,49,1.3391815668760942,99,1
2996490,10,70,1.3380230928896908,100,1
226325,4,68,1.3368607446977432,101,1
4465932,5,13,1.3348275427891916,102,1
1613010,8,50,1.3337918345616624,103,1
2070087,9,24,1.3321436457589404,104,1
4247564,3,21,1.3306667449983787,105,1
2012376,3,26,1.3299200966096478,106,1
4231166,6,56,1.3286059086798025,107,1
1872179,3,7,1.3249104048653404,108,1
345829,9,46,1.3232867639492711,109,1
1596457,5,26,1.3209055041851223,110,1
1226306,3,6,1.3199965518164642,111,1
4358780,5,13,1.3144357110196436,112,1
3226857,3,31,1.3119769081887307,113,1
1415412,13,72,1.3107658578985688,114,1
3144740,3,12,1.310284770864056,115,1
3148715,3,16,1.3093700781544266,116,1
4404024,4,24,1.3074327321903556,117,1
1641944,8,3,1.300721134856643,118,1
4120050,4,28,1.2981158035585707,119,1
3161059,4,19,1.2952509126807126,120,1
1971100,9,65,1.292675413851841,121,1
1600606,4,13,1.2925952931586684,122,1
1551189,3,12,1.2846979624478114,123,1
2255276,4,32,1.2826623295470843,124,1
4107734,3,8,1.281838465760592,125,1
3877201,4,55,1.279892687786988,126,1
2506320,12,93,1.2765915671369858,127,1
2037042,4,12,1.2735956076753383,128,1
708155,3,61,1.2728716381505167,129,1
2843782,3,23,1.2670157454096453,130,1
345849,4,7,1.2662489429347303,131,1
4185970,3,35,1.2660031451223772,132,1
139953,8,49,1.2624207639618819,133,1
3840155,3,19,1.2593878697772354,134,1
2963495,8,72,1.2550339262141708,135,1
2876755,3,60,1.2524466217343324,136,1
383114,3,24,1.2502399628322287,137,1
4704858,14,103,1.2455672766455548,138,1
1287879,3,23,1.2447820889238828,139,1
1053625,5,23,1.2446406211638825,140,1
1,5,111,1.22780908399874,141,1
3498634,8,94,1.2274685609215568,142,1
3782395,4,7,1.2253589634122926,143,1
1617159,3,17,1.2215974881769005,144,1
1748897,3,23,1.2213874703671586,145,1
469386,8,13,1.2209558984814488,146,1
2712346,3,5,1.2207158603328756,147,1
4255891,8,15,1.216155789819939,148,1
724639,5,27,1.2142394430386385,149,1
2259399,7,49,1.2110988955708697,150,1
3646652,3,25,1.2084444249583237,151,1
3350267,7,3,1.202227047635227,152,1
1131780,3,51,1.2017140258044923,153,1
41269,4,15,1.1929182431361627,154,1
1320845,6,25,1.1919791470334047,155,1
650672,4,10,1.1904153677698366,156,1
2839776,4,11,1.1900835957281866,157,1
3490322,3,16,1.1879949922798125,158,1
2370401,3,19,1.183776876172053,159,1
205766,4,223,1.1826938518845285,160,1
321071,4,67,1.1825531332883428,161,1
4087104,6,20,1.176219935447276,162,1
2810899,15,197,1.17574460997653,163,1
4441205,4,8,1.1744195454572042,164,1
4235248,5,127,1.1713086337360734,165,1
1538694,8,51,1.1706365330595583,166,1
354058,12,14,1.1592709133164476,167,1
4305270,8,3,1.15685779616394,168,1
4606010,3,19,1.1556963760268797,169,1
403683,6,61,1.1517967438460672,170,1
3918343,3,15,1.1484796472576189,171,1
3161041,3,116,1.148289595094798,172,1
4198310,12,13,1.146676289393015,173,1
469392,3,17,1.1440865053736422,174,1
1592352,8,13,1.143194300764601,175,1
1349590,3,55,1.1378119199314065,176,1
4540025,6,39,1.1355464761619953,177,1
2942932,7,3,1.1335841637124906,178,1
967572,6,14,1.1313501175772704,179,1
1575754,6,33,1.1312947375896965,180,1
399581,3,38,1.1303861978968177,181,1
1160604,3,13,1.126643032948802,182,1
819199,5,46,1.1248587763242177,183,1
3161051,10,89,1.1247807183250251,184,1
2485705,12,19,1.1215510407148002,185,1
3362630,3,13,1.1198539122693643,186,1
2633945,4,92,1.1179122698249557,187,1
4136531,6,21,1.1120969372444502,188,1
1584031,4,5,1.1113077920842562,189,1
2448727,3,19,1.1093581147690659,190,1
4190043,3,18,1.1074961824051541,191,1
1020837,11,143,1.1055781006644139,192,1
2757472,4,5,1.1025057382077534,193,1
1370159,4,33,1.1017539030479846,194,1
41297,3,54,1.0961678944516244,195,1
1863791,4,22,1.0959833653472628,196,1
3222808,4,12,1.095543984291489,197,1
2304650,11,124,1.0931598428927272,198,1
2588650,6,20,1.0867283735819078,199,1
2329406,6,7,1.086705186914288,200,1
