item_id,neighbor_item,covisit_count,rank
3784,326118,1,1
3784,5446193,1,2
3784,2648551,1,3
3784,82649,1,4
3784,14784182,1,5
3784,5142788,1,6
3784,12466592,1,7
3784,14142238,1,8
3784,4397703,1,9
3784,9532147,1,10
11106,7845709,1,1
11106,4103425,1,2
11106,907492,1,3
11106,5487470,1,4
11106,14841558,1,5
11106,14542901,1,6
11106,9406175,1,7
11106,8939726,1,8
11106,11758141,1,9
11106,8163582,1,10
6353,3290516,3,1
6353,14425638,3,2
6353,15495359,2,3
6353,13018387,2,4
6353,14865351,2,5
6353,11956459,2,6
6353,10681884,2,7
6353,15441663,2,8
6353,6943301,2,9
6353,2670780,2,10
14013,1400609,1,1
14013,5242285,1,2
14013,2606820,1,3
14013,1076364,1,4
14013,12464064,1,5
14013,2941223,1,6
14013,10619991,1,7
14013,12284457,1,8
14013,10473669,1,9
14013,9634191,1,10
9206,10473669,1,1
9206,9634191,1,2
9206,4343875,1,3
9206,14760537,1,4
9206,8592772,1,5
9206,5743925,1,6
9206,3212202,1,7
9206,13878752,1,8
9206,5172078,1,9
9206,6930442,1,10
8550,7222075,1,1
8550,5423233,1,2
8550,6112463,1,3
8550,12801562,1,4
8550,5099653,1,5
8550,2001553,1,6
8550,14682949,1,7
8550,3752865,1,8
8550,8983768,1,9
8550,11521428,1,10
16650,948736,1,1
16650,11306308,1,2
16650,3164666,1,3
16650,15228413,1,4
16650,12091054,1,5
16650,2632046,1,6
16650,9384185,1,7
16650,12179811,1,8
16650,76709,1,9
16650,6665364,1,10
8992,541979,1,1
8992,5730251,1,2
8992,5229704,1,3
8992,9091091,1,4
8992,4932208,1,5
8992,8492815,1,6
8992,5142788,1,7
8992,13865589,1,8
8992,1855030,1,9
8992,11625807,1,10
5770,153677,1,1
5770,8064960,1,2
5770,2048403,1,3
5770,5598906,1,4
5770,336013,1,5
5770,8892393,1,6
5770,10146796,1,7
5770,11292446,1,8
5770,12802090,1,9
5770,1116074,1,10
632,4007657,1,1
632,13899581,1,2
632,10722516,1,3
632,14857232,1,4
632,12564621,1,5
632,11232476,1,6
632,5041171,1,7
632,6139856,1,8
632,4458121,1,9
632,15554631,1,10
10844,8411821,1,1
10844,15391319,1,2
10844,9849945,1,3
10844,13849452,1,4
10844,1626619,1,5
10844,5123045,1,6
10844,12995550,1,7
10844,11423261,1,8
10844,3253716,1,9
10844,7409690,1,10
12797,4773036,1,1
12797,4772957,1,2
12797,1832613,1,3
12797,2958848,1,4
12797,2935276,1,5
12797,5417546,1,6
12797,10222691,1,7
12797,5720644,1,8
12797,12926895,1,9
12797,9423048,1,10
8928,3805805,1,1
8928,15264553,1,2
8928,2908049,1,3
8928,13329638,1,4
8928,9526398,1,5
8928,6509183,1,6
8928,3488234,1,7
8928,5920982,1,8
8928,3696509,1,9
8928,6296593,1,10
9758,1623481,1,1
9758,15366963,1,2
9758,4088081,1,3
9758,6104035,1,4
9758,8713520,1,5
9758,32182,1,6
9758,8225261,1,7
9758,1103266,1,8
9758,11323773,1,9
9758,3732305,1,10
9660,5039789,3,1
9660,13381182,2,2
9660,12642851,2,3
9660,9930655,2,4
9660,15714217,2,5
9660,14247519,1,6
9660,1663501,1,7
9660,11608580,1,8
9660,10092100,1,9
9660,11340856,1,10
8602,6307268,1,1
8602,3342000,1,2
8602,8551095,1,3
8602,8202892,1,4
8602,14683103,1,5
8602,3791162,1,6
8602,7235704,1,7
8602,12193702,1,8
8602,5433235,1,9
8602,10115160,1,10
6666,15845726,2,1
6666,8438854,1,2
6666,4741640,1,3
6666,8807791,1,4
6666,5048148,1,5
6666,14463140,1,6
6666,1915778,1,7
6666,12770012,1,8
6666,4613059,1,9
6666,1583776,1,10
8376,6301473,1,1
8376,344266,1,2
8376,15083023,1,3
8376,1900060,1,4
8376,14948368,1,5
8376,14525346,1,6
8376,2779657,1,7
8376,166442,1,8
8376,2373216,1,9
8376,14524855,1,10
16197,6498981,3,1
16197,10709666,2,2
16197,3369678,2,3
16197,2652412,2,4
16197,11481512,2,5
16197,14648089,1,6
16197,10049871,1,7
16197,14957960,1,8
16197,12318426,1,9
16197,10928199,1,10
13399,2849048,1,1
13399,15355403,1,2
13399,8392025,1,3
13399,13027257,1,4
13399,13933314,1,5
13399,3036346,1,6
13399,14506211,1,7
13399,11627275,1,8
13399,3949197,1,9
13399,11642817,1,10
16324,14129314,1,1
16324,11217801,1,2
16324,2682369,1,3
16324,15424736,1,4
16324,9220426,1,5
16324,3280289,1,6
16324,12246615,1,7
16324,9815727,1,8
16324,5364826,1,9
16324,10517581,1,10
7210,7912396,1,1
7210,14431033,1,2
7210,11997991,1,3
7210,11678355,1,4
7210,5106189,1,5
7210,6199643,1,6
7210,1078388,1,7
7210,12920073,1,8
7210,6007176,1,9
7210,2561988,1,10
5497,1654289,1,1
5497,3377549,1,2
5497,7688545,1,3
5497,10034112,1,4
5497,5698306,1,5
5497,364368,1,6
5497,6443104,1,7
5497,3992279,1,8
5497,12504810,1,9
5497,2196808,1,10
9548,14293545,1,1
