merchant_id,n_W1,n_W2,mmd2,rank,selected
52177,2,27,1.5889631135151157,1,1
79851,10,49,1.5578654740148288,2,1
15329,4,60,1.5496204648326215,3,1
39982,3,91,1.4818865731986597,4,1
32570,8,72,1.4671262129466973,5,1
1017,7,34,1.4620879587861122,6,1
22525,2,58,1.4434450510785726,7,1
77941,2,40,1.4365578747521583,8,1
82873,3,32,1.4249219818072307,9,1
11659,4,33,1.3746319799925213,10,1
27090,4,124,1.3498373457955104,11,1
20688,2,36,1.34950353865573,12,1
28132,4,301,1.3410959281014208,13,1
73466,11,76,1.3308034986264254,14,1
71602,3,32,1.3266069250952284,15,1
76567,2,202,1.3257739614103918,16,1
50445,2,154,1.3243730665700475,17,1
43038,3,46,1.3169324904691058,18,1
9772,2,32,1.3027140323790782,19,1
13911,4,55,1.279892687786988,20,1
59842,3,62,1.279872339734775,21,1
29762,11,166,1.278050185067805,22,1
28268,4,26,1.2708934658509343,23,1
77144,3,51,1.2660398513482427,24,1
68677,4,133,1.2497657764899817,25,1
28134,2,25,1.2435473542106785,26,1
35666,2,110,1.2381962670504678,27,1
80809,7,87,1.2351526001967184,28,1
41025,3,257,1.2156371000366981,29,1
574,13,180,1.2139171083672982,30,1
31652,10,52,1.208626619912217,31,1
66123,2,81,1.2047384410762143,32,1
18345,2,59,1.2046755589632578,33,1
54415,5,128,1.1812074257507563,34,1
77223,3,82,1.1738620333303023,35,1
5440,4,151,1.1504913533851944,36,1
5510,2,50,1.133420894054335,37,1
44999,5,167,1.114521739620459,38,1
27497,3,51,1.0945114045578093,39,1
9553,4,50,1.0643414764621586,40,1
22764,2,41,1.0552086836860117,41,1
90767,5,108,1.044947731046596,42,1
25254,2,40,1.004209368957587,43,1
8053,4,115,0.9984478033646447,44,1
42871,4,37,0.9885456551283948,45,1
47298,2,58,0.9661528351536683,46,1
21878,2,29,0.9660306012571913,47,1
74734,5,383,0.9580226220554752,48,1
63499,3,56,0.9561731201755028,49,1
51484,6,166,0.9470399471780467,50,1
14574,5,63,0.9459570656229617,51,1
29112,6,113,0.9298220536101973,52,1
33101,2,55,0.9292024497169973,53,1
26247,4,37,0.9251048988284909,54,1
39409,4,93,0.923516352208967,55,1
18026,2,30,0.9157664684278491,56,1
12363,6,68,0.9121831879326134,57,1
15707,2,173,0.9108732729271376,58,1
